,what,is,the,chemical,that,mediates,type,1,hypersensitivity,?
type,0.2722663879394531,0.3053323030471802,0.21819381415843964,0.2055497020483017,0.25817251205444336,0.22607553005218506,1.0000001192092896,-0.13035114109516144,0.2836276888847351,0.17536182701587677
i,0.4411132335662842,0.25362417101860046,0.26687872409820557,0.21353131532669067,0.4255519211292267,0.28456228971481323,0.08881277590990067,-0.26275888085365295,0.1831563264131546,0.4695145785808563
hypersensitivity,0.26967501640319824,0.25074610114097595,0.20481128990650177,0.39315906167030334,0.3382616937160492,0.3454923927783966,0.2836276888847351,-0.21949997544288635,1.0,0.2192143201828003
is,0.28837618231773376,1.0,0.5823672413825989,0.2387559562921524,0.3995479643344879,0.21066755056381226,0.3053323030471802,-0.12491171807050705,0.25074610114097595,0.22961433231830597
mediated,0.21499434113502502,0.1978665441274643,0.3193671405315399,0.24805216491222382,0.32150697708129883,0.7980262637138367,0.2399374097585678,-0.2201189249753952,0.36299827694892883,0.14700691401958466
by,0.2455483376979828,0.3899846076965332,0.4408751428127289,0.21947693824768066,0.37496164441108704,0.26451531052589417,0.15232881903648376,-0.2582099735736847,0.1811729520559311,0.17966607213020325
ige,0.1361151933670044,0.15488949418067932,0.187249556183815,0.18545521795749664,0.17670674622058868,0.11012901365756989,0.08569185435771942,-0.0667283907532692,0.10878182202577591,0.1879204511642456
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.20593619346618652,0.4137537479400635,0.2701931893825531,0.1804078221321106,-0.15742997825145721,0.19289270043373108,0.31091248989105225
which,0.5261979103088379,0.4457404911518097,0.6521818041801453,0.2880592346191406,0.6894589066505432,0.33192867040634155,0.31462597846984863,-0.1852463036775589,0.36537599563598633,0.25814583897590637
triggers,0.21775849163532257,0.22226940095424652,0.3125790059566498,0.2876802086830139,0.308123916387558,0.32098492980003357,0.2500889003276825,-0.2121836394071579,0.4782496690750122,0.20734885334968567
degranulation,0.2626558542251587,0.31459829211235046,0.34449371695518494,0.38024047017097473,0.348593145608902,0.3600834012031555,0.2561231851577759,-0.19344009459018707,0.5337191224098206,0.19273434579372406
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.22874756157398224,0.41498205065727234,0.290679007768631,0.18112817406654358,-0.09473495930433273,0.21048949658870697,0.1826142966747284
mast,0.11500950157642365,0.17832748591899872,0.22549454867839813,0.21658986806869507,0.20809921622276306,0.10745153576135635,0.07833608239889145,0.004830256104469299,0.23083782196044922,0.08483324199914932
cells,0.1758001297712326,0.1644774079322815,0.19095487892627716,0.3261864185333252,0.2709589898586273,0.3290022909641266,0.2162136286497116,-0.2000764012336731,0.38176003098487854,0.1898086667060852
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.1947544515132904,0.4731321930885315,0.31681621074676514,0.16898801922798157,-0.20516018569469452,0.2223968207836151,0.20544172823429108
basophils,0.21099814772605896,0.21095377206802368,0.23577851057052612,0.3630167543888092,0.3059353232383728,0.3919717073440552,0.22774219512939453,-0.2228887975215912,0.47322043776512146,0.16538715362548828
when,0.4700249433517456,0.3471449911594391,0.5091903209686279,0.27270105481147766,0.5860282182693481,0.3197478950023651,0.17292563617229462,-0.2683585286140442,0.2980669140815735,0.22841128706932068
cross-linked,0.3197357654571533,0.27523931860923767,0.37340420484542847,0.21011538803577423,0.39052197337150574,0.27650177478790283,0.254649817943573,-0.15051278471946716,0.2603903114795685,0.2725488543510437
by,0.2455483376979828,0.3899846076965332,0.4408751428127289,0.21947693824768066,0.37496164441108704,0.26451531052589417,0.15232881903648376,-0.2582099735736847,0.1811729520559311,0.17966607213020325
antigen,0.1935727745294571,0.2092401683330536,0.2583788335323334,0.3233240246772766,0.24670813977718353,0.4112134873867035,0.22382226586341858,-0.18292386829853058,0.4593146741390228,0.19160577654838562
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.23593789339065552,0.4460422694683075,0.2587270438671112,0.23195341229438782,-0.15870751440525055,0.2137293815612793,0.4130953550338745
