,philo,of,byzantium,____,surmised,that,air,converted,to,fire
philo,1.0000001192092896,0.11807307600975037,0.3577951192855835,0.2867361009120941,0.028673572465777397,0.1806609034538269,0.09146284312009811,0.13046970963478088,0.13563112914562225,0.10466666519641876
incorrectly,0.20268668234348297,0.20600436627864838,0.12845315039157867,0.30702462792396545,0.28220468759536743,0.4147404730319977,0.1324828416109085,0.21974322199821472,0.3155739903450012,0.10481592267751694
surmised,0.028673572465777397,0.30305206775665283,0.15793263912200928,0.2395976036787033,1.0,0.3870673179626465,0.17607825994491577,0.22522594034671783,0.2529650330543518,0.25825008749961853
that,0.1806609034538269,0.41498205065727234,0.19811536371707916,0.36171039938926697,0.3870673179626465,1.0,0.19720019400119781,0.21250633895397186,0.5436353087425232,0.22560954093933105
parts,0.00033187289955094457,0.3379773199558258,0.13860884308815002,0.17488205432891846,0.20994296669960022,0.3359212577342987,0.20152585208415985,0.18726620078086853,0.24449384212493896,0.14285507798194885
of,0.11807307600975037,1.0,0.18282687664031982,0.2581522762775421,0.30305206775665283,0.41498205065727234,0.24196814000606537,0.27010029554367065,0.41548454761505127,0.20259131491184235
the,0.11827199906110764,0.733189046382904,0.19448980689048767,0.24042214453220367,0.3143695294857025,0.5473989248275757,0.2877824306488037,0.2538719177246094,0.535392165184021,0.2911929488182068
air,0.09146284312009811,0.24196814000606537,0.13650138676166534,0.0838763564825058,0.17607825994491577,0.19720019400119781,1.0000001192092896,0.12418149411678314,0.24103909730911255,0.21486154198646545
in,0.15841174125671387,0.5696388483047485,0.10745412111282349,0.15047453343868256,0.2668759524822235,0.435920387506485,0.22172939777374268,0.22429603338241577,0.45010748505592346,0.2514701783657074
the,0.11827199906110764,0.733189046382904,0.19448980689048767,0.24042214453220367,0.3143695294857025,0.5473989248275757,0.2877824306488037,0.2538719177246094,0.535392165184021,0.2911929488182068
vessel,0.10922569781541824,0.23386210203170776,0.13317987322807312,0.13980261981487274,0.280146062374115,0.2498200237751007,0.30009934306144714,0.1450858861207962,0.18081851303577423,0.29579633474349976
were,0.10271209478378296,0.34038281440734863,0.19290564954280853,0.14674051105976105,0.3152651786804199,0.35517072677612305,0.1481994241476059,0.23556995391845703,0.31913647055625916,0.2021448314189911
converted,0.13046970963478088,0.27010029554367065,0.18019454181194305,0.16146506369113922,0.22522594034671783,0.21250633895397186,0.12418149411678314,1.0000001192092896,0.2962644398212433,0.1174163669347763
into,0.10372094810009003,0.32255905866622925,0.13057425618171692,0.18328778445720673,0.2932332754135132,0.3239944875240326,0.22211341559886932,0.3863663077354431,0.38810545206069946,0.16608357429504395
the,0.11827199906110764,0.733189046382904,0.19448980689048767,0.24042214453220367,0.3143695294857025,0.5473989248275757,0.2877824306488037,0.2538719177246094,0.535392165184021,0.2911929488182068
classical,0.33233511447906494,0.2391258031129837,0.2921753227710724,0.3160398602485657,0.1012447327375412,0.2232576161623001,0.13932615518569946,0.16514669358730316,0.2182575762271881,0.06681772321462631
element,0.1699385643005371,0.21102571487426758,0.267372727394104,0.2835867702960968,0.14095675945281982,0.29008960723876953,0.22001029551029205,0.14330482482910156,0.20668300986289978,0.17044872045516968
fire,0.10466666519641876,0.20259131491184235,0.1357918083667755,0.15254949033260345,0.25825008749961853,0.22560954093933105,0.21486154198646545,0.1174163669347763,0.2020210474729538,0.9999999403953552
and,0.1622416079044342,0.5116966962814331,0.21811822056770325,0.3141091465950012,0.2536662817001343,0.4731321930885315,0.2508046329021454,0.2410563975572586,0.48971283435821533,0.2478165328502655
thus,0.12175418436527252,0.3487406373023987,0.1984940469264984,0.29680898785591125,0.2921566367149353,0.4318928122520447,0.16602517664432526,0.2210523933172226,0.42383262515068054,0.12821368873119354
were,0.10271209478378296,0.34038281440734863,0.19290564954280853,0.14674051105976105,0.3152651786804199,0.35517072677612305,0.1481994241476059,0.23556995391845703,0.31913647055625916,0.2021448314189911
able,0.04502992331981659,0.23883962631225586,0.12050453573465347,0.25778454542160034,0.38711512088775635,0.4536534547805786,0.1883208006620407,0.19062571227550507,0.529755175113678,0.22542886435985565
to,0.13563112914562225,0.41548454761505127,0.20061951875686646,0.3258899450302124,0.2529650330543518,0.5436353087425232,0.24103909730911255,0.2962644398212433,1.0,0.2020210474729538
escape,0.1097656711935997,0.17960478365421295,0.18331177532672882,0.11661046743392944,0.23356221616268158,0.26162993907928467,0.20219126343727112,0.20471793413162231,0.29131880402565,0.24898312985897064
through,0.09107048809528351,0.3647414743900299,0.1041909009218216,0.1690443605184555,0.2767442464828491,0.3152649402618408,0.2862471342086792,0.19419780373573303,0.4062686562538147,0.1757255345582962
pores,0.049712467938661575,0.22644980251789093,0.12857839465141296,0.16365811228752136,0.26470181345939636,0.2891436815261841,0.31540733575820923,0.12135124951601028,0.25851190090179443,0.204837828874588
in,0.15841174125671387,0.5696388483047485,0.10745412111282349,0.15047453343868256,0.2668759524822235,0.435920387506485,0.22172939777374268,0.22429603338241577,0.45010748505592346,0.2514701783657074
the,0.11827199906110764,0.733189046382904,0.19448980689048767,0.24042214453220367,0.3143695294857025,0.5473989248275757,0.2877824306488037,0.2538719177246094,0.535392165184021,0.2911929488182068
glass,0.10816574096679688,0.24470314383506775,0.15852788090705872,0.06041278690099716,0.23737892508506775,0.23080864548683167,0.24707545340061188,0.09857247769832611,0.2111847698688507,0.26617422699928284
.,0.1658102124929428,0.5352458953857422,0.23264354467391968,0.31971508264541626,0.29308009147644043,0.4460422694683075,0.2759295105934143,0.263176292181015,0.4645031690597534,0.2511917054653168
