,what,are,examples,of,clinical,services,that,pharmacists,can,provide,?
such,0.23989605903625488,0.4654397666454315,0.5161488652229309,0.3209529519081116,0.19663283228874207,0.2491588592529297,0.4479874074459076,0.2130642980337143,0.396209716796875,0.35278838872909546,0.17851735651493073
services,0.16048473119735718,0.26135778427124023,0.21947215497493744,0.23787347972393036,0.32292699813842773,1.0,0.2574901282787323,0.23296315968036652,0.23481161892414093,0.41313081979751587,0.1328447163105011
include,0.1535889357328415,0.5140694975852966,0.554942786693573,0.37431180477142334,0.22828173637390137,0.2280845046043396,0.2797866463661194,0.18879295885562897,0.2617928385734558,0.33076170086860657,0.14925788342952728
the,0.42745697498321533,0.40399202704429626,0.30092597007751465,0.733189046382904,0.24038995802402496,0.2381475418806076,0.5473989248275757,0.24311043322086334,0.312528520822525,0.26373472809791565,0.22068053483963013
thorough,0.3247263729572296,0.18461580574512482,0.15081636607646942,0.2074490636587143,0.3028898239135742,0.19785770773887634,0.31005698442459106,0.2597644627094269,0.3195660710334778,0.3708522319793701,0.2703862488269806
analysis,0.2842639982700348,0.232616126537323,0.26068443059921265,0.24679350852966309,0.40360796451568604,0.1616026610136032,0.34139660000801086,0.22557859122753143,0.2159404158592224,0.3225260078907013,0.15352053940296173
of,0.33290785551071167,0.39081433415412903,0.3054686188697815,1.0,0.2760547399520874,0.23787347972393036,0.41498205065727234,0.20506609976291656,0.2603091299533844,0.27198103070259094,0.1826142966747284
all,0.41981086134910583,0.5343062281608582,0.371559202671051,0.42798417806625366,0.1658625453710556,0.2722949981689453,0.53305584192276,0.27948716282844543,0.3574998378753662,0.2924130856990814,0.29575422406196594
medication,0.28847256302833557,0.28778642416000366,0.29392099380493164,0.2616158723831177,0.5376577377319336,0.24515584111213684,0.3175073564052582,0.44281280040740967,0.423816055059433,0.30613893270492554,0.2275196760892868
(,0.2411840260028839,0.23263892531394958,0.18685734272003174,0.35032153129577637,0.1513538956642151,0.1338043361902237,0.2264307141304016,0.14513295888900757,0.22726960480213165,0.16570471227169037,0.40561532974243164
prescription,0.2773992717266083,0.23807872831821442,0.3204256296157837,0.22264151275157928,0.47352737188339233,0.3276125192642212,0.2649725079536438,0.47676223516464233,0.38451072573661804,0.3507629632949829,0.1977909505367279
",",0.3087472915649414,0.4062570035457611,0.2687304615974426,0.4946078956127167,0.21013301610946655,0.24788528680801392,0.4137537479400635,0.22197484970092773,0.3139454126358032,0.20966707170009613,0.31091248989105225
non-prescription,0.3185000717639923,0.2788132131099701,0.3647846281528473,0.26927149295806885,0.46601322293281555,0.3557225465774536,0.30694594979286194,0.45986056327819824,0.39561447501182556,0.3832480311393738,0.2671878933906555
",",0.3087472915649414,0.4062570035457611,0.2687304615974426,0.4946078956127167,0.21013301610946655,0.24788528680801392,0.4137537479400635,0.22197484970092773,0.3139454126358032,0.20966707170009613,0.31091248989105225
and,0.31309178471565247,0.48576638102531433,0.35639533400535583,0.5116966962814331,0.2551795542240143,0.30811867117881775,0.4731321930885315,0.26810887455940247,0.3675691485404968,0.32960009574890137,0.20544172823429108
herbals,0.1769631952047348,0.3546210825443268,0.24656519293785095,0.2457893341779709,0.28986987471580505,0.2654481530189514,0.2206740528345108,0.337396502494812,0.2690587639808655,0.29076287150382996,0.11895929276943207
),0.26259949803352356,0.2373749315738678,0.20013900101184845,0.3680361211299896,0.15221019089221954,0.15659959614276886,0.23478686809539795,0.1354888379573822,0.23216170072555542,0.1700008660554886,0.42300865054130554
currently,0.21436211466789246,0.3489539325237274,0.16538019478321075,0.2655649185180664,0.19411690533161163,0.21810762584209442,0.31158748269081116,0.1695726066827774,0.2104155421257019,0.17985844612121582,0.1861555278301239
being,0.3760843276977539,0.4656608998775482,0.268180787563324,0.34885138273239136,0.18500001728534698,0.23460045456886292,0.46201252937316895,0.19349634647369385,0.433290958404541,0.24724635481834412,0.26743772625923157
taken,0.26014965772628784,0.20997759699821472,0.18618345260620117,0.2889742851257324,0.21247300505638123,0.1487770825624466,0.35460543632507324,0.25544115900993347,0.26005715131759644,0.23539720475673676,0.17662954330444336
by,0.2455483376979828,0.37842893600463867,0.27706319093704224,0.3646814823150635,0.17678390443325043,0.2132156491279602,0.37496164441108704,0.22679635882377625,0.29642900824546814,0.2001653015613556,0.17966607213020325
an,0.2821882665157318,0.1556541919708252,0.19613532721996307,0.32280945777893066,0.15576820075511932,0.2257905751466751,0.365763783454895,0.16105923056602478,0.23671309649944305,0.24505722522735596,0.19793890416622162
individual,0.34021541476249695,0.334160178899765,0.25232285261154175,0.3372420072555542,0.3121485114097595,0.2114831507205963,0.3969862163066864,0.19814155995845795,0.38304170966148376,0.38261476159095764,0.2058374285697937
.,0.3567904531955719,0.3452940285205841,0.28905922174453735,0.5352458953857422,0.21580979228019714,0.2179025262594223,0.4460422694683075,0.27446362376213074,0.35783761739730835,0.23842981457710266,0.4130953550338745
