,the,costiff,collection,comprised,costumes,designed,by,which,british,fashion,icon,?
in,0.6662389636039734,0.21570788323879242,0.23004686832427979,0.27253109216690063,0.20392239093780518,0.22657902538776398,0.370934396982193,0.4840516746044159,0.23084034025669098,0.19396661221981049,0.16962029039859772,0.20430970191955566
2002,-0.07970229536294937,-0.15864765644073486,0.04641743749380112,-0.06762393563985825,0.05440502241253853,-0.10581399500370026,-0.02366175502538681,-0.03682348132133484,-0.06423773616552353,0.01694062352180481,-0.015480419620871544,0.045828185975551605
",",0.4933079481124878,0.21184629201889038,0.2277175933122635,0.258333295583725,0.23070135712623596,0.201692596077919,0.3680937886238098,0.3658004403114319,0.25734075903892517,0.3008597195148468,0.21258804202079773,0.31091248989105225
the,1.0,0.2323952615261078,0.25281965732574463,0.28885143995285034,0.2165670096874237,0.2559613883495331,0.4408751428127289,0.6521818041801453,0.28973397612571716,0.20197291672229767,0.19525651633739471,0.22068053483963013
museum,0.24861779808998108,0.19943198561668396,0.4441815912723541,0.17962948977947235,0.1978643387556076,0.19523267447948456,0.15592984855175018,0.22731433808803558,0.1519032120704651,0.11770188808441162,0.18039415776729584,0.14128351211547852
acquired,0.22202405333518982,0.2437012642621994,0.29006797075271606,0.13442401587963104,0.07529144734144211,0.21307295560836792,0.2711716294288635,0.24178527295589447,0.1548045128583908,0.12688373029232025,0.09484674036502838,0.09366346150636673
the,1.0,0.2323952615261078,0.25281965732574463,0.28885143995285034,0.2165670096874237,0.2559613883495331,0.4408751428127289,0.6521818041801453,0.28973397612571716,0.20197291672229767,0.19525651633739471,0.22068053483963013
costiff,0.2323952615261078,1.0,0.24927334487438202,0.12558673322200775,0.40469294786453247,0.30397212505340576,0.19125057756900787,0.346932590007782,0.155799999833107,0.28127869963645935,0.1355772316455841,0.22294071316719055
collection,0.25281965732574463,0.24927334487438202,0.9999998807907104,0.2905890941619873,0.2637207508087158,0.2010653018951416,0.2678082287311554,0.30199134349823,0.15021207928657532,0.1854274868965149,0.16573525965213776,0.20069393515586853
of,0.733189046382904,0.23048944771289825,0.2915455996990204,0.3694441318511963,0.2081592082977295,0.2000347077846527,0.3646814823150635,0.5011631846427917,0.23701532185077667,0.21192987263202667,0.15007339417934418,0.1826142966747284
178,0.07313534617424011,0.13529548048973083,0.06212025508284569,0.05949994549155235,0.24118541181087494,0.09428251534700394,0.1572902351617813,0.08058454096317291,0.0872831791639328,0.14677420258522034,0.03274114802479744,0.1777212917804718
vivienne,0.23282523453235626,0.1954837590456009,0.18269143998622894,0.17141129076480865,0.24242529273033142,0.12913455069065094,0.18146561086177826,0.11652696877717972,0.2208249717950821,0.3022463619709015,0.06442590057849884,0.1402239203453064
westwood,0.289829283952713,0.2444639652967453,0.14090955257415771,0.19405636191368103,0.13058631122112274,0.1788705289363861,0.19698743522167206,0.2176215648651123,0.19668354094028473,0.21135354042053223,0.16761930286884308,0.17119714617729187
costumes,0.2165670096874237,0.40469294786453247,0.2637207508087158,0.12284824997186661,1.0,0.4071149230003357,0.21047621965408325,0.23087374866008759,0.15200640261173248,0.4484105408191681,0.18200477957725525,0.1693248301744461
.,0.5934505462646484,0.28037673234939575,0.2516246736049652,0.18239986896514893,0.20573796331882477,0.24422594904899597,0.3936232924461365,0.45942068099975586,0.23159366846084595,0.20290514826774597,0.2001720666885376,0.4130953550338745
,the,costiff,collection,comprised,costumes,designed,by,which,british,fashion,icon,?
other,0.44152235984802246,0.27289530634880066,0.2705381214618683,0.2949288487434387,0.23320573568344116,0.21431408822536469,0.3321913778781891,0.50507652759552,0.20676550269126892,0.16663046181201935,0.16428719460964203,0.24682199954986572
famous,0.28616565465927124,0.22124755382537842,0.23276883363723755,0.17324766516685486,0.3029567003250122,0.23329024016857147,0.24140264093875885,0.24636515974998474,0.23513521254062653,0.22171156108379364,0.19467593729496002,0.10379006713628769
designers,0.25445735454559326,0.36398452520370483,0.2327771633863449,0.18925344944000244,0.5074152946472168,0.7055220007896423,0.24634598195552826,0.26248660683631897,0.1894412487745285,0.5419557094573975,0.254446804523468,0.15633709728717804
with,0.4223487675189972,0.2500733435153961,0.16466663777828217,0.2556408941745758,0.20246753096580505,0.21504513919353485,0.39731505513191223,0.46403205394744873,0.1637800633907318,0.17095205187797546,0.11428718268871307,0.2433311939239502
work,0.2704800069332123,0.2641505002975464,0.2884133458137512,0.06261911988258362,0.2444656789302826,0.22582440078258514,0.25005507469177246,0.30331435799598694,0.1516800969839096,0.14544497430324554,0.2221808135509491,0.2621155381202698
in,0.6662389636039734,0.21570788323879242,0.23004686832427979,0.27253109216690063,0.20392239093780518,0.22657902538776398,0.370934396982193,0.4840516746044159,0.23084034025669098,0.19396661221981049,0.16962029039859772,0.20430970191955566
the,1.0,0.2323952615261078,0.25281965732574463,0.28885143995285034,0.2165670096874237,0.2559613883495331,0.4408751428127289,0.6521818041801453,0.28973397612571716,0.20197291672229767,0.19525651633739471,0.22068053483963013
collection,0.25281965732574463,0.24927334487438202,0.9999998807907104,0.2905890941619873,0.2637207508087158,0.2010653018951416,0.2678082287311554,0.30199134349823,0.15021207928657532,0.1854274868965149,0.16573525965213776,0.20069393515586853
include,0.2951717972755432,0.16147907078266144,0.30674809217453003,0.30879995226860046,0.22815881669521332,0.17281818389892578,0.24257268011569977,0.33084139227867126,0.12725749611854553,0.15074366331100464,0.19913099706172943,0.14925788342952728
coco,0.17628225684165955,0.29118603467941284,0.17546983063220978,0.12077966332435608,0.2684955298900604,0.17825748026371002,0.11866612732410431,0.16806599497795105,0.21774162352085114,0.2911010682582855,0.13607630133628845,0.1394151747226715
chanel,0.20022447407245636,0.31282973289489746,0.1809169203042984,0.07629834115505219,0.4437803626060486,0.24740634858608246,0.18731583654880524,0.12452536821365356,0.26701217889785767,0.4997211992740631,0.21345748007297516,0.12931399047374725
