,what,leads,to,lower,income,inequality,?
eventually,0.28470873832702637,0.30169615149497986,0.4528551697731018,0.16811540722846985,0.18394942581653595,0.1861460655927658,0.13642115890979767
",",0.3087472915649414,0.22268962860107422,0.44245919585227966,0.236776202917099,0.19703416526317596,0.21822890639305115,0.31091248989105225
through,0.23167094588279724,0.3535519540309906,0.4062686562538147,0.23060691356658936,0.16398635506629944,0.14136956632137299,0.16913433372974396
various,0.26045072078704834,0.18633270263671875,0.33564820885658264,0.1586315780878067,0.2369699627161026,0.2471264749765396,0.12823495268821716
possible,0.3281886577606201,0.23321230709552765,0.4506641626358032,0.27389469742774963,0.22041672468185425,0.3223249316215515,0.3059970438480377
redistribution,0.26319849491119385,0.12257344275712967,0.25481486320495605,0.18748675286769867,0.2899908721446991,0.36535078287124634,0.1706853210926056
mechanisms,0.23776228725910187,0.24367403984069824,0.2500166893005371,0.17622721195220947,0.14775432646274567,0.32309165596961975,0.20209980010986328
such,0.23989605903625488,0.20550167560577393,0.2871878743171692,0.17980381846427917,0.15195786952972412,0.21102488040924072,0.17851735651493073
as,0.31749409437179565,0.1963365375995636,0.42092081904411316,0.21512500941753387,0.1530616581439972,0.1947982758283615,0.27043893933296204
social,0.22217629849910736,0.20053686201572418,0.19684761762619019,0.242025226354599,0.23773884773254395,0.48126378655433655,0.1615191102027893
welfare,0.24410170316696167,0.2184583842754364,0.2646935284137726,0.1680622547864914,0.40558281540870667,0.4613349735736847,0.17747683823108673
programs,0.23178155720233917,0.08273376524448395,0.23389451205730438,0.16108070313930511,0.2558388411998749,0.24766521155834198,0.16452431678771973
",",0.3087472915649414,0.22268962860107422,0.44245919585227966,0.236776202917099,0.19703416526317596,0.21822890639305115,0.31091248989105225
more,0.3484537899494171,0.21788163483142853,0.47084665298461914,0.2488173395395279,0.2241504192352295,0.2623436152935028,0.27894994616508484
developed,0.15555569529533386,0.10650995373725891,0.19491806626319885,0.1683838963508606,0.16156300902366638,0.18421705067157745,0.10763012617826462
countries,0.22319257259368896,0.1063753217458725,0.3111797273159027,0.11025762557983398,0.2989959716796875,0.2820434868335724,0.15128466486930847
move,0.30861297249794006,0.1883438229560852,0.37858664989471436,0.20553834736347198,0.11433210223913193,0.15776020288467407,0.24440962076187134
back,0.2965294420719147,0.18023569881916046,0.4675939381122589,0.1965130865573883,0.16047869622707367,0.10883574187755585,0.2397768795490265
to,0.455847829580307,0.2697960138320923,1.0,0.233318492770195,0.27188464999198914,0.24361056089401245,0.29463258385658264
lower,0.20079238712787628,0.1748581975698471,0.233318492770195,1.0,0.25601446628570557,0.260497123003006,0.08471795171499252
levels,0.21641245484352112,0.2518014907836914,0.29053324460983276,0.3851044178009033,0.209359273314476,0.24878159165382385,0.1541307419538498
of,0.33290785551071167,0.3671194314956665,0.41548454761505127,0.31757521629333496,0.2581324577331543,0.27910974621772766,0.1826142966747284
inequality,0.30072227120399475,0.2952685058116913,0.24361056089401245,0.260497123003006,0.46967795491218567,1.0000001192092896,0.23619021475315094
.,0.3567904531955719,0.2178809642791748,0.4645031690597534,0.24347278475761414,0.26448529958724976,0.22563500702381134,0.4130953550338745
