,how,much,does,17.7,%,of,the,population,live,on,a,day,?
as,0.33782753348350525,0.36514025926589966,0.31202155351638794,-0.038253866136074066,0.11994056403636932,0.3886612355709076,0.48381632566452026,0.22002090513706207,0.1558578610420227,0.36047765612602234,0.39550232887268066,0.23300392925739288,0.27043893933296204
of,0.2480744868516922,0.2671096920967102,0.3119818866252899,0.047834597527980804,0.19953428208827972,1.0,0.733189046382904,0.3060894012451172,0.27734068036079407,0.3966929316520691,0.5052502155303955,0.2934032380580902,0.1826142966747284
2005,0.03437461704015732,0.023484734818339348,-0.10091123729944229,0.03654452785849571,0.056141793727874756,0.017815761268138885,0.037273142486810684,0.08234187960624695,0.07386400550603867,0.018048860132694244,-0.044396962970495224,0.08089190721511841,0.10709824413061142
",",0.22659391164779663,0.36182254552841187,0.28617382049560547,0.11479216068983078,0.22757403552532196,0.4946078956127167,0.4933079481124878,0.2967977225780487,0.29754534363746643,0.49057599902153015,0.427140474319458,0.30821847915649414,0.31091248989105225
17.7,0.07634638249874115,0.08208788186311722,-0.0617002472281456,1.0,0.053843904286623,0.047834597527980804,0.008883408270776272,0.08024154603481293,0.07752954214811325,0.05949833244085312,-0.021336855366826057,0.01503549050539732,0.08130739629268646
%,0.1237400695681572,0.26866111159324646,0.1996830552816391,0.053843904286623,1.0,0.19953428208827972,0.21490740776062012,0.4585210084915161,0.22515340149402618,0.12557359039783478,0.17798779904842377,0.17720530927181244,0.21441808342933655
of,0.2480744868516922,0.2671096920967102,0.3119818866252899,0.047834597527980804,0.19953428208827972,1.0,0.733189046382904,0.3060894012451172,0.27734068036079407,0.3966929316520691,0.5052502155303955,0.2934032380580902,0.1826142966747284
kenyans,0.2701623737812042,0.22308190166950226,0.2006693184375763,-0.0335245281457901,0.24500323832035065,0.20549276471138,0.24414950609207153,0.24357695877552032,0.1732063889503479,0.16487383842468262,0.24925969541072845,0.24956662952899933,0.18293815851211548
lived,0.1416093111038208,0.20831970870494843,0.08537168055772781,0.12324448674917221,0.12556424736976624,0.3103700876235962,0.2897515296936035,0.3393465280532837,0.5217254757881165,0.15667724609375,0.20276539027690887,0.11790283769369125,0.1798510104417801
on,0.32655060291290283,0.2834896147251129,0.2568802833557129,0.05949833244085312,0.12557359039783478,0.3966929316520691,0.5107308030128479,0.14850834012031555,0.24591919779777527,0.9999999403953552,0.3848365545272827,0.3332281708717346,0.2714994251728058
less,0.3495950996875763,0.6148731112480164,0.33181050419807434,0.09526372700929642,0.3426975905895233,0.30836719274520874,0.29185041785240173,0.1764393150806427,0.18979723751544952,0.24623660743236542,0.3475147485733032,0.2537871301174164,0.22418740391731262
than,0.29763275384902954,0.632695198059082,0.32178643345832825,0.07481508702039719,0.3115805387496948,0.33036211133003235,0.3227543234825134,0.21814648807048798,0.23219835758209229,0.2864885926246643,0.3126874566078186,0.23135443031787872,0.24917294085025787
$,0.18718640506267548,0.205519899725914,0.12162275612354279,0.09231988340616226,0.31025752425193787,0.11268499493598938,0.23367542028427124,0.1787949800491333,0.13544917106628418,0.16966626048088074,0.22939236462116241,0.2132800668478012,0.2786129117012024
1.25,0.08846280723810196,0.05235292389988899,0.11970704793930054,0.19069530069828033,0.15251022577285767,0.24434517323970795,0.19395855069160461,0.2790118157863617,0.3051380217075348,0.1370714157819748,0.20550565421581268,0.15244853496551514,0.2235836684703827
a,0.29312583804130554,0.2958075702190399,0.38201746344566345,-0.021336855366826057,0.17798779904842377,0.5052502155303955,0.5829201340675354,0.2345738559961319,0.21948647499084473,0.3848365545272827,1.0,0.18630309402942657,0.23916715383529663
day,0.20268619060516357,0.23573602735996246,0.12629863619804382,0.01503549050539732,0.17720530927181244,0.2934032380580902,0.3062323033809662,0.1542065590620041,0.15470196306705475,0.3332281708717346,0.18630309402942657,1.0,0.2141837179660797
.,0.3287222981452942,0.3374604284763336,0.3022993505001068,0.09358671307563782,0.29872366786003113,0.5352458953857422,0.5934505462646484,0.26950228214263916,0.32964062690734863,0.49257001280784607,0.50484299659729,0.24232520163059235,0.4130953550338745
