,what,did,virgin,media,concentrate,on,instead,of,offering,linear,channels,?
nonetheless,0.368646502494812,0.3448185622692108,0.1400315761566162,0.17771868407726288,0.30650490522384644,0.2509266436100006,0.2765238285064697,0.2506859302520752,0.1720598191022873,0.20997710525989532,0.11090835183858871,0.22137337923049927
",",0.3087472915649414,0.3015086054801941,0.1973685473203659,0.23135341703891754,0.30280089378356934,0.49057599902153015,0.32166025042533875,0.4946078956127167,0.2681748569011688,0.17978614568710327,0.2199012041091919,0.31091248989105225
the,0.42745697498321533,0.34736719727516174,0.21732187271118164,0.19221965968608856,0.25759652256965637,0.5107308030128479,0.3940567970275879,0.733189046382904,0.2296384871006012,0.2117266058921814,0.27277594804763794,0.22068053483963013
linear,0.2132105678319931,0.12943218648433685,0.0905710831284523,0.22149834036827087,0.19487977027893066,0.17940591275691986,0.23092660307884216,0.23112532496452332,0.17985816299915314,1.0000001192092896,0.20421037077903748,0.16595983505249023
channels,0.1923084557056427,0.0628243163228035,0.18653205037117004,0.27351927757263184,0.21446117758750916,0.3108726739883423,0.208538219332695,0.17560617625713348,0.1675412654876709,0.20421037077903748,1.0,0.19657258689403534
were,0.22298263013362885,0.4162326455116272,0.1581590473651886,0.13317883014678955,0.21423980593681335,0.2774328887462616,0.24335987865924835,0.34038281440734863,0.18105146288871765,0.14339277148246765,0.1514015644788742,0.17890112102031708
not,0.5449194312095642,0.6481515765190125,0.1984056979417801,0.21236996352672577,0.3654165267944336,0.3516409695148468,0.4974021911621094,0.3307090103626251,0.25267380475997925,0.18583355844020844,0.20394136011600494,0.41942933201789856
offered,0.1662205457687378,0.40334975719451904,0.21048933267593384,0.19579483568668365,0.1828630566596985,0.2585904598236084,0.2619275152683258,0.2674071192741394,0.6281290054321289,0.13279764354228973,0.14507927000522614,0.22244536876678467
",",0.3087472915649414,0.3015086054801941,0.1973685473203659,0.23135341703891754,0.30280089378356934,0.49057599902153015,0.32166025042533875,0.4946078956127167,0.2681748569011688,0.17978614568710327,0.2199012041091919,0.31091248989105225
virgin,0.1343110352754593,0.14743593335151672,1.0000001192092896,0.2961137890815735,0.1399669647216797,0.18324129283428192,0.21866782009601593,0.1805724799633026,0.23921068012714386,0.0905710831284523,0.18653205037117004,0.11987020075321198
media,0.18292108178138733,0.1758316457271576,0.2961137890815735,0.9999999403953552,0.19673283398151398,0.19591841101646423,0.200158029794693,0.19700391590595245,0.20233653485774994,0.22149834036827087,0.27351927757263184,0.1571006178855896
instead,0.4104403555393219,0.34208473563194275,0.21866782009601593,0.200158029794693,0.37620723247528076,0.3444349467754364,0.9999998807907104,0.31208282709121704,0.26215192675590515,0.23092660307884216,0.208538219332695,0.2942638397216797
