,what,is,the,chloroplast,of,dinophysis,?
members,0.16873176395893097,0.1897467076778412,0.3321719169616699,0.2025972604751587,0.28120753169059753,0.2520986795425415,0.10212311148643494
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.2069506198167801,1.0,0.32083624601364136,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,1.0,0.21317854523658752,0.733189046382904,0.2750833332538605,0.22068053483963013
genus,0.10777679085731506,0.1947535127401352,0.17396312952041626,0.40413543581962585,0.1679552048444748,0.5392922759056091,0.1421816647052765
dinophysis,0.28974592685699463,0.22289857268333435,0.2750833332538605,0.4566666781902313,0.32083624601364136,1.0,0.18453527987003326
have,0.39808809757232666,0.3613572418689728,0.40389683842658997,0.26476383209228516,0.3802283704280853,0.31422847509384155,0.32991164922714233
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.237538680434227,0.5052502155303955,0.25442346930503845,0.23916715383529663
phycobilin-containing,0.21434618532657623,0.33809059858322144,0.37917906045913696,0.55131596326828,0.4077470004558563,0.46445682644844055,0.23477022349834442
chloroplast,0.23505516350269318,0.20798198878765106,0.21317854523658752,1.0000001192092896,0.2069506198167801,0.4566666781902313,0.12532055377960205
taken,0.26014965772628784,0.19185791909694672,0.3309854567050934,0.15137746930122375,0.2889742851257324,0.19927896559238434,0.17662954330444336
from,0.2737620174884796,0.27355384826660156,0.40150508284568787,0.20005539059638977,0.4249346852302551,0.24817942082881927,0.19969791173934937
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.237538680434227,0.5052502155303955,0.25442346930503845,0.23916715383529663
cryptophyte,0.23500515520572662,0.28574585914611816,0.215342178940773,0.5628758072853088,0.2433902770280838,0.5876845717430115,0.18001990020275116
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.2371024191379547,0.5352458953857422,0.2896459400653839,0.4130953550338745
