,who,was,the,abc,radio,president,in,1968,?
in,0.2792111933231354,0.45514053106307983,0.6662389636039734,0.1697147786617279,0.22625693678855896,0.18811661005020142,1.0,0.08920387923717499,0.20430970191955566
july,0.2606464624404907,0.40724116563796997,0.2371699959039688,0.15350030362606049,0.1634930670261383,0.28413882851600647,0.26500701904296875,-0.017753751948475838,0.2897891402244568
1968,-0.017259184271097183,0.07066072523593903,0.07431387901306152,-0.036682769656181335,0.04859283193945885,-0.032345205545425415,0.08920387923717499,0.9999999403953552,-0.08543776720762253
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.2097204476594925,0.25251123309135437,0.26552814245224,0.5201468467712402,0.07405266165733337,0.31091248989105225
abc,0.14673753082752228,0.21565799415111542,0.2068762183189392,1.0000001192092896,0.35354745388031006,0.20593604445457458,0.1697147786617279,-0.036682769656181335,0.19065172970294952
radio,0.20289050042629242,0.20381812751293182,0.23511973023414612,0.35354745388031006,0.9999999403953552,0.10418909043073654,0.22625693678855896,0.04859283193945885,0.08763375133275986
launched,0.12453620135784149,0.28489428758621216,0.2547066807746887,0.2561926543712616,0.2416798174381256,0.14949288964271545,0.18876992166042328,-0.05846363306045532,0.1803835779428482
a,0.36608949303627014,0.4508470594882965,0.5829201340675354,0.21331243216991425,0.19488471746444702,0.16959697008132935,0.539380669593811,-0.025953760370612144,0.23916715383529663
special,0.21519862115383148,0.1585642695426941,0.3027077615261078,0.16786715388298035,0.19117730855941772,0.09143306314945221,0.2897285223007202,0.09088344126939774,0.29623302817344666
programming,0.17227613925933838,0.15892314910888672,0.17869283258914948,0.3165910840034485,0.28530606627464294,0.1268446147441864,0.17145347595214844,0.035687413066625595,0.22249025106430054
project,0.2255522608757019,0.17915812134742737,0.2027820199728012,0.12072815746068954,0.12887147068977356,0.09658116102218628,0.16277937591075897,0.07219750434160233,0.30569031834602356
