,where,did,water,on,the,eastern,side,of,the,amazon,basin,travel,after,the,split,?
water,0.2081080675125122,0.1909485161304474,0.9999998807907104,0.18117135763168335,0.297396719455719,0.1799633651971817,0.2522294521331787,0.2741255462169647,0.297396719455719,0.23088304698467255,0.4041157364845276,0.21041534841060638,0.20308595895767212,0.297396719455719,0.09426998347043991,0.14731885492801666
on,0.37630224227905273,0.2670976221561432,0.18117135763168335,0.9999999403953552,0.5107308030128479,0.2247627079486847,0.3734041452407837,0.3966929316520691,0.5107308030128479,0.27227091789245605,0.16209472715854645,0.22256895899772644,0.39330315589904785,0.5107308030128479,0.1750887930393219,0.2714994251728058
the,0.5003893971443176,0.34736719727516174,0.297396719455719,0.5107308030128479,1.0,0.3928247392177582,0.37146830558776855,0.733189046382904,1.0,0.260541707277298,0.24553915858268738,0.2857808768749237,0.4565047025680542,1.0,0.2967630624771118,0.22068053483963013
eastern,0.26064732670783997,0.13009013235569,0.1799633651971817,0.2247627079486847,0.3928247392177582,1.0,0.25686898827552795,0.33281487226486206,0.3928247392177582,0.22832134366035461,0.3975660800933838,0.1615113615989685,0.21094630658626556,0.3928247392177582,0.24757970869541168,0.20060817897319794
side,0.28958743810653687,0.19660846889019012,0.2522294521331787,0.3734041452407837,0.37146830558776855,0.25686898827552795,1.0,0.2452700436115265,0.37146830558776855,0.1897348016500473,0.21856440603733063,0.14241962134838104,0.19235624372959137,0.37146830558776855,0.17702920734882355,0.07831130921840668
flowed,0.17716267704963684,0.17890195548534393,0.39836812019348145,0.24298825860023499,0.3597415089607239,0.2447194755077362,0.25394704937934875,0.30274975299835205,0.3597415089607239,0.2425217479467392,0.40505170822143555,0.21414445340633392,0.28104928135871887,0.3597415089607239,0.19083738327026367,0.13853344321250916
toward,0.3392593264579773,0.1586475372314453,0.19660191237926483,0.27233201265335083,0.3341628313064575,0.18564534187316895,0.34704524278640747,0.25209522247314453,0.3341628313064575,0.10277195274829865,0.10427514463663101,0.2280302196741104,0.19990487396717072,0.3341628313064575,0.14641466736793518,0.09989774227142334
the,0.5003893971443176,0.34736719727516174,0.297396719455719,0.5107308030128479,1.0,0.3928247392177582,0.37146830558776855,0.733189046382904,1.0,0.260541707277298,0.24553915858268738,0.2857808768749237,0.4565047025680542,1.0,0.2967630624771118,0.22068053483963013
atlantic,0.18975745141506195,0.16449733078479767,0.20324483513832092,0.22113218903541565,0.31052014231681824,0.3909280300140381,0.15391813218593597,0.22176773846149445,0.31052014231681824,0.30139192938804626,0.3821374177932739,0.23406429588794708,0.21443752944469452,0.31052014231681824,0.135727196931839,0.15355663001537323
",",0.3149496018886566,0.3015086054801941,0.26706066727638245,0.49057599902153015,0.4933079481124878,0.3081906735897064,0.24522119760513306,0.4946078956127167,0.4933079481124878,0.2214922308921814,0.25865232944488525,0.2159072756767273,0.38860568404197693,0.4933079481124878,0.26985031366348267,0.31091248989105225
while,0.41293615102767944,0.3330625295639038,0.25556325912475586,0.44084006547927856,0.39804592728614807,0.22443974018096924,0.3614400625228882,0.3366928696632385,0.39804592728614807,0.21993641555309296,0.1632678061723709,0.20028352737426758,0.42262914776802063,0.39804592728614807,0.14224159717559814,0.21076419949531555
to,0.47735077142715454,0.4452643394470215,0.27858173847198486,0.41031414270401,0.535392165184021,0.1750476211309433,0.2686329185962677,0.41548454761505127,0.535392165184021,0.17033490538597107,0.1498844176530838,0.324314147233963,0.37890323996543884,0.535392165184021,0.17915946245193481,0.29463258385658264
the,0.5003893971443176,0.34736719727516174,0.297396719455719,0.5107308030128479,1.0,0.3928247392177582,0.37146830558776855,0.733189046382904,1.0,0.260541707277298,0.24553915858268738,0.2857808768749237,0.4565047025680542,1.0,0.2967630624771118,0.22068053483963013
