,what,were,the,two,huguenot,neighborhoods,created,in,berlin,?
in,0.30808621644973755,0.3815755248069763,0.6662389636039734,0.36463531851768494,0.26198551058769226,0.22769202291965485,0.2843434810638428,1.0,0.2694317102432251,0.20430970191955566
berlin,0.14214999973773956,0.1794617772102356,0.24435602128505707,0.19043852388858795,0.3200712502002716,0.1803651750087738,0.12950918078422546,0.2694317102432251,1.0000001192092896,0.1003006249666214
",",0.3087472915649414,0.36755475401878357,0.4933079481124878,0.35859420895576477,0.24752236902713776,0.2479344755411148,0.2755771577358246,0.5201468467712402,0.21385550498962402,0.31091248989105225
the,0.42745697498321533,0.3906462490558624,1.0,0.43858039379119873,0.29557526111602783,0.21224050223827362,0.3539263904094696,0.6662389636039734,0.24435602128505707,0.22068053483963013
huguenots,0.22128188610076904,0.2728680968284607,0.30745792388916016,0.22564725577831268,0.9459913372993469,0.20502883195877075,0.1608131378889084,0.25916293263435364,0.2936173379421234,0.16010338068008423
created,0.20714101195335388,0.2975761294364929,0.3539263904094696,0.2050572633743286,0.1795702874660492,0.22967804968357086,1.0,0.2843434810638428,0.12950918078422546,0.21177415549755096
two,0.23363454639911652,0.4493520259857178,0.43858039379119873,1.0000001192092896,0.19369328022003174,0.17277488112449646,0.2050572633743286,0.36463531851768494,0.19043852388858795,0.19645625352859497
new,0.2130378633737564,0.21711495518684387,0.3845241069793701,0.2712784707546234,0.20695649087429047,0.28558865189552307,0.25701409578323364,0.3758552670478821,0.21991144120693207,0.14782847464084625
neighbourhoods,0.22327107191085815,0.21414732933044434,0.24148067831993103,0.19996486604213715,0.2159176468849182,0.7309504151344299,0.1894298940896988,0.28086358308792114,0.1405538022518158,0.1353435069322586
:,-0.12022944539785385,-0.04773278534412384,-0.03403344005346298,0.016365518793463707,0.05517185479402542,-0.11319807916879654,-0.073984295129776,0.020521078258752823,0.040761798620224,-0.07156077772378922
dorotheenstadt,0.17444053292274475,0.21851016581058502,0.26406389474868774,0.2264380156993866,0.3653263747692108,0.2586326599121094,0.18554025888442993,0.3060545027256012,0.4723708927631378,0.19924159348011017
and,0.31309178471565247,0.42175528407096863,0.5171257257461548,0.4671151638031006,0.2762077748775482,0.2604881525039673,0.2873832881450653,0.4954058527946472,0.2134299874305725,0.20544172823429108
friedrichstadt,0.19635562598705292,0.15796461701393127,0.22307299077510834,0.17469671368598938,0.3802359402179718,0.154682919383049,0.16507841646671295,0.23429752886295319,0.5618573427200317,0.1753634512424469
.,0.3567904531955719,0.3378238379955292,0.5934505462646484,0.3524959683418274,0.2060975730419159,0.19542212784290314,0.3230568766593933,0.5591574311256409,0.252303808927536,0.4130953550338745
