,where,did,tesla,work,in,1888,?
during,0.3543127477169037,0.30679523944854736,0.08954931050539017,0.1864008754491806,0.4627237319946289,0.14000944793224335,0.1325719803571701
that,0.4876193106174469,0.47518548369407654,0.22102725505828857,0.34257015585899353,0.435920387506485,0.18154317140579224,0.32716336846351624
year,0.20427323877811432,0.21422851085662842,0.1455472707748413,0.18683093786239624,0.3359307050704956,0.2260490506887436,0.18315006792545319
",",0.3149496018886566,0.3015086054801941,0.20599327981472015,0.3283594250679016,0.5201468467712402,0.12918877601623535,0.31091248989105225
tesla,0.12761090695858002,0.09757418930530548,0.9999999403953552,0.2545209228992462,0.17097744345664978,0.12613868713378906,0.10250775516033173
worked,0.23623773455619812,0.3377852141857147,0.15985111892223358,0.5897743105888367,0.28707414865493774,0.10839810967445374,0.0901828184723854
in,0.5344807505607605,0.2593238651752472,0.17097744345664978,0.2753349542617798,1.0,0.13696274161338806,0.20430970191955566
pittsburgh,0.14164462685585022,0.11489082127809525,0.1537020057439804,0.1638978123664856,0.1921023428440094,0.14571809768676758,0.17622371017932892
",",0.3149496018886566,0.3015086054801941,0.20599327981472015,0.3283594250679016,0.5201468467712402,0.12918877601623535,0.31091248989105225
helping,0.25305816531181335,0.3554319441318512,0.14112336933612823,0.4426861107349396,0.27409082651138306,0.07280781865119934,0.28235307335853577
to,0.47735077142715454,0.4452643394470215,0.17548894882202148,0.3482864499092102,0.45010748505592346,0.17033766210079193,0.29463258385658264
create,0.3168865144252777,0.275378555059433,0.19459636509418488,0.33973246812820435,0.21287982165813446,0.02031111903488636,0.300167441368103
an,0.24824833869934082,0.22598257660865784,0.13714656233787537,0.22936125099658966,0.2605783939361572,0.1108282133936882,0.19793890416622162
alternating,0.23877131938934326,0.023347359150648117,0.20965251326560974,0.16929596662521362,0.24697254598140717,0.16242994368076324,0.13878576457500458
current,0.21811948716640472,0.07635620981454849,0.19374153017997742,0.13043683767318726,0.1955713927745819,0.13739219307899475,0.12074550241231918
system,0.2373466193675995,0.1967303454875946,0.18243813514709473,0.24377161264419556,0.21978288888931274,0.1605404019355774,0.15556083619594574
to,0.47735077142715454,0.4452643394470215,0.17548894882202148,0.3482864499092102,0.45010748505592346,0.17033766210079193,0.29463258385658264
power,0.1914481520652771,0.2120266556739807,0.27547121047973633,0.1541198492050171,0.16666220128536224,0.12052726745605469,0.15304024517536163
the,0.5003893971443176,0.34736719727516174,0.1324402391910553,0.2704800069332123,0.6662389636039734,0.2002750039100647,0.22068053483963013
city,0.2686662971973419,0.12266099452972412,0.13220614194869995,0.12649786472320557,0.3911624252796173,0.11636682599782944,0.13423943519592285
's,0.0007701900321990252,0.05069678649306297,0.06449045985937119,-0.03332063928246498,-0.037580832839012146,0.00017254317936021835,-0.023395681753754616
streetcars,0.24385319650173187,0.22382256388664246,0.29458627104759216,0.2189902812242508,0.27939674258232117,0.19070522487163544,0.15918008983135223
.,0.41390106081962585,0.35288307070732117,0.17949827015399933,0.33121398091316223,0.5591574311256409,0.15230658650398254,0.4130953550338745
