,what,doctor,who,actor,won,a,best,actor,award,in,2012,?
doctor,0.20870667695999146,0.9999999403953552,0.3504868149757385,0.24602581560611725,0.20737384259700775,0.22883038222789764,0.1909310668706894,0.24602581560611725,0.14153583347797394,0.25567495822906494,0.12708549201488495,0.1462511420249939
who,0.40942975878715515,0.3504868149757385,0.9999998807907104,0.24853737652301788,0.24654650688171387,0.36608949303627014,0.266329824924469,0.24853737652301788,0.20553933084011078,0.2792111933231354,0.23490679264068604,0.26220351457595825
star,0.14606088399887085,0.13059835135936737,0.17057761549949646,0.2750890254974365,0.20417320728302002,0.23992229998111725,0.23752731084823608,0.2750890254974365,0.24824075400829315,0.22244247794151306,0.22802485525608063,0.10727278888225555
matt,0.15552017092704773,0.195547953248024,0.2321597933769226,0.27360066771507263,0.1959228366613388,0.17399178445339203,0.1959746778011322,0.27360066771507263,0.19228710234165192,0.14907358586788177,0.08586481958627701,0.11641338467597961
smith,0.2301866114139557,0.2512682378292084,0.3096564710140228,0.19611872732639313,0.18785567581653595,0.20341160893440247,0.2350553572177887,0.19611872732639313,0.2325822412967682,0.20223411917686462,0.1594228297472,0.21930724382400513
won,0.14840687811374664,0.20737384259700775,0.24654650688171387,0.25031381845474243,1.0000001192092896,0.22534137964248657,0.42620420455932617,0.25031381845474243,0.5295910239219666,0.3280489146709442,0.17525412142276764,0.17925700545310974
best,0.3036847710609436,0.1909310668706894,0.266329824924469,0.3703126311302185,0.42620420455932617,0.2547774314880371,0.9999999403953552,0.3703126311302185,0.5186157822608948,0.2813531160354614,0.175950825214386,0.2799045741558075
actor,0.1445341259241104,0.24602581560611725,0.24853737652301788,1.0,0.25031381845474243,0.19491945207118988,0.3703126311302185,1.0,0.30538707971572876,0.1778985857963562,0.15184447169303894,0.16922013461589813
in,0.30808621644973755,0.25567495822906494,0.2792111933231354,0.1778985857963562,0.3280489146709442,0.539380669593811,0.2813531160354614,0.1778985857963562,0.23376452922821045,1.0,0.3800647258758545,0.20430970191955566
the,0.42745697498321533,0.2820442318916321,0.3733934462070465,0.1662968546152115,0.29432493448257446,0.5829201340675354,0.3134109377861023,0.1662968546152115,0.24073810875415802,0.6662389636039734,0.46885523200035095,0.22068053483963013
2012,0.2266836017370224,0.12708549201488495,0.23490679264068604,0.15184447169303894,0.17525412142276764,0.3774794936180115,0.175950825214386,0.15184447169303894,0.1810459941625595,0.3800647258758545,1.0,0.18042556941509247
national,0.16882304847240448,0.11481086909770966,0.18105065822601318,0.1526031643152237,0.24765413999557495,0.27889734506607056,0.18944062292575836,0.1526031643152237,0.23192229866981506,0.28915393352508545,0.2114441692829132,0.15643028914928436
television,0.19838058948516846,0.31410008668899536,0.2515988349914551,0.5045640468597412,0.22134947776794434,0.22552843391895294,0.28448715806007385,0.5045640468597412,0.34563982486724854,0.2689782977104187,0.14050641655921936,0.16825827956199646
awards,0.1704339236021042,0.16846410930156708,0.22637341916561127,0.2841223478317261,0.5537689328193665,0.18129821121692657,0.48694908618927,0.2841223478317261,0.8199694752693176,0.22963622212409973,0.178873211145401,0.2122269868850708
alongside,0.154389888048172,0.18226948380470276,0.20592084527015686,0.23782013356685638,0.2221394181251526,0.17068058252334595,0.1682327389717102,0.23782013356685638,0.1354178786277771,0.2767621576786041,0.19822026789188385,0.20579710602760315
karen,0.1476377695798874,0.2096131294965744,0.22600184381008148,0.29539236426353455,0.13660550117492676,0.1903139352798462,0.17267075181007385,0.29539236426353455,0.15125639736652374,0.1807478368282318,0.15098220109939575,0.16657432913780212
gillan,0.14562395215034485,0.30080151557922363,0.289428174495697,0.21995894610881805,0.18466612696647644,0.1969062089920044,0.1897275298833847,0.21995894610881805,0.1536945104598999,0.200065478682518,0.1873481273651123,0.10386432707309723
who,0.40942975878715515,0.3504868149757385,0.9999998807907104,0.24853737652301788,0.24654650688171387,0.36608949303627014,0.266329824924469,0.24853737652301788,0.20553933084011078,0.2792111933231354,0.23490679264068604,0.26220351457595825
won,0.14840687811374664,0.20737384259700775,0.24654650688171387,0.25031381845474243,1.0000001192092896,0.22534137964248657,0.42620420455932617,0.25031381845474243,0.5295910239219666,0.3280489146709442,0.17525412142276764,0.17925700545310974
best,0.3036847710609436,0.1909310668706894,0.266329824924469,0.3703126311302185,0.42620420455932617,0.2547774314880371,0.9999999403953552,0.3703126311302185,0.5186157822608948,0.2813531160354614,0.175950825214386,0.2799045741558075
actress,0.17165528237819672,0.23929369449615479,0.19982321560382843,0.6358423829078674,0.24753700196743011,0.19769038259983063,0.3775967061519623,0.6358423829078674,0.3474014401435852,0.22754959762096405,0.17431271076202393,0.17259088158607483
.,0.3567904531955719,0.22361043095588684,0.3541337847709656,0.19830204546451569,0.3011801838874817,0.50484299659729,0.31068575382232666,0.19830204546451569,0.21118880808353424,0.5591574311256409,0.37805238366127014,0.4130953550338745
