,along,with,nuclear,",",geothermal,and,internal,combustion,engine,waste,heat,",",what,sort,of,energy,might,supply,the,heat,for,a,steam,engine,?
in,0.3603311777114868,0.4080928862094879,0.2580479681491852,0.5201468467712402,0.26763245463371277,0.4954058527946472,0.20769467949867249,0.2270977944135666,0.18885408341884613,0.1575256586074829,0.20852652192115784,0.5201468467712402,0.30808621644973755,0.20928911864757538,0.5696388483047485,0.17693158984184265,0.26443570852279663,0.21402505040168762,0.6662389636039734,0.20852652192115784,0.4322226941585541,0.539380669593811,0.19852672517299652,0.18885408341884613,0.20430970191955566
some,0.2941672205924988,0.3924338221549988,0.22735491394996643,0.42400437593460083,0.3097015917301178,0.5337774157524109,0.25206008553504944,0.2772027850151062,0.14472700655460358,0.2948441505432129,0.24312715232372284,0.42400437593460083,0.4491020441055298,0.3505491018295288,0.4300730526447296,0.20073316991329193,0.541539192199707,0.22656331956386566,0.4566698372364044,0.24312715232372284,0.4257155656814575,0.34539633989334106,0.2320948839187622,0.14472700655460358,0.2562315762042999
cases,0.0933370292186737,0.29711535573005676,0.195575550198555,0.25102201104164124,0.2346607744693756,0.31821322441101074,0.25004634261131287,0.3056538701057434,0.1746797412633896,0.1883794367313385,0.1784852147102356,0.25102201104164124,0.2612028121948242,0.26613155007362366,0.31000128388404846,0.24016249179840088,0.40718042850494385,0.2176377773284912,0.33415094017982483,0.1784852147102356,0.3302192687988281,0.3244450092315674,0.1582229882478714,0.1746797412633896,0.25599566102027893
the,0.39495137333869934,0.4223487675189972,0.23911187052726746,0.4933079481124878,0.26978713274002075,0.5171257257461548,0.24764955043792725,0.2447446882724762,0.21651263535022736,0.1971915364265442,0.2556036710739136,0.4933079481124878,0.42745697498321533,0.31158876419067383,0.733189046382904,0.26756542921066284,0.32504433393478394,0.31942567229270935,1.0,0.2556036710739136,0.4739971458911896,0.5829201340675354,0.23105813562870026,0.21651263535022736,0.22068053483963013
heat,0.15695764124393463,0.2545742690563202,0.273171991109848,0.25331911444664,0.5221715569496155,0.2678423523902893,0.28870540857315063,0.5117379426956177,0.3821377456188202,0.35695213079452515,1.0,0.25331911444664,0.1933984011411667,0.22924460470676422,0.19590096175670624,0.5270351767539978,0.1886371523141861,0.3658212423324585,0.2556036710739136,1.0,0.2318875640630722,0.2243129312992096,0.45067235827445984,0.3821377456188202,0.16343188285827637
source,0.13185645639896393,0.16254369914531708,0.20006205141544342,0.2657822072505951,0.36595505475997925,0.24024291336536407,0.2211267054080963,0.2858010232448578,0.2470884472131729,0.251336932182312,0.27898353338241577,0.2657822072505951,0.2553733289241791,0.2386784851551056,0.18598204851150513,0.3006170690059662,0.23255057632923126,0.3905336558818817,0.30258262157440186,0.27898353338241577,0.24517817795276642,0.18778453767299652,0.190715953707695,0.2470884472131729,0.2462312877178192
is,0.23571021854877472,0.3250955045223236,0.20016400516033173,0.4691906273365021,0.2605198621749878,0.3859752118587494,0.14705020189285278,0.27011600136756897,0.18856970965862274,0.20201261341571808,0.20543494820594788,0.4691906273365021,0.28837618231773376,0.27924588322639465,0.4854315221309662,0.2171693742275238,0.37027186155319214,0.23221483826637268,0.5823672413825989,0.20543494820594788,0.43268078565597534,0.658733606338501,0.13029660284519196,0.18856970965862274,0.22961433231830597
a,0.24426962435245514,0.3783375024795532,0.20050431787967682,0.427140474319458,0.2148166000843048,0.3739250600337982,0.25449109077453613,0.3238258957862854,0.24768835306167603,0.1976010948419571,0.2243129312992096,0.427140474319458,0.3320399522781372,0.31923773884773254,0.5052502155303955,0.21513298153877258,0.4210625886917114,0.2115103155374527,0.5829201340675354,0.2243129312992096,0.44038116931915283,1.0,0.2141898274421692,0.24768835306167603,0.23916715383529663
nuclear,0.13471058011054993,0.18639449775218964,1.0000001192092896,0.23752127587795258,0.3634890615940094,0.20250080525875092,0.156830832362175,0.3558702766895294,0.1780765801668167,0.34910908341407776,0.273171991109848,0.23752127587795258,0.23862333595752716,0.13516587018966675,0.2591283917427063,0.4433448612689972,0.24616552889347076,0.28737759590148926,0.23911187052726746,0.273171991109848,0.1918945014476776,0.20050431787967682,0.2956201434135437,0.1780765801668167,0.1865687519311905
reactor,0.19763927161693573,0.17943039536476135,0.6266277432441711,0.1914381980895996,0.4524294137954712,0.20646828413009644,0.22518396377563477,0.4625610411167145,0.3389279842376709,0.33645176887512207,0.4294826090335846,0.1914381980895996,0.21253983676433563,0.06958846747875214,0.22016942501068115,0.40272849798202515,0.2322971373796463,0.3584142029285431,0.25504618883132935,0.4294826090335846,0.21729429066181183,0.22266483306884766,0.42248615622520447,0.3389279842376709,0.1394413560628891
