,what,percentage,of,filipino,tertiary,education,takes,place,in,private,schools,?
in,0.30808621644973755,0.18874377012252808,0.5696388483047485,0.12307817488908768,0.22423051297664642,0.2654339671134949,0.2945663630962372,0.38128477334976196,1.0,0.21135757863521576,0.2632134258747101,0.20430970191955566
the,0.42745697498321533,0.2736506462097168,0.733189046382904,0.16211169958114624,0.24001607298851013,0.23982903361320496,0.33578023314476013,0.4179787337779999,0.6662389636039734,0.18291357159614563,0.22905772924423218,0.22068053483963013
philippines,0.07227330654859543,0.13570891320705414,0.2727682888507843,0.5725322365760803,0.16503450274467468,0.20557817816734314,0.12044121325016022,0.11179932206869125,0.23086273670196533,0.2399723082780838,0.170150488615036,0.09991075843572617
",",0.3087472915649414,0.21945469081401825,0.4946078956127167,0.2570640444755554,0.19413137435913086,0.2718683183193207,0.2755669057369232,0.34068408608436584,0.5201468467712402,0.1899166703224182,0.2760516405105591,0.31091248989105225
the,0.42745697498321533,0.2736506462097168,0.733189046382904,0.16211169958114624,0.24001607298851013,0.23982903361320496,0.33578023314476013,0.4179787337779999,0.6662389636039734,0.18291357159614563,0.22905772924423218,0.22068053483963013
private,0.16778090596199036,0.13822926580905914,0.18706899881362915,0.1971120536327362,0.20003458857536316,0.34071704745292664,0.0642256960272789,0.11915478110313416,0.21135757863521576,1.0,0.4158569872379303,0.14389030635356903
sector,0.18244388699531555,0.27017900347709656,0.23412683606147766,0.09680832922458649,0.3772052526473999,0.36066949367523193,0.10065121948719025,0.16882239282131195,0.2731133699417114,0.3251519203186035,0.31846946477890015,0.06294605135917664
has,0.20338068902492523,0.21051472425460815,0.3909035325050354,0.10310731828212738,0.1284899115562439,0.19203995168209076,0.309713214635849,0.1814502328634262,0.4173259735107422,0.1315586119890213,0.2180989682674408,0.15994466841220856
been,0.2567804455757141,0.17744223773479462,0.31685134768486023,0.05860760807991028,0.17807550728321075,0.1519710272550583,0.1349913626909256,0.24417364597320557,0.3515113592147827,0.10474855452775955,0.22632038593292236,0.24354910850524902
a,0.3320399522781372,0.25336048007011414,0.5052502155303955,0.18039856851100922,0.20181973278522491,0.21779850125312805,0.3491862416267395,0.3079278767108917,0.539380669593811,0.20346391201019287,0.2118925303220749,0.23916715383529663
major,0.21026742458343506,0.17855136096477509,0.2641255557537079,0.14722739160060883,0.22054870426654816,0.12591534852981567,0.12469659745693207,0.15742388367652893,0.3249945342540741,0.20668938755989075,0.21287967264652252,0.19788557291030884
provider,0.24875915050506592,0.25597041845321655,0.234352245926857,0.1872008889913559,0.3284789025783539,0.3416011333465576,0.21262714266777039,0.22705526649951935,0.1902105063199997,0.34430992603302,0.24769312143325806,0.2242300808429718
of,0.33290785551071167,0.24724560976028442,1.0,0.168240487575531,0.21779176592826843,0.3015166223049164,0.3277401030063629,0.2685627043247223,0.5696388483047485,0.18706899881362915,0.265506386756897,0.1826142966747284
educational,0.2158561795949936,0.15751567482948303,0.3187834620475769,0.18762432038784027,0.31103697419166565,0.8527971506118774,0.14999090135097504,0.16089260578155518,0.29241177439689636,0.3499286472797394,0.5674533247947693,0.20904642343521118
