,what,charity,benefited,from,the,30th,anniversary,show,?
in,0.30808621644973755,0.18565869331359863,0.19500739872455597,0.4274188280105591,0.6662389636039734,0.1858179271221161,0.25491592288017273,0.27595704793930054,0.20430970191955566
1993,0.13556112349033356,0.1034756749868393,0.07429292052984238,-0.022628601640462875,-0.03424737602472305,-0.07351811975240707,0.055500682443380356,-0.06886498630046844,0.14008748531341553
",",0.3087472915649414,0.21246729791164398,0.2282680720090866,0.39760664105415344,0.4933079481124878,0.1899278610944748,0.20396199822425842,0.31928569078445435,0.31091248989105225
for,0.3017193675041199,0.2896091938018799,0.3251076936721802,0.314039945602417,0.4739971458911896,0.16724558174610138,0.24768374860286713,0.3141973614692688,0.264628142118454
the,0.42745697498321533,0.21295595169067383,0.24850165843963623,0.40150508284568787,1.0,0.2819302976131439,0.29318708181381226,0.319829523563385,0.22068053483963013
franchise,0.1852455735206604,0.22481131553649902,0.18619397282600403,0.19910928606987,0.30872398614883423,0.09984545409679413,0.15329641103744507,0.2352820783853531,0.13445523381233215
's,0.02692362666130066,0.055543091148138046,-0.018376007676124573,-0.01936490088701248,-0.01540423184633255,0.11903931200504303,-0.008144883438944817,6.513196422019973e-05,-0.023395681753754616
30th,0.14554515480995178,0.20382386445999146,0.08027742803096771,0.1584375649690628,0.2819302976131439,1.0,0.2913655638694763,0.2238028198480606,0.08402163535356522
anniversary,0.15616674721240997,0.21525487303733826,0.1698654592037201,0.11344804614782333,0.29318708181381226,0.2913655638694763,1.0,0.20774516463279724,0.1981802135705948
",",0.3087472915649414,0.21246729791164398,0.2282680720090866,0.39760664105415344,0.4933079481124878,0.1899278610944748,0.20396199822425842,0.31928569078445435,0.31091248989105225
another,0.4190070629119873,0.2350677251815796,0.23579327762126923,0.31349602341651917,0.5019711852073669,0.20360803604125977,0.131978839635849,0.23874609172344208,0.295511931180954
charity,0.2074352502822876,1.0,0.37787696719169617,0.1594700813293457,0.21295595169067383,0.20382386445999146,0.21525487303733826,0.1574200689792633,0.17256353795528412
special,0.24134232103824615,0.2125212550163269,0.13539056479930878,0.17036697268486023,0.3027077615261078,0.12527358531951904,0.3297252953052521,0.2602277398109436,0.29623302817344666
",",0.3087472915649414,0.21246729791164398,0.2282680720090866,0.39760664105415344,0.4933079481124878,0.1899278610944748,0.20396199822425842,0.31928569078445435,0.31091248989105225
titled,0.21236079931259155,0.1452525556087494,0.12665265798568726,0.18302534520626068,0.267250657081604,0.18426445126533508,0.35536715388298035,0.25833073258399963,0.23354937136173248
dimensions,0.22588478028774261,0.10011254996061325,0.0930861383676529,0.09381324797868729,0.16366221010684967,0.31739935278892517,0.19876614212989807,0.23878078162670135,0.2405867874622345
in,0.30808621644973755,0.18565869331359863,0.19500739872455597,0.4274188280105591,0.6662389636039734,0.1858179271221161,0.25491592288017273,0.27595704793930054,0.20430970191955566
time,0.36319252848625183,0.1447758823633194,0.26395970582962036,0.2964353561401367,0.43061500787734985,0.18921606242656708,0.2806112766265869,0.19633352756500244,0.27391523122787476
was,0.22111038863658905,0.21781642735004425,0.2512548863887787,0.31171464920043945,0.48711544275283813,0.2303590625524521,0.28924626111984253,0.20142383873462677,0.18412111699581146
produced,0.1393624097108841,0.09267561882734299,0.2524286210536957,0.19831010699272156,0.22045251727104187,0.14545288681983948,0.17343862354755402,0.2940535843372345,0.1623450517654419
for,0.3017193675041199,0.2896091938018799,0.3251076936721802,0.314039945602417,0.4739971458911896,0.16724558174610138,0.24768374860286713,0.3141973614692688,0.264628142118454
children,0.22469459474086761,0.2694293260574341,0.17336565256118774,0.17079515755176544,0.15654058754444122,0.11963842064142227,0.17320141196250916,0.24469324946403503,0.21788206696510315
in,0.30808621644973755,0.18565869331359863,0.19500739872455597,0.4274188280105591,0.6662389636039734,0.1858179271221161,0.25491592288017273,0.27595704793930054,0.20430970191955566
