,what,cataloging,system,was,used,by,the,national,art,library,from,the,1980s,to,the,1990s,?
a,0.3320399522781372,0.19516240060329437,0.2589043080806732,0.4508470594882965,0.3864384889602661,0.32094135880470276,0.5829201340675354,0.27889734506607056,0.1329297125339508,0.13480092585086823,0.322764128446579,0.5829201340675354,0.1030743196606636,0.45503583550453186,0.5829201340675354,-0.03140617534518242,0.23916715383529663
computer,0.26911869645118713,0.30045923590660095,0.3221023678779602,0.1967092603445053,0.24411344528198242,0.20605696737766266,0.19781450927257538,0.10450800508260727,0.20766788721084595,0.24541200697422028,0.14436781406402588,0.19781450927257538,0.11838573962450027,0.2594811022281647,0.19781450927257538,0.04580702632665634,0.20203553140163422
system,0.23557309806346893,0.2348387986421585,1.0000001192092896,0.2147521674633026,0.27983206510543823,0.23017624020576477,0.3233085572719574,0.18558050692081451,0.1329442709684372,0.19369082152843475,0.22092437744140625,0.3233085572719574,0.13803744316101074,0.26662686467170715,0.3233085572719574,-0.03457874432206154,0.15556083619594574
called,0.3235960602760315,0.17109477519989014,0.23914183676242828,0.33927658200263977,0.46930378675460815,0.3092815577983856,0.489897221326828,0.20165744423866272,0.1624414622783661,0.11875016242265701,0.2703215777873993,0.489897221326828,0.17579428851604462,0.2987143397331238,0.489897221326828,-0.10512734204530716,0.18963319063186646
modes,0.18803925812244415,0.2517172694206238,0.2733534276485443,0.11000576615333557,0.25512129068374634,0.15282583236694336,0.20162664353847504,0.15203505754470825,0.15365131199359894,0.16402536630630493,0.21756704151630402,0.20162664353847504,0.06359437853097916,0.226476788520813,0.20162664353847504,-0.08932700008153915,0.19503828883171082
cataloging,0.2240416258573532,1.0000001192092896,0.2348387986421585,0.1572289615869522,0.25410959124565125,0.25253617763519287,0.2358824610710144,0.20109878480434418,0.34609469771385193,0.37249210476875305,0.19146153330802917,0.2358824610710144,0.15155069530010223,0.18438924849033356,0.2358824610710144,0.0061817956157028675,0.20958587527275085
system,0.23557309806346893,0.2348387986421585,1.0000001192092896,0.2147521674633026,0.27983206510543823,0.23017624020576477,0.3233085572719574,0.18558050692081451,0.1329442709684372,0.19369082152843475,0.22092437744140625,0.3233085572719574,0.13803744316101074,0.26662686467170715,0.3233085572719574,-0.03457874432206154,0.15556083619594574
was,0.22111038863658905,0.1572289615869522,0.2147521674633026,1.0000001192092896,0.23679393529891968,0.4752357602119446,0.48711544275283813,0.2433898150920868,0.20564036071300507,0.1691625416278839,0.31171464920043945,0.48711544275283813,-0.0172738004475832,0.3636345863342285,0.48711544275283813,0.023869428783655167,0.18412111699581146
used,0.27546408772468567,0.25410959124565125,0.27983206510543823,0.23679393529891968,0.9999998807907104,0.27705541253089905,0.3718377649784088,0.22750559449195862,0.13082589209079742,0.14507576823234558,0.25821518898010254,0.3718377649784088,0.18456844985485077,0.40058770775794983,0.3718377649784088,-0.005680206697434187,0.22430120408535004
from,0.2737620174884796,0.19146153330802917,0.22092437744140625,0.31171464920043945,0.25821518898010254,0.3373257517814636,0.40150508284568787,0.17547941207885742,0.2182932198047638,0.21735483407974243,1.0,0.40150508284568787,-0.004156426060944796,0.4069952368736267,0.40150508284568787,-0.07036815583705902,0.19969791173934937
the,0.42745697498321533,0.2358824610710144,0.3233085572719574,0.48711544275283813,0.3718377649784088,0.4408751428127289,1.0,0.32739606499671936,0.20297785103321075,0.19920319318771362,0.40150508284568787,1.0,0.07890266180038452,0.535392165184021,1.0,-0.09473290294408798,0.22068053483963013
1980s,-0.06585196405649185,0.15155069530010223,0.13803744316101074,-0.0172738004475832,0.18456844985485077,-0.010664036497473717,0.07890266180038452,0.09853403270244598,0.01912817917764187,0.06137442588806152,-0.004156426060944796,0.07890266180038452,1.0,-0.014551017433404922,0.07890266180038452,-0.19060221314430237,-0.0718669518828392
to,0.455847829580307,0.18438924849033356,0.26662686467170715,0.3636345863342285,0.40058770775794983,0.33534231781959534,0.535392165184021,0.21067756414413452,0.22068513929843903,0.19252733886241913,0.4069952368736267,0.535392165184021,-0.014551017433404922,1.0,0.535392165184021,0.0236239992082119,0.29463258385658264
the,0.42745697498321533,0.2358824610710144,0.3233085572719574,0.48711544275283813,0.3718377649784088,0.4408751428127289,1.0,0.32739606499671936,0.20297785103321075,0.19920319318771362,0.40150508284568787,1.0,0.07890266180038452,0.535392165184021,1.0,-0.09473290294408798,0.22068053483963013
