,what,is,the,application,of,prime,numbers,used,in,information,technology,which,utilizes,the,fact,that,factoring,very,large,prime,numbers,is,very,challenging,?
primes,0.2505246102809906,0.2382466346025467,0.22359657287597656,0.18392574787139893,0.22199293971061707,0.7104739546775818,0.47689586877822876,0.2170487493276596,0.20882321894168854,0.15517498552799225,0.14708764851093292,0.2975362241268158,0.23917825520038605,0.22359657287597656,0.3199455738067627,0.30276167392730713,0.34979426860809326,0.2154330164194107,0.17346440255641937,0.7104739546775818,0.47689586877822876,0.2382466346025467,0.2154330164194107,0.2151409238576889,0.18851876258850098
are,0.29724663496017456,0.5330929756164551,0.40399202704429626,0.21877418458461761,0.39081433415412903,0.12279369682073593,0.37760815024375916,0.3322218656539917,0.3841303884983063,0.2984195947647095,0.17493250966072083,0.42922598123550415,0.24286103248596191,0.40399202704429626,0.3166824281215668,0.45265161991119385,0.26544833183288574,0.41714969277381897,0.3467932939529419,0.12279369682073593,0.37760815024375916,0.5330929756164551,0.41714969277381897,0.24754439294338226,0.24591213464736938
used,0.27546408772468567,0.3288823366165161,0.3718377649784088,0.32137730717658997,0.3075267970561981,0.1468653529882431,0.30476072430610657,0.9999998807907104,0.3090210556983948,0.287030428647995,0.22553960978984833,0.414506196975708,0.3475569486618042,0.3718377649784088,0.26305919885635376,0.37621384859085083,0.35451436042785645,0.36569854617118835,0.3057393729686737,0.1468653529882431,0.30476072430610657,0.3288823366165161,0.36569854617118835,0.2401224672794342,0.22430120408535004
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.23744744062423706,0.5696388483047485,0.18097394704818726,0.23087690770626068,0.3090210556983948,1.0,0.20385970175266266,0.24215441942214966,0.4840516746044159,0.18042942881584167,0.6662389636039734,0.25253036618232727,0.435920387506485,0.30912983417510986,0.3209688663482666,0.2841601073741913,0.18097394704818726,0.23087690770626068,0.5394441485404968,0.3209688663482666,0.22803370654582977,0.20430970191955566
several,0.22446060180664062,0.20361857116222382,0.40559855103492737,0.1983504742383957,0.3271615505218506,0.08666123449802399,0.24853697419166565,0.3182496428489685,0.39405709505081177,0.23830722272396088,0.18976131081581116,0.4863804280757904,0.18380191922187805,0.40559855103492737,0.22717730700969696,0.40009650588035583,0.20695741474628448,0.3615834414958954,0.3583792448043823,0.08666123449802399,0.24853697419166565,0.20361857116222382,0.3615834414958954,0.28134220838546753,0.15595775842666626
routines,0.26396796107292175,0.17799213528633118,0.27377310395240784,0.28784841299057007,0.16479787230491638,0.03427308797836304,0.30058661103248596,0.32596340775489807,0.18012076616287231,0.19931097328662872,0.1459934413433075,0.30944254994392395,0.2265690714120865,0.27377310395240784,0.21840614080429077,0.314066618680954,0.29368579387664795,0.30083879828453064,0.22661234438419342,0.03427308797836304,0.30058661103248596,0.17799213528633118,0.30083879828453064,0.29207056760787964,0.19628837704658508
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.23744744062423706,0.5696388483047485,0.18097394704818726,0.23087690770626068,0.3090210556983948,1.0,0.20385970175266266,0.24215441942214966,0.4840516746044159,0.18042942881584167,0.6662389636039734,0.25253036618232727,0.435920387506485,0.30912983417510986,0.3209688663482666,0.2841601073741913,0.18097394704818726,0.23087690770626068,0.5394441485404968,0.3209688663482666,0.22803370654582977,0.20430970191955566
information,0.35283446311950684,0.2520555853843689,0.3143121302127838,0.36731594800949097,0.2860049605369568,0.07965604960918427,0.23574136197566986,0.287030428647995,0.20385970175266266,0.9999999403953552,0.4057588279247284,0.34511786699295044,0.29784178733825684,0.3143121302127838,0.33606332540512085,0.3410947024822235,0.275826632976532,0.23889382183551788,0.20396113395690918,0.07965604960918427,0.23574136197566986,0.2520555853843689,0.23889382183551788,0.18564508855342865,0.24875912070274353
technology,0.1940862536430359,0.20767556130886078,0.21669498085975647,0.3825988173484802,0.25238582491874695,0.12107145041227341,0.11974315345287323,0.22553960978984833,0.24215441942214966,0.4057588279247284,0.9999998807907104,0.24444639682769775,0.2866554856300354,0.21669498085975647,0.21863888204097748,0.24191969633102417,0.3712281584739685,0.19793950021266937,0.2031979262828827,0.12107145041227341,0.11974315345287323,0.20767556130886078,0.19793950021266937,0.21386268734931946,0.11564995348453522
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.28270697593688965,0.4946078956127167,0.2565026581287384,0.26479464769363403,0.3120402991771698,0.5201468467712402,0.297139048576355,0.2817870080471039,0.3658004403114319,0.19048044085502625,0.4933079481124878,0.2791052758693695,0.4137537479400635,0.24624034762382507,0.34709087014198303,0.2263888567686081,0.2565026581287384,0.26479464769363403,0.4691906273365021,0.34709087014198303,0.2612959146499634,0.31091248989105225
