,who,headlined,the,halftime,show,for,super,bowl,50,?
the,0.3733934462070465,0.2894550859928131,1.0,0.31780552864074707,0.319829523563385,0.4739971458911896,0.21959073841571808,0.21576224267482758,0.03602437674999237,0.22068053483963013
super,0.1819351613521576,0.18724042177200317,0.21959073841571808,0.4056760370731354,0.16737808287143707,0.22938419878482819,1.0000001192092896,0.4848237931728363,0.0833745002746582,0.166326642036438
bowl,0.09189514070749283,0.1954048126935959,0.21576224267482758,0.4822790324687958,0.19135026633739471,0.24430087208747864,0.4848237931728363,1.0,0.005446359980851412,0.21118052303791046
50,0.0322180911898613,0.07918412983417511,0.03602437674999237,0.010851318016648293,0.13040520250797272,0.029183456674218178,0.0833745002746582,0.005446359980851412,0.9999999403953552,0.030512850731611252
halftime,0.19379067420959473,0.4387337267398834,0.31780552864074707,1.0000001192092896,0.3664279878139496,0.31425946950912476,0.4056760370731354,0.4822790324687958,0.010851318016648293,0.21138669550418854
show,0.2095358669757843,0.2542087435722351,0.319829523563385,0.3664279878139496,0.9999999403953552,0.3141973614692688,0.16737808287143707,0.19135026633739471,0.13040520250797272,0.2520138621330261
was,0.3318818509578705,0.22705139219760895,0.48711544275283813,0.3564006984233856,0.20142383873462677,0.3863949179649353,0.21420986950397491,0.21915455162525177,-0.0011744623770937324,0.18412111699581146
headlined,0.15209026634693146,1.0000001192092896,0.2894550859928131,0.4387337267398834,0.2542087435722351,0.24607887864112854,0.18724042177200317,0.1954048126935959,0.07918412983417511,0.26601076126098633
by,0.39727845788002014,0.2042505443096161,0.4408751428127289,0.3021155297756195,0.2779667377471924,0.3248702883720398,0.15233319997787476,0.12992306053638458,0.03871260583400726,0.17966607213020325
the,0.3733934462070465,0.2894550859928131,1.0,0.31780552864074707,0.319829523563385,0.4739971458911896,0.21959073841571808,0.21576224267482758,0.03602437674999237,0.22068053483963013
british,0.2666113078594208,0.11987248063087463,0.28973397612571716,0.15968884527683258,0.23710712790489197,0.1970057189464569,0.09609456360340118,0.07435981184244156,-0.0867072194814682,0.09711728990077972
rock,0.1515379399061203,0.2310975342988968,0.23786304891109467,0.4056971073150635,0.2837616503238678,0.20388811826705933,0.1722574681043625,0.18685930967330933,0.09487134218215942,0.13172835111618042
group,0.33690139651298523,0.1444120705127716,0.30795547366142273,0.1973573863506317,0.24681155383586884,0.24519909918308258,0.19919921457767487,0.07137768715620041,0.030915753915905952,0.13827809691429138
coldplay,0.21639695763587952,0.3842167556285858,0.2809646725654602,0.5025559067726135,0.28030601143836975,0.2923817038536072,0.1792786419391632,0.2318706214427948,0.061377592384815216,0.2499987930059433
with,0.3282766342163086,0.2896673083305359,0.4223487675189972,0.3187163174152374,0.3004990220069885,0.39140474796295166,0.1518537551164627,0.18353787064552307,0.08371289074420929,0.2433311939239502
special,0.21519862115383148,0.1802847981452942,0.3027077615261078,0.2269991636276245,0.2602277398109436,0.311454176902771,0.2675681412220001,0.188632994890213,0.010398488491773605,0.29623302817344666
