,what,element,makes,up,almost,half,of,the,earth,'s,crust,by,mass,?
however,0.4480680823326111,0.2103387862443924,0.38521841168403625,0.357430636882782,0.5134443640708923,0.28205615282058716,0.3800618350505829,0.49814513325691223,0.2636752426624298,0.011690815910696983,0.23193320631980896,0.34889668226242065,0.2421921342611313,0.2152075469493866
",",0.3087472915649414,0.20181523263454437,0.2926395535469055,0.34193792939186096,0.3425607979297638,0.26690807938575745,0.4946078956127167,0.4933079481124878,0.23186853528022766,-0.0016132977325469255,0.2004449963569641,0.3680937886238098,0.2439754158258438,0.31091248989105225
monitoring,0.34662064909935,0.16613665223121643,0.2654199004173279,0.21898598968982697,0.17788732051849365,0.11188728362321854,0.2575657069683075,0.2573389708995819,0.13509051501750946,0.060089360922575,0.20955273509025574,0.15038754045963287,0.26745542883872986,0.21475833654403687
of,0.33290785551071167,0.21102571487426758,0.2927091419696808,0.32945773005485535,0.3144364058971405,0.2784358561038971,1.0,0.733189046382904,0.2329314798116684,-0.03817026689648628,0.21774794161319733,0.3646814823150635,0.26915112137794495,0.1826142966747284
atmospheric,0.2079145908355713,0.26769059896469116,0.17441755533218384,0.24020396173000336,0.1691465675830841,0.1368456780910492,0.25383174419403076,0.25230076909065247,0.4571720361709595,-0.016899242997169495,0.4148809015750885,0.18186768889427185,0.33646252751350403,0.11404281854629517
oxygen,0.16781960427761078,0.35867807269096375,0.22894568741321564,0.28784632682800293,0.17669527232646942,0.20719686150550842,0.16848602890968323,0.20428593456745148,0.3065866231918335,-0.011648092418909073,0.35231712460517883,0.1292176991701126,0.28330692648887634,0.16786395013332367
levels,0.21641245484352112,0.261976033449173,0.19796627759933472,0.24807043373584747,0.18755175173282623,0.13052301108837128,0.23668165504932404,0.286034494638443,0.1534549742937088,0.0031945309601724148,0.24045254290103912,0.20695684850215912,0.15824748575687408,0.1541307419538498
show,0.29653704166412354,0.2398335486650467,0.20542402565479279,0.27403897047042847,0.17102903127670288,0.16559940576553345,0.21383242309093475,0.319829523563385,0.1938711255788803,6.513196422019973e-05,0.13550008833408356,0.2779667377471924,0.1436379998922348,0.2520138621330261
a,0.3320399522781372,0.3271445333957672,0.3509295880794525,0.32523053884506226,0.28146228194236755,0.29977813363075256,0.5052502155303955,0.5829201340675354,0.21121151745319366,0.04866964742541313,0.17277196049690247,0.32094135880470276,0.21558082103729248,0.23916715383529663
global,0.21706031262874603,0.1164136677980423,0.18008564412593842,0.14296163618564606,0.10614396631717682,0.09572850167751312,0.19114547967910767,0.17898012697696686,0.2700599431991577,0.10458717495203018,0.31810346245765686,0.16183742880821228,0.2203797847032547,0.22985349595546722
downward,0.20195426046848297,0.1793910413980484,0.2351614534854889,0.3318062424659729,0.23459181189537048,0.1880529671907425,0.16463246941566467,0.30498912930488586,0.3158310651779175,-0.08648019284009933,0.3766850531101227,0.2100209891796112,0.2378031462430954,0.19264617562294006
trend,0.22732172906398773,0.20922210812568665,0.15024356544017792,0.25539785623550415,0.24689561128616333,0.17111822962760925,0.17461234331130981,0.23692767322063446,0.19556991755962372,-0.030595991760492325,0.30170056223869324,0.2214619219303131,0.2564426362514496,0.10325077921152115
",",0.3087472915649414,0.20181523263454437,0.2926395535469055,0.34193792939186096,0.3425607979297638,0.26690807938575745,0.4946078956127167,0.4933079481124878,0.23186853528022766,-0.0016132977325469255,0.2004449963569641,0.3680937886238098,0.2439754158258438,0.31091248989105225
because,0.46729007363319397,0.239339679479599,0.42937523126602173,0.2798987329006195,0.4415952265262604,0.28287360072135925,0.4075504541397095,0.44596394896507263,0.2562822103500366,0.05210670828819275,0.17829585075378418,0.3562704622745514,0.2884849011898041,0.2528740465641022
of,0.33290785551071167,0.21102571487426758,0.2927091419696808,0.32945773005485535,0.3144364058971405,0.2784358561038971,1.0,0.733189046382904,0.2329314798116684,-0.03817026689648628,0.21774794161319733,0.3646814823150635,0.26915112137794495,0.1826142966747284
fossil-fuel,0.2529083490371704,0.2382870763540268,0.1865747720003128,0.1981833577156067,0.24781188368797302,0.1189817264676094,0.26303431391716003,0.2652856707572937,0.29287105798721313,0.02300788089632988,0.3495149612426758,0.14359623193740845,0.18862994015216827,0.16987590491771698
burning,0.21885274350643158,0.17013627290725708,0.26636168360710144,0.28074342012405396,0.2554856240749359,0.14714930951595306,0.26340749859809875,0.2821531891822815,0.24906235933303833,-0.002211935818195343,0.22417575120925903,0.26396140456199646,0.2032410353422165,0.18033187091350555
.,0.3567904531955719,0.24230757355690002,0.265095978975296,0.351434588432312,0.3878043293952942,0.2995082437992096,0.5352458953857422,0.5934505462646484,0.2542925775051117,-0.003708066651597619,0.22772817313671112,0.3936232924461365,0.25224974751472473,0.4130953550338745
