,in,what,episode,does,the,``,fall,of,the,eleventh,'',happen,?
in,1.0,0.30808621644973755,0.19184806942939758,0.214483380317688,0.6662389636039734,0.04765888676047325,0.22958555817604065,0.5696388483047485,0.6662389636039734,0.29234778881073,0.07432962208986282,0.2613373398780823,0.20430970191955566
the,0.6662389636039734,0.42745697498321533,0.25342556834220886,0.35928019881248474,1.0,0.029072100296616554,0.3639753758907318,0.733189046382904,1.0,0.3663412928581238,0.041273195296525955,0.2880464494228363,0.22068053483963013
2013,-0.2606481909751892,-0.3886653184890747,-0.24324563145637512,-0.33131784200668335,-0.38509321212768555,-0.03703688085079193,-0.24517051875591278,-0.2904720902442932,-0.38509321212768555,-0.130004420876503,-0.027504753321409225,-0.3463793098926544,-0.2969330847263336
episode,0.19184806942939758,0.1919318586587906,1.0,0.17971916496753693,0.25342556834220886,-0.035673100501298904,0.2063879519701004,0.17369085550308228,0.25342556834220886,0.3004342317581177,-0.014759616926312447,0.21554909646511078,0.23978739976882935
``,0.04765888676047325,0.008517155423760414,-0.035673100501298904,0.06539655476808548,0.029072100296616554,1.0,-0.03271329775452614,0.06780257821083069,0.029072100296616554,0.0112016461789608,-0.09173435717821121,0.03577263653278351,0.0685480609536171
the,0.6662389636039734,0.42745697498321533,0.25342556834220886,0.35928019881248474,1.0,0.029072100296616554,0.3639753758907318,0.733189046382904,1.0,0.3663412928581238,0.041273195296525955,0.2880464494228363,0.22068053483963013
time,0.3431483507156372,0.36319252848625183,0.28294599056243896,0.2519678771495819,0.43061500787734985,0.041467953473329544,0.24817004799842834,0.35127586126327515,0.43061500787734985,0.21901322901248932,-0.01899585872888565,0.36941108107566833,0.27391523122787476
of,0.5696388483047485,0.33290785551071167,0.17369085550308228,0.3119818866252899,0.733189046382904,0.06780257821083069,0.2854328155517578,1.0,0.733189046382904,0.2959204316139221,0.13035868108272552,0.23650258779525757,0.1826142966747284
the,0.6662389636039734,0.42745697498321533,0.25342556834220886,0.35928019881248474,1.0,0.029072100296616554,0.3639753758907318,0.733189046382904,1.0,0.3663412928581238,0.041273195296525955,0.2880464494228363,0.22068053483963013
doctor,0.25567495822906494,0.20870667695999146,0.2940889000892639,0.17192082107067108,0.2820442318916321,0.03718610852956772,0.12000632286071777,0.16895952820777893,0.2820442318916321,0.2803051173686981,0.06782495975494385,0.23451930284500122,0.1462511420249939
