,who,won,the,mvp,for,the,super,bowl,?
denver,0.20955970883369446,0.1950361430644989,0.2052404284477234,0.31021052598953247,0.22017966210842133,0.2052404284477234,0.24589714407920837,0.2861449718475342,0.1520889848470688
linebacker,0.18917565047740936,0.225408673286438,0.19719967246055603,0.4722055494785309,0.27424296736717224,0.19719967246055603,0.28596732020378113,0.4219481945037842,0.15540370345115662
von,0.1834137886762619,0.2075154185295105,0.21817399561405182,0.17494645714759827,0.10186543315649033,0.21817399561405182,0.09019782394170761,0.05615047365427017,0.13907472789287567
miller,0.2093905359506607,0.23692351579666138,0.21601076424121857,0.17567558586597443,0.21116214990615845,0.21601076424121857,0.1263037472963333,0.12768206000328064,0.1295081228017807
was,0.3318818509578705,0.35383549332618713,0.48711544275283813,0.23143374919891357,0.3863949179649353,0.48711544275283813,0.21420986950397491,0.21915455162525177,0.18412111699581146
named,0.38541290163993835,0.19112984836101532,0.3521348536014557,0.25624191761016846,0.22057102620601654,0.3521348536014557,0.2206273078918457,0.18541297316551208,0.1297498345375061
super,0.1819351613521576,0.23658764362335205,0.21959073841571808,0.3814384639263153,0.22938419878482819,0.21959073841571808,1.0000001192092896,0.4848237931728363,0.166326642036438
bowl,0.09189514070749283,0.2380966693162918,0.21576224267482758,0.5169888734817505,0.24430087208747864,0.21576224267482758,0.4848237931728363,1.0,0.21118052303791046
mvp,0.15547040104866028,0.3954806625843048,0.19830666482448578,0.9999998807907104,0.27104631066322327,0.19830666482448578,0.3814384639263153,0.5169888734817505,0.19954749941825867
",",0.3365725874900818,0.35968565940856934,0.4933079481124878,0.2245774120092392,0.4464869201183319,0.4933079481124878,0.22322475910186768,0.1810409277677536,0.31091248989105225
recording,0.1975584477186203,0.20692621171474457,0.2685704827308655,0.12834443151950836,0.28583967685699463,0.2685704827308655,0.12307024002075195,0.12853030860424042,0.18037092685699463
five,0.22190363705158234,0.2007865458726883,0.41977158188819885,0.1957017183303833,0.30701300501823425,0.41977158188819885,0.16316142678260803,0.20672158896923065,0.18342848122119904
solo,0.19703449308872223,0.192239910364151,0.1489274650812149,0.18715620040893555,0.2451012283563614,0.1489274650812149,0.1858709752559662,0.19199752807617188,0.1560981124639511
tackles,0.22380411624908447,0.22496803104877472,0.19076409935951233,0.38997599482536316,0.27664637565612793,0.19076409935951233,0.23457856476306915,0.34894615411758423,0.20188532769680023
",",0.3365725874900818,0.35968565940856934,0.4933079481124878,0.2245774120092392,0.4464869201183319,0.4933079481124878,0.22322475910186768,0.1810409277677536,0.31091248989105225
2½,0.048578135669231415,0.0158112533390522,0.028328148648142815,0.07660257816314697,-0.01783602125942707,0.028328148648142815,0.056470829993486404,0.06224267557263374,-0.02855924889445305
sacks,0.16894300282001495,0.25312867760658264,0.23296904563903809,0.2858697175979614,0.2247573584318161,0.23296904563903809,0.14356042444705963,0.2921851873397827,0.0761517658829689
",",0.3365725874900818,0.35968565940856934,0.4933079481124878,0.2245774120092392,0.4464869201183319,0.4933079481124878,0.22322475910186768,0.1810409277677536,0.31091248989105225
and,0.41279885172843933,0.2795773446559906,0.5171257257461548,0.16702094674110413,0.5064792633056641,0.5171257257461548,0.18368244171142578,0.1698254644870758,0.20544172823429108
two,0.2791741192340851,0.24457098543643951,0.43858039379119873,0.1452360302209854,0.34734001755714417,0.43858039379119873,0.19097526371479034,0.20622028410434723,0.19645625352859497
forced,0.35712045431137085,0.17926622927188873,0.2571122944355011,0.14319473505020142,0.19555193185806274,0.2571122944355011,0.14922793209552765,0.1976994276046753,0.17547516524791718
fumbles,0.2144661247730255,0.23817771673202515,0.21007823944091797,0.38671132922172546,0.2659422755241394,0.21007823944091797,0.31058406829833984,0.38857853412628174,0.1826416552066803
.,0.3541337847709656,0.3011801838874817,0.5934505462646484,0.19778521358966827,0.4726039469242096,0.5934505462646484,0.2757420241832733,0.21516893804073334,0.4130953550338745
