,what,is,an,example,of,a,problem,that,rests,within,the,np,complexity,class,?
the,0.42745697498321533,0.5823672413825989,0.4207492768764496,0.3755223751068115,0.733189046382904,0.5829201340675354,0.24928659200668335,0.5473989248275757,0.3346085548400879,0.39827480912208557,1.0,0.14565430581569672,0.21171598136425018,0.18034407496452332,0.22068053483963013
complexity,0.33747240900993347,0.2541271150112152,0.2376130372285843,0.36779677867889404,0.23338180780410767,0.27206721901893616,0.5039530992507935,0.3234518766403198,0.23838269710540771,0.2452552616596222,0.21171598136425018,0.4016888439655304,1.0,0.22154183685779572,0.23062916100025177
class,0.16880196332931519,0.1275252103805542,0.16298675537109375,0.22914035618305206,0.19740594923496246,0.23462694883346558,0.19669321179389954,0.23035554587841034,0.0980602502822876,0.17449864745140076,0.18034407496452332,0.18459567427635193,0.22154183685779572,1.0,0.12778934836387634
np,0.273849755525589,0.2208731323480606,0.09647926688194275,0.2896760106086731,0.13667912781238556,0.19096361100673676,0.4497864544391632,0.2149038165807724,0.01958363689482212,0.1187048852443695,0.14565430581569672,1.0,0.4016888439655304,0.18459567427635193,0.25319206714630127
",",0.3087472915649414,0.4691906273365021,0.3581022024154663,0.3094974756240845,0.4946078956127167,0.427140474319458,0.23938199877738953,0.4137537479400635,0.23383815586566925,0.2513136863708496,0.4933079481124878,0.1823609173297882,0.27822354435920715,0.1753857135772705,0.31091248989105225
on,0.34226128458976746,0.3635730445384979,0.3192969560623169,0.22160455584526062,0.3966929316520691,0.3848365545272827,0.19349780678749084,0.42569106817245483,0.23421421647071838,0.2702226936817169,0.5107308030128479,0.09836117178201675,0.22000707685947418,0.1869632750749588,0.2714994251728058
the,0.42745697498321533,0.5823672413825989,0.4207492768764496,0.3755223751068115,0.733189046382904,0.5829201340675354,0.24928659200668335,0.5473989248275757,0.3346085548400879,0.39827480912208557,1.0,0.14565430581569672,0.21171598136425018,0.18034407496452332,0.22068053483963013
other,0.341873437166214,0.25895947217941284,0.1556563824415207,0.42318204045295715,0.38583824038505554,0.2806335389614105,0.24557681381702423,0.5570666193962097,0.2392951101064682,0.2836414575576782,0.44152235984802246,0.1241169199347496,0.25132685899734497,0.16611546277999878,0.24682199954986572
hand,0.26703396439552307,0.2402249276638031,0.17455075681209564,0.30879098176956177,0.18184109032154083,0.2662425637245178,0.22537271678447723,0.3348301351070404,0.31789836287498474,0.20529602468013763,0.253619521856308,0.11667515337467194,0.19301927089691162,0.1893034130334854,0.20656698942184448
",",0.3087472915649414,0.4691906273365021,0.3581022024154663,0.3094974756240845,0.4946078956127167,0.427140474319458,0.23938199877738953,0.4137537479400635,0.23383815586566925,0.2513136863708496,0.4933079481124878,0.1823609173297882,0.27822354435920715,0.1753857135772705,0.31091248989105225
contains,0.14236655831336975,0.4272567629814148,0.17518927156925201,0.32993945479393005,0.34575599431991577,0.3092464506626129,0.11922963708639145,0.2712160646915436,0.16237759590148926,0.34257739782333374,0.2846323549747467,0.18440726399421692,0.2132667452096939,0.12439050525426865,0.15215006470680237
many,0.36131182312965393,0.2649032473564148,0.2465583086013794,0.43096116185188293,0.37253960967063904,0.2872205972671509,0.2891656458377838,0.5391656160354614,0.22614607214927673,0.2613624930381775,0.4335206151008606,0.16211500763893127,0.2883065640926361,0.13207179307937622,0.2124512493610382
problems,0.3306994140148163,0.16985496878623962,0.1804785281419754,0.27446338534355164,0.2450421154499054,0.21523453295230865,0.7913808822631836,0.3758413791656494,0.18375539779663086,0.15260569751262665,0.2659202516078949,0.3503378927707672,0.45911696553230286,0.18972691893577576,0.2638136148452759
