,how,much,correspondence,did,tesla,send,morgan,in,the,five,years,following,1901,?
over,0.31446483731269836,0.3711091876029968,0.15783090889453888,0.2535076439380646,0.16356024146080017,0.20815689861774445,0.12064848840236664,0.3605569899082184,0.39856547117233276,0.3258861005306244,0.3751278817653656,0.27349916100502014,0.056603264063596725,0.25742942094802856
the,0.33890387415885925,0.35023224353790283,0.26956990361213684,0.34736719727516174,0.1324402391910553,0.2581755518913269,0.2054959386587143,0.6662389636039734,1.0,0.41977158188819885,0.2912273406982422,0.39779382944107056,0.01573479175567627,0.22068053483963013
next,0.24492809176445007,0.17026366293430328,0.14130984246730804,0.22386232018470764,0.11633504927158356,0.16279743611812592,0.18835830688476562,0.29307645559310913,0.35833123326301575,0.26257821917533875,0.23875528573989868,0.2551537752151489,0.01390739157795906,0.167460098862648
five,0.20553050935268402,0.13753974437713623,0.20472688972949982,0.1999429613351822,0.12380130589008331,0.13070084154605865,0.11378998309373856,0.3634254038333893,0.41977158188819885,1.0,0.4054921269416809,0.28056564927101135,-0.014437873847782612,0.18342848122119904
years,0.21949264407157898,0.2631898522377014,0.22928111255168915,0.2695724070072174,0.11282773315906525,0.11661367863416672,0.09047259390354156,0.33554986119270325,0.2912273406982422,0.4054921269416809,1.0,0.16303607821464539,0.027698127552866936,0.1914375126361847
",",0.22659391164779663,0.36182254552841187,0.2962486147880554,0.3015086054801941,0.20599327981472015,0.24667364358901978,0.2837265133857727,0.5201468467712402,0.4933079481124878,0.3101605772972107,0.2589467465877533,0.27101513743400574,0.02599540539085865,0.31091248989105225
tesla,0.19128404557704926,0.20609156787395477,0.1575392186641693,0.09757418930530548,0.9999999403953552,0.11657148599624634,0.1387946456670761,0.17097744345664978,0.1324402391910553,0.12380130589008331,0.11282773315906525,0.0097203329205513,0.013134386390447617,0.10250775516033173
wrote,0.23136702179908752,0.17263448238372803,0.339069664478302,0.3485160768032074,0.13169313967227936,0.14373937249183655,0.20191584527492523,0.2898900806903839,0.2426944375038147,0.24790121614933014,0.26109829545021057,0.06319846957921982,0.025783654302358627,0.19322504103183746
over,0.31446483731269836,0.3711091876029968,0.15783090889453888,0.2535076439380646,0.16356024146080017,0.20815689861774445,0.12064848840236664,0.3605569899082184,0.39856547117233276,0.3258861005306244,0.3751278817653656,0.27349916100502014,0.056603264063596725,0.25742942094802856
50,0.014565115794539452,0.018970422446727753,-0.0014442201936617494,0.03749820590019226,-0.053768038749694824,-0.021176276728510857,-0.022903641685843468,0.021892361342906952,0.03602437674999237,0.027560986578464508,-0.00639002351090312,0.025637440383434296,0.01554223895072937,0.030512850731611252
