,how,much,does,petroleum,account,for,of,the,national,import,bill,?
petroleum,0.1635526418685913,0.2691011130809784,0.1767980307340622,1.0,0.1931561380624771,0.21947258710861206,0.2179880291223526,0.2209315299987793,0.19159220159053802,0.3408309519290924,0.10439611226320267,0.1417868286371231
accounts,0.24195288121700287,0.25432175397872925,0.2293139547109604,0.23889917135238647,0.8569905757904053,0.29955625534057617,0.2083580046892166,0.20863397419452667,0.09309559315443039,0.3138934373855591,0.11480708420276642,0.32252734899520874
for,0.3308170735836029,0.2994346022605896,0.35159170627593994,0.21947258710861206,0.25532788038253784,0.9999999403953552,0.4185989499092102,0.4739971458911896,0.36267757415771484,0.23108424246311188,0.1828024983406067,0.264628142118454
20,-0.010775676928460598,-0.01254331599920988,-0.04027826339006424,0.029613187536597252,0.09592859447002411,-0.03344472870230675,-0.0318976491689682,-0.06418957561254501,-0.046993691474199295,0.04954993352293968,0.0026021297089755535,0.11360422521829605
%,0.1237400695681572,0.26866111159324646,0.1996830552816391,0.2071637213230133,0.16030900180339813,0.16658860445022583,0.19953428208827972,0.21490740776062012,0.16850584745407104,0.1990548074245453,0.05059109628200531,0.21441808342933655
to,0.44169697165489197,0.40610215067863464,0.4391997456550598,0.17471212148666382,0.2893601059913635,0.4451248347759247,0.41548454761505127,0.535392165184021,0.21067756414413452,0.3114445209503174,0.17981381714344025,0.29463258385658264
25,0.07429084926843643,0.06316445767879486,0.049101024866104126,0.058418843895196915,0.1085587665438652,0.16109365224838257,0.13541533052921295,0.1671934723854065,0.0849926546216011,0.06448531150817871,-0.07592405378818512,0.09614268690347672
%,0.1237400695681572,0.26866111159324646,0.1996830552816391,0.2071637213230133,0.16030900180339813,0.16658860445022583,0.19953428208827972,0.21490740776062012,0.16850584745407104,0.1990548074245453,0.05059109628200531,0.21441808342933655
of,0.2480744868516922,0.2671096920967102,0.3119818866252899,0.2179880291223526,0.19751501083374023,0.4185989499092102,1.0,0.733189046382904,0.3314673602581024,0.16659104824066162,0.17127205431461334,0.1826142966747284
the,0.33890387415885925,0.35023224353790283,0.35928019881248474,0.2209315299987793,0.21117976307868958,0.4739971458911896,0.733189046382904,1.0,0.32739606499671936,0.1909591555595398,0.24155211448669434,0.22068053483963013
national,0.13248363137245178,0.09769453853368759,0.16890141367912292,0.19159220159053802,0.06026555970311165,0.36267757415771484,0.3314673602581024,0.32739606499671936,1.0000001192092896,0.08821310102939606,0.17994579672813416,0.15643028914928436
import,0.28958532214164734,0.31457313895225525,0.221479594707489,0.3408309519290924,0.35503655672073364,0.23108424246311188,0.16659104824066162,0.1909591555595398,0.08821310102939606,1.0000001192092896,0.19344496726989746,0.35787662863731384
bill,0.19698695838451385,0.15995822846889496,0.17194031178951263,0.10439611226320267,0.12028148770332336,0.1828024983406067,0.17127205431461334,0.24155211448669434,0.17994579672813416,0.19344496726989746,0.9999999403953552,0.12855131924152374
.,0.3287222981452942,0.3374604284763336,0.3022993505001068,0.2099194973707199,0.21396027505397797,0.4726039469242096,0.5352458953857422,0.5934505462646484,0.29436907172203064,0.2648531496524811,0.2289014607667923,0.4130953550338745
