,if,the,apparant,force,of,two,fermions,is,attractive,",",what,is,the,spin,function,?
for,0.3609124422073364,0.4739971458911896,0.28720712661743164,0.15857845544815063,0.4185989499092102,0.34734001755714417,0.21637557446956635,0.43268078565597534,0.2540658116340637,0.4464869201183319,0.3017193675041199,0.43268078565597534,0.4739971458911896,0.1760607808828354,0.22728246450424194,0.264628142118454
antiparallel,0.2676107585430145,0.31496259570121765,0.30351385474205017,0.25480642914772034,0.34297239780426025,0.37371987104415894,0.47965526580810547,0.21280072629451752,0.18278191983699799,0.2421252280473709,0.24564124643802643,0.21280072629451752,0.31496259570121765,0.2732340693473816,0.3484592139720917,0.17349998652935028
spins,0.31254661083221436,0.26315373182296753,0.2040681689977646,0.2770182192325592,0.20363713800907135,0.26199042797088623,0.4606403708457947,0.24568180739879608,0.26075369119644165,0.19798298180103302,0.2210051715373993,0.24568180739879608,0.26315373182296753,0.7482584118843079,0.1532474160194397,0.12287293374538422
the,0.33724796772003174,1.0,0.3042762875556946,0.2800885736942291,0.733189046382904,0.43858039379119873,0.2234962284564972,0.5823672413825989,0.18968547880649567,0.4933079481124878,0.42745697498321533,0.5823672413825989,1.0,0.22827482223510742,0.2037137746810913,0.22068053483963013
position,0.2879258692264557,0.3183514177799225,0.21641652286052704,0.25129586458206177,0.23636478185653687,0.18115483224391937,0.20176339149475098,0.19614431262016296,0.05399247258901596,0.1771278828382492,0.22031237185001373,0.19614431262016296,0.3183514177799225,0.15099923312664032,0.23218297958374023,0.15529610216617584
variables,0.4088232219219208,0.1977231651544571,0.2763125002384186,0.18889755010604858,0.197788804769516,0.245404452085495,0.48236897587776184,0.26567497849464417,0.15521258115768433,0.20117178559303284,0.24388675391674042,0.26567497849464417,0.1977231651544571,0.18802671134471893,0.49004197120666504,0.2210804969072342
must,0.5808357000350952,0.2713140547275543,0.13449834287166595,0.1998588740825653,0.24322323501110077,0.2710527777671814,0.30453580617904663,0.3093329071998596,0.18568290770053864,0.2231246829032898,0.30362528562545776,0.3093329071998596,0.2713140547275543,0.1362299919128418,0.24910667538642883,0.23707495629787445
be,0.5628611445426941,0.4248143136501312,0.25836074352264404,0.16664405167102814,0.33904364705085754,0.28515341877937317,0.27718067169189453,0.4819129705429077,0.27919861674308777,0.39254459738731384,0.3929833769798279,0.4819129705429077,0.4248143136501312,0.19910596311092377,0.23198768496513367,0.3324260413646698
symmetric,0.28436464071273804,0.19091804325580597,0.2297881543636322,0.23693890869617462,0.21945500373840332,0.28072014451026917,0.4030359089374542,0.20811855792999268,0.21341238915920258,0.14555411040782928,0.23639118671417236,0.20811855792999268,0.19091804325580597,0.25140535831451416,0.3671969771385193,0.16586486995220184
(,0.26899856328964233,0.33289089798927307,0.18866685032844543,0.17529799044132233,0.35032153129577637,0.2169162482023239,0.16838988661766052,0.35393038392066956,0.0891510620713234,0.6363511681556702,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.11182379722595215,0.25402042269706726,0.40561532974243164
i.e,-0.0428631529211998,-0.11428935080766678,0.01050702203065157,-0.020964691415429115,-0.09192006289958954,-0.040672291070222855,0.029904522001743317,-0.04790802299976349,-0.042554739862680435,-0.03723205626010895,0.06545200943946838,-0.04790802299976349,-0.11428935080766678,0.00029887736309319735,-0.074461929500103,-0.00816641841083765
.,0.421799898147583,0.5934505462646484,0.3091103732585907,0.2783275842666626,0.5352458953857422,0.3524959683418274,0.2509286403656006,0.4569662809371948,0.16486114263534546,0.6812511086463928,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.2699195146560669,0.253307044506073,0.4130953550338745
,if,the,apparant,force,of,two,fermions,is,attractive,",",what,is,the,spin,function,?
parallel,0.17064008116722107,0.26065152883529663,0.24494218826293945,0.20390856266021729,0.23076768219470978,0.3219764530658722,0.2904963791370392,0.17405718564987183,0.13512195646762848,0.1709916889667511,0.23414644598960876,0.17405718564987183,0.26065152883529663,0.18239344656467438,0.23632587492465973,0.13566309213638306
spins,0.31254661083221436,0.26315373182296753,0.2040681689977646,0.2770182192325592,0.20363713800907135,0.26199042797088623,0.4606403708457947,0.24568180739879608,0.26075369119644165,0.19798298180103302,0.2210051715373993,0.24568180739879608,0.26315373182296753,0.7482584118843079,0.1532474160194397,0.12287293374538422
