,what,time,did,a,river,system,develop,in,the,upper,rhine,graben,?
by,0.2455483376979828,0.26502725481987,0.18574509024620056,0.32094135880470276,0.11889402568340302,0.23017624020576477,0.16370567679405212,0.370934396982193,0.4408751428127289,0.10709846764802933,0.18456800282001495,0.17108210921287537,0.17966607213020325
the,0.42745697498321533,0.43061500787734985,0.34736719727516174,0.5829201340675354,0.2894456386566162,0.3233085572719574,0.26276466250419617,0.6662389636039734,1.0,0.35289278626441956,0.30735138058662415,0.25892695784568787,0.22068053483963013
time,0.36319252848625183,0.9999998807907104,0.3567926585674286,0.3292340338230133,0.15130726993083954,0.18608935177326202,0.22079795598983765,0.3431483507156372,0.43061500787734985,0.14377018809318542,0.1911163330078125,0.11706290394067764,0.27391523122787476
of,0.33290785551071167,0.35127586126327515,0.2513895630836487,0.5052502155303955,0.19903257489204407,0.25597915053367615,0.2259741723537445,0.5696388483047485,0.733189046382904,0.25818127393722534,0.2548927664756775,0.2395782321691513,0.1826142966747284
the,0.42745697498321533,0.43061500787734985,0.34736719727516174,0.5829201340675354,0.2894456386566162,0.3233085572719574,0.26276466250419617,0.6662389636039734,1.0,0.35289278626441956,0.30735138058662415,0.25892695784568787,0.22068053483963013
miocene,0.21224449574947357,0.16558024287223816,0.18433159589767456,0.1425538957118988,0.22892899811267853,0.14544449746608734,0.1698315590620041,0.1609106957912445,0.18358224630355835,0.4358724355697632,0.17249813675880432,0.14861413836479187,0.17454083263874054
",",0.3087472915649414,0.3029961884021759,0.3015086054801941,0.427140474319458,0.26637205481529236,0.18439900875091553,0.17652153968811035,0.5201468467712402,0.4933079481124878,0.22235287725925446,0.167837992310524,0.35317227244377136,0.31091248989105225
a,0.3320399522781372,0.3292340338230133,0.2552328109741211,1.0,0.20514865219593048,0.2589043080806732,0.27134326100349426,0.539380669593811,0.5829201340675354,0.26226839423179626,0.1823403388261795,0.2820639908313751,0.23916715383529663
river,0.13815869390964508,0.15130726993083954,0.15783563256263733,0.20514865219593048,0.9999999403953552,0.0870727151632309,0.03547106683254242,0.2149806171655655,0.2894456386566162,0.30176234245300293,0.3672541379928589,0.21362783014774323,0.15390869975090027
system,0.23557309806346893,0.18608935177326202,0.1967303454875946,0.2589043080806732,0.0870727151632309,1.0000001192092896,0.2898979187011719,0.21978288888931274,0.3233085572719574,0.17121560871601105,0.11104287952184677,0.15776067972183228,0.15556083619594574
had,0.23849567770957947,0.34488338232040405,0.540525496006012,0.34897568821907043,0.1743958294391632,0.17440366744995117,0.2486167550086975,0.385026752948761,0.3875846862792969,0.22165179252624512,0.17234164476394653,0.1694464087486267,0.20728366076946259
developed,0.15555569529533386,0.22138077020645142,0.24445466697216034,0.286296546459198,0.06898820400238037,0.3349688947200775,0.6529664397239685,0.2498214840888977,0.24490751326084137,0.22860416769981384,0.14130625128746033,0.13298383355140686,0.10763012617826462
in,0.30808621644973755,0.3431483507156372,0.2593238651752472,0.539380669593811,0.2149806171655655,0.21978288888931274,0.22882415354251862,1.0,0.6662389636039734,0.27419501543045044,0.24648422002792358,0.25178003311157227,0.20430970191955566
the,0.42745697498321533,0.43061500787734985,0.34736719727516174,0.5829201340675354,0.2894456386566162,0.3233085572719574,0.26276466250419617,0.6662389636039734,1.0,0.35289278626441956,0.30735138058662415,0.25892695784568787,0.22068053483963013
