,who,captured,fort,beausejour,?
colonel,0.2749594748020172,0.32933440804481506,0.299016535282135,0.2554207742214203,0.14849194884300232
monckton,0.3320726752281189,0.2648303210735321,0.26494815945625305,0.39278504252433777,0.23794463276863098
",",0.3365725874900818,0.27242976427078247,0.2651418149471283,0.36715686321258545,0.31091248989105225
in,0.2792111933231354,0.27827006578445435,0.24152536690235138,0.23985661566257477,0.20430970191955566
the,0.3733934462070465,0.2944179177284241,0.2420126497745514,0.23520071804523468,0.22068053483963013
sole,0.26634910702705383,0.11616633087396622,0.05793842673301697,0.19543339312076569,0.16971178352832794
british,0.2666113078594208,0.20852810144424438,0.2695907950401306,0.18706123530864716,0.09711728990077972
success,0.174932062625885,0.1644410640001297,0.13248305022716522,0.16116957366466522,0.1216118186712265
that,0.45444270968437195,0.200810045003891,0.14472344517707825,0.1879456341266632,0.32716336846351624
year,0.2851492762565613,0.19243048131465912,0.16530291736125946,0.22935709357261658,0.18315006792545319
",",0.3365725874900818,0.27242976427078247,0.2651418149471283,0.36715686321258545,0.31091248989105225
captured,0.26148858666419983,0.9999998807907104,0.29403260350227356,0.17900176346302032,0.11851847916841507
fort,0.13790950179100037,0.29403260350227356,0.9999999403953552,0.2651752531528473,0.15686731040477753
beauséjour,0.19777272641658783,0.16355498135089874,0.28706395626068115,0.8863335251808167,0.24166728556156158
in,0.2792111933231354,0.27827006578445435,0.24152536690235138,0.23985661566257477,0.20430970191955566
june,0.23552022874355316,0.16692742705345154,0.17742346227169037,0.33256033062934875,0.31416764855384827
1755,0.04862917214632034,0.1642378568649292,0.21651436388492584,0.35422059893608093,0.1890246421098709
",",0.3365725874900818,0.27242976427078247,0.2651418149471283,0.36715686321258545,0.31091248989105225
cutting,0.15921923518180847,0.1571505069732666,0.1799914836883545,0.14137235283851624,0.07885761559009552
the,0.3733934462070465,0.2944179177284241,0.2420126497745514,0.23520071804523468,0.22068053483963013
french,0.2756427824497223,0.12466463446617126,0.27450791001319885,0.43563562631607056,0.1386883556842804
fortress,0.17472198605537415,0.42165565490722656,0.43783333897590637,0.26320570707321167,0.11211185157299042
at,0.22096660733222961,0.22662876546382904,0.3015354871749878,0.16418947279453278,0.21978627145290375
louisbourg,0.19222232699394226,0.3044818043708801,0.4294848144054413,0.48189887404441833,0.09875453263521194
off,0.16363953053951263,0.21610379219055176,0.15176823735237122,0.1853352189064026,0.12937544286251068
from,0.27839982509613037,0.2057633250951767,0.19486531615257263,0.20387573540210724,0.19969791173934937
land-based,0.24689313769340515,0.2995528280735016,0.25002890825271606,0.2506912350654602,0.2360498607158661
reinforcements,0.18859897553920746,0.347149133682251,0.2515091896057129,0.19516105949878693,0.13907551765441895
.,0.3541337847709656,0.28043997287750244,0.2578873038291931,0.2761286497116089,0.4130953550338745
