,when,was,the,disney,and,abc,merger,first,announced,?
on,0.37706470489501953,0.3909217119216919,0.5107308030128479,0.1984206587076187,0.4077630043029785,0.2862928807735443,0.15951916575431824,0.3120559751987457,0.303989976644516,0.2714994251728058
july,0.24211758375167847,0.40724116563796997,0.2371699959039688,0.18463309109210968,0.258785605430603,0.15350030362606049,0.21007440984249115,0.3069908618927002,0.3135271668434143,0.2897891402244568
31,-0.011162037961184978,-0.07483632862567902,0.12550820410251617,-0.039777081459760666,0.06756792217493057,-0.09869387745857239,0.005717006046324968,-0.027237383648753166,-0.10876383632421494,-0.017570214346051216
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.2132069319486618,0.6633074283599854,0.2097204476594925,0.25569602847099304,0.34503069519996643,0.23036719858646393,0.31091248989105225
1995,0.03450304642319679,0.03496245667338371,-0.025311529636383057,-0.12795868515968323,-0.05409006401896477,-0.06231584772467613,0.014823338016867638,-0.0227292999625206,0.013157462701201439,0.14293554425239563
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.2132069319486618,0.6633074283599854,0.2097204476594925,0.25569602847099304,0.34503069519996643,0.23036719858646393,0.31091248989105225
the,0.5091903209686279,0.48711544275283813,1.0,0.24980762600898743,0.5171257257461548,0.2068762183189392,0.2557354271411896,0.49448907375335693,0.2277132272720337,0.22068053483963013
walt,0.1786840409040451,0.28954240679740906,0.2561357319355011,0.8116229772567749,0.23346897959709167,0.36108773946762085,0.1636982560157776,0.28627264499664307,0.20569702982902527,0.18540392816066742
disney,0.17460092902183533,0.22590678930282593,0.24980762600898743,1.0,0.23352548480033875,0.37895750999450684,0.15781092643737793,0.21060588955879211,0.20274612307548523,0.22150784730911255
company,0.2219121903181076,0.2293137013912201,0.26591673493385315,0.29213109612464905,0.23788511753082275,0.16210390627384186,0.3440839648246765,0.23999588191509247,0.241003155708313,0.12195809185504913
announced,0.15404565632343292,0.34205326437950134,0.2277132272720337,0.20274612307548523,0.16773687303066254,0.20444560050964355,0.2881268262863159,0.25270816683769226,1.0,0.17416009306907654
an,0.33026179671287537,0.3694365322589874,0.4207492768764496,0.15550778806209564,0.2838519215583801,0.16561369597911835,0.1309438943862915,0.29757723212242126,0.13740479946136475,0.19793890416622162
agreement,0.23616954684257507,0.23975293338298798,0.2490699142217636,0.14551891386508942,0.22375741600990295,0.16430042684078217,0.33984699845314026,0.22598394751548767,0.31012025475502014,0.15830197930335999
to,0.5423505902290344,0.3636345863342285,0.535392165184021,0.23984374105930328,0.48971283435821533,0.1762417107820511,0.11012744158506393,0.3792489171028137,0.20247882604599,0.29463258385658264
merge,0.1352287232875824,0.1576647013425827,0.26616451144218445,0.20521971583366394,0.18629194796085358,0.08680303394794464,0.724096953868866,0.1398944854736328,0.2082999050617218,0.2821604013442993
with,0.5075214505195618,0.27411898970603943,0.4223487675189972,0.2006005197763443,0.5477725267410278,0.17432008683681488,0.19741658866405487,0.2691199779510498,0.19698800146579742,0.2433311939239502
capital,0.20230671763420105,0.21907466650009155,0.3049491047859192,0.17269915342330933,0.218168243765831,0.2084534764289856,0.21639522910118103,0.19939085841178894,0.10835371911525726,0.0907452180981636
cities/abc,0.1116829365491867,0.22158773243427277,0.2729387879371643,0.18020334839820862,0.27125242352485657,0.37177377939224243,0.229495570063591,0.2580656111240387,0.19901776313781738,0.2519042491912842
for,0.43402108550071716,0.3863949179649353,0.4739971458911896,0.16913838684558868,0.5064792633056641,0.22510288655757904,0.17767630517482758,0.3800288736820221,0.2801167368888855,0.264628142118454
$,0.17828483879566193,0.23838669061660767,0.23367542028427124,0.20913034677505493,0.20277954638004303,0.2139672338962555,0.13011173903942108,0.22852157056331635,0.25816118717193604,0.2786129117012024
19,-0.114084392786026,-0.16212789714336395,-0.17766842246055603,-0.09226899594068527,-0.17724736034870148,-0.10630513727664948,-0.1468161791563034,-0.1279604285955429,-0.034078363329172134,0.008002291433513165
billion,0.17189708352088928,0.18399004638195038,0.2162325382232666,0.15452072024345398,0.22071154415607452,0.18343357741832733,0.1975930780172348,0.1890326887369156,0.24312448501586914,0.25791820883750916
.,0.475719153881073,0.40146201848983765,0.5934505462646484,0.23698924481868744,0.588965117931366,0.2567209303379059,0.23265978693962097,0.4345304071903229,0.20513638854026794,0.4130953550338745
