,who,assisted,wesley,with,ordaining,whatcoat,and,vasey,as,presbyters,?
as,0.3923053741455078,0.246934711933136,0.1965806782245636,0.40387406945228577,0.265869677066803,0.30310893058776855,0.49487000703811646,0.21292708814144135,1.0,0.16884495317935944,0.27043893933296204
a,0.36608949303627014,0.2544112205505371,0.21911776065826416,0.3783375024795532,0.2796933650970459,0.34675806760787964,0.3739250600337982,0.21349038183689117,0.39550232887268066,0.20757059752941132,0.23916715383529663
result,0.13371044397354126,0.1598169356584549,0.0923624262213707,0.21787862479686737,0.16808347404003143,0.20952993631362915,0.27436327934265137,0.06291387230157852,0.2939164340496063,0.09827589988708496,0.17218433320522308
of,0.2827862501144409,0.282266229391098,0.18802838027477264,0.41827285289764404,0.35263895988464355,0.335848867893219,0.5116966962814331,0.23431764543056488,0.3886612355709076,0.26839208602905273,0.1826142966747284
the,0.3733934462070465,0.22827282547950745,0.1425647884607315,0.4223487675189972,0.2883321940898895,0.3590368330478668,0.5171257257461548,0.26720890402793884,0.48381632566452026,0.21018612384796143,0.22068053483963013
american,0.3093835413455963,0.1694226861000061,0.30035799741744995,0.20245933532714844,0.12939296662807465,0.21949069201946259,0.32290002703666687,0.31554272770881653,0.2994234561920166,0.19168123602867126,0.18877598643302917
revolution,0.2163151353597641,0.129399836063385,0.1492162048816681,0.17262804508209229,0.21435175836086273,0.1546696573495865,0.21575188636779785,0.2118651419878006,0.18969079852104187,0.19033797085285187,0.1727980077266693
",",0.3365725874900818,0.23627705872058868,0.262672483921051,0.4120737314224243,0.30721810460090637,0.3005044162273407,0.6633074283599854,0.2996789216995239,0.48816442489624023,0.2976883053779602,0.31091248989105225
john,0.30388808250427246,0.20007924735546112,0.43004438281059265,0.1736196130514145,0.2563606798648834,0.21518613398075104,0.21634717285633087,0.3217781186103821,0.1664888858795166,0.2897283732891083,0.13162356615066528
wesley,0.2321225255727768,0.148018941283226,0.9999999403953552,0.15681828558444977,0.24324189126491547,0.22789813578128815,0.19792525470256805,0.3064998388290405,0.1965806782245636,0.3526515066623688,0.1662333607673645
was,0.3318818509578705,0.25729772448539734,0.244222953915596,0.27411898970603943,0.24643558263778687,0.19684261083602905,0.3740963041782379,0.2587910294532776,0.3677520453929901,0.2585779130458832,0.18412111699581146
compelled,0.3222360610961914,0.3045412600040436,0.1672380119562149,0.17419110238552094,0.2274552583694458,0.2323359102010727,0.18005211651325226,0.1222398430109024,0.22849535942077637,0.140450119972229,0.1936596781015396
in,0.2792111933231354,0.22382716834545135,0.14970102906227112,0.4080928862094879,0.328737735748291,0.28561636805534363,0.4954058527946472,0.25930720567703247,0.3887844979763031,0.251817524433136,0.20430970191955566
1784,0.0518018938601017,0.1442272812128067,0.06391192227602005,0.18067069351673126,0.25920435786247253,0.15285347402095795,0.14187809824943542,0.13760848343372345,0.11256851255893707,0.13305822014808655,0.12145309150218964
to,0.42656609416007996,0.26841625571250916,0.18164515495300293,0.4239959120750427,0.2818807363510132,0.33629944920539856,0.48971283435821533,0.19306345283985138,0.42092081904411316,0.30197346210479736,0.29463258385658264
break,0.16458061337471008,0.21498927474021912,0.09310466051101685,0.2797669470310211,0.11830293387174606,0.2613804340362549,0.2812328040599823,0.11993586272001266,0.22824549674987793,0.16025039553642273,0.19753244519233704
with,0.3282766342163086,0.2757062315940857,0.15681828558444977,0.9999999403953552,0.18739676475524902,0.29988738894462585,0.5477725267410278,0.19675526022911072,0.40387406945228577,0.17926271259784698,0.2433311939239502
standard,0.14485232532024384,0.16618913412094116,0.10192663967609406,0.21688394248485565,0.20661067962646484,0.24534790217876434,0.24117660522460938,0.12151184678077698,0.22084009647369385,0.17383913695812225,0.17029257118701935
practice,0.29065191745758057,0.268125981092453,0.18022918701171875,0.21465755999088287,0.38032445311546326,0.2900274097919464,0.2791718542575836,0.17488504946231842,0.22643209993839264,0.2674168646335602,0.21386858820915222
and,0.41279885172843933,0.2880154848098755,0.19792525470256805,0.5477725267410278,0.25835147500038147,0.34639111161231995,1.0,0.29190778732299805,0.49487000703811646,0.2564232647418976,0.20544172823429108
ordain,0.27607494592666626,0.15022410452365875,0.23747257888317108,0.08667490631341934,0.8614093065261841,0.22327138483524323,0.16141174733638763,0.2246386855840683,0.20738409459590912,0.4292964041233063,0.2507603168487549
two,0.2791741192340851,0.2410702407360077,0.17607976496219635,0.4333336651325226,0.21089108288288116,0.22008903324604034,0.4671151638031006,0.19650690257549286,0.3029302954673767,0.18635541200637817,0.19645625352859497
of,0.2827862501144409,0.282266229391098,0.18802838027477264,0.41827285289764404,0.35263895988464355,0.335848867893219,0.5116966962814331,0.23431764543056488,0.3886612355709076,0.26839208602905273,0.1826142966747284
