,what,did,lavoisier,perceive,the,air,had,lost,as,much,as,the,tin,had,gained
he,0.3114890456199646,0.3292143940925598,0.2724253535270691,0.13570526242256165,0.4571082592010498,0.1551557034254074,0.43657350540161133,0.2674296200275421,0.33787044882774353,0.21974919736385345,0.33787044882774353,0.4571082592010498,0.1506805270910263,0.43657350540161133,0.2999608516693115
also,0.42747777700424194,0.39334940910339355,0.2513093948364258,0.22037973999977112,0.6021018624305725,0.23115737736225128,0.4027194678783417,0.24478085339069366,0.5774298906326294,0.4144500195980072,0.5774298906326294,0.6021018624305725,0.2569226622581482,0.4027194678783417,0.2611568868160248
noted,0.16981294751167297,0.2848167419433594,0.22030262649059296,0.2734580934047699,0.248806893825531,0.12231709808111191,0.34950271248817444,0.1468016356229782,0.31388962268829346,0.25301069021224976,0.31388962268829346,0.248806893825531,0.14279696345329285,0.34950271248817444,0.303154855966568
that,0.6297725439071655,0.47518548369407654,0.2734697759151459,0.4401702582836151,0.5473989248275757,0.19720019400119781,0.4407361149787903,0.26059767603874207,0.4735107421875,0.4869440197944641,0.4735107421875,0.5473989248275757,0.13278619945049286,0.4407361149787903,0.18878613412380219
the,0.42745697498321533,0.34736719727516174,0.2755334973335266,0.2647975981235504,1.0,0.2877824306488037,0.3875846862792969,0.3376973867416382,0.48381632566452026,0.35023224353790283,0.48381632566452026,1.0,0.16664911806583405,0.3875846862792969,0.29543522000312805
tin,0.13447299599647522,0.1350124478340149,0.20577198266983032,0.043745074421167374,0.16664911806583405,0.19837404787540436,0.13678646087646484,0.14252014458179474,0.22512784600257874,0.15347205102443695,0.22512784600257874,0.16664911806583405,1.0000001192092896,0.13678646087646484,0.06562543660402298
had,0.23849567770957947,0.540525496006012,0.2904156446456909,0.15907499194145203,0.3875846862792969,0.18433481454849243,0.9999999403953552,0.3702373504638672,0.3393979072570801,0.31141290068626404,0.3393979072570801,0.3875846862792969,0.13678646087646484,0.9999999403953552,0.377902626991272
increased,0.1599731743335724,0.20765343308448792,0.2132112979888916,0.32665640115737915,0.3188653886318207,0.21632756292819977,0.3941768705844879,0.2874460518360138,0.21772481501102448,0.38681474328041077,0.21772481501102448,0.3188653886318207,0.12894584238529205,0.3941768705844879,0.44939568638801575
in,0.30808621644973755,0.2593238651752472,0.324543833732605,0.13924728333950043,0.6662389636039734,0.22172939777374268,0.385026752948761,0.3167656362056732,0.3887844979763031,0.2725222110748291,0.3887844979763031,0.6662389636039734,0.16545431315898895,0.385026752948761,0.2935055196285248
weight,0.20223349332809448,0.15234823524951935,0.2379339188337326,0.2860625386238098,0.19469641149044037,0.20247124135494232,0.19172748923301697,0.19421906769275665,0.18253348767757416,0.243657186627388,0.18253348767757416,0.19469641149044037,0.1901320368051529,0.19172748923301697,0.15617483854293823
and,0.31309178471565247,0.34479495882987976,0.27694079279899597,0.2715110182762146,0.5171257257461548,0.2508046329021454,0.3872550129890442,0.25558507442474365,0.49487000703811646,0.38395699858665466,0.49487000703811646,0.5171257257461548,0.21267321705818176,0.3872550129890442,0.2992778718471527
that,0.6297725439071655,0.47518548369407654,0.2734697759151459,0.4401702582836151,0.5473989248275757,0.19720019400119781,0.4407361149787903,0.26059767603874207,0.4735107421875,0.4869440197944641,0.4735107421875,0.5473989248275757,0.13278619945049286,0.4407361149787903,0.18878613412380219
increase,0.21153631806373596,0.15550044178962708,0.20255984365940094,0.4032187759876251,0.32049667835235596,0.23670779168605804,0.3162323832511902,0.17917843163013458,0.24019303917884827,0.37088197469711304,0.24019303917884827,0.32049667835235596,0.09113077074289322,0.3162323832511902,0.29611584544181824
was,0.22111038863658905,0.41399896144866943,0.29939597845077515,0.10553724318742752,0.48711544275283813,0.18898457288742065,0.5927209258079529,0.2525325119495392,0.3677520453929901,0.2580166161060333,0.3677520453929901,0.48711544275283813,0.18478141725063324,0.5927209258079529,0.3571169674396515
the,0.42745697498321533,0.34736719727516174,0.2755334973335266,0.2647975981235504,1.0,0.2877824306488037,0.3875846862792969,0.3376973867416382,0.48381632566452026,0.35023224353790283,0.48381632566452026,1.0,0.16664911806583405,0.3875846862792969,0.29543522000312805
