,who,captured,and,held,temüjin,prisoner,around,1177,?
in,0.2792111933231354,0.27827006578445435,0.4954058527946472,0.3127288818359375,0.3433155417442322,0.23853087425231934,0.41294145584106445,0.00650114705786109,0.20430970191955566
another,0.4379323124885559,0.26528581976890564,0.3214244842529297,0.10115218907594681,0.3570859134197235,0.22283150255680084,0.29018789529800415,-0.07206129282712936,0.295511931180954
incident,0.2120603621006012,0.20386847853660583,0.19273918867111206,0.22528386116027832,0.29599469900131226,0.23476873338222504,0.15798711776733398,-0.07656800001859665,0.18326528370380402
",",0.3365725874900818,0.27242976427078247,0.6633074283599854,0.2880980372428894,0.3484273850917816,0.24926301836967468,0.3298884332180023,0.02450672537088394,0.31091248989105225
around,0.2775672674179077,0.2723943293094635,0.34341543912887573,0.2345881313085556,0.2838648855686188,0.17242372035980225,1.0,0.01599554345011711,0.14729668200016022
1177,0.07186524569988251,-0.010008711367845535,0.03445445001125336,-0.04936908185482025,0.046961672604084015,-0.04507201164960861,0.01599554345011711,1.0,-0.07205783575773239
",",0.3365725874900818,0.27242976427078247,0.6633074283599854,0.2880980372428894,0.3484273850917816,0.24926301836967468,0.3298884332180023,0.02450672537088394,0.31091248989105225
he,0.5500732064247131,0.24964439868927002,0.45427167415618896,0.2682671546936035,0.44463157653808594,0.32509732246398926,0.23650753498077393,0.06327560544013977,0.2089974731206894
was,0.3318818509578705,0.31488236784935,0.3740963041782379,0.30231067538261414,0.38774195313453674,0.29916316270828247,0.24039418995380402,0.04742078855633736,0.18412111699581146
captured,0.26148858666419983,0.9999998807907104,0.23562167584896088,0.31757980585098267,0.32279106974601746,0.47862550616264343,0.2723943293094635,-0.010008711367845535,0.11851847916841507
in,0.2792111933231354,0.27827006578445435,0.4954058527946472,0.3127288818359375,0.3433155417442322,0.23853087425231934,0.41294145584106445,0.00650114705786109,0.20430970191955566
a,0.36608949303627014,0.21114401519298553,0.3739250600337982,0.22326228022575378,0.36845725774765015,0.21523241698741913,0.3187784254550934,0.004611465148627758,0.23916715383529663
raid,0.1545783132314682,0.37132951617240906,0.14785856008529663,0.12846693396568298,0.21017494797706604,0.209345281124115,0.15806664526462555,-0.028864769265055656,0.18620501458644867
and,0.41279885172843933,0.23562167584896088,1.0,0.22757986187934875,0.3789469599723816,0.2204298973083496,0.34341543912887573,0.03445445001125336,0.20544172823429108
held,0.21375896036624908,0.31757980585098267,0.22757986187934875,1.0,0.24154533445835114,0.2968588173389435,0.2345881313085556,-0.04936908185482025,0.14103956520557404
prisoner,0.32111212611198425,0.47862550616264343,0.2204298973083496,0.2968588173389435,0.3088499903678894,1.0000001192092896,0.17242372035980225,-0.04507201164960861,0.12990006804466248
by,0.39727845788002014,0.316963255405426,0.4289871156215668,0.19236290454864502,0.2763390839099884,0.20065130293369293,0.2682798206806183,0.016924453899264336,0.17966607213020325
his,0.44966956973075867,0.26828089356422424,0.4234102666378021,0.26191920042037964,0.4682264029979706,0.2941468060016632,0.2113194763660431,0.02881023846566677,0.18075084686279297
father,0.4164644777774811,0.25835007429122925,0.3168204128742218,0.17072701454162598,0.40216585993766785,0.2632751166820526,0.12305743992328644,-0.00913306139409542,0.14826634526252747
's,0.05599616840481758,0.006844574119895697,0.06895173341035843,0.02657921425998211,-0.010023289360105991,0.05711695924401283,-0.039796680212020874,0.0716274157166481,-0.023395681753754616
former,0.25351381301879883,0.1953195184469223,0.2516189515590668,0.22791849076747894,0.2521492540836334,0.18646210432052612,0.11764834076166153,-0.008474533446133137,0.10570605844259262
allies,0.22218574583530426,0.4313798248767853,0.2856144905090332,0.2558774948120117,0.37489694356918335,0.3241488039493561,0.2062215656042099,0.021661553531885147,0.16798950731754303
",",0.3365725874900818,0.27242976427078247,0.6633074283599854,0.2880980372428894,0.3484273850917816,0.24926301836967468,0.3298884332180023,0.02450672537088394,0.31091248989105225
the,0.3733934462070465,0.2944179177284241,0.5171257257461548,0.32185450196266174,0.43713900446891785,0.21147596836090088,0.40085816383361816,-0.08884843438863754,0.22068053483963013
tayichi'ud,0.27559512853622437,0.24112850427627563,0.3056160509586334,0.1909583956003189,0.49675238132476807,0.24076850712299347,0.1837574690580368,0.021763155236840248,0.2877330482006073
.,0.3541337847709656,0.28043997287750244,0.588965117931366,0.2628571093082428,0.31788840889930725,0.22578032314777374,0.3712388277053833,-0.01359494123607874,0.4130953550338745
