,where,did,jebe,'s,division,of,genghis,khan,'s,army,campaign,in,khwarezmia,?
the,0.5003893971443176,0.34736719727516174,0.272458553314209,-0.01540423184633255,0.26203617453575134,0.733189046382904,0.3448939025402069,0.21067845821380615,-0.01540423184633255,0.31011611223220825,0.2755736708641052,0.6662389636039734,0.3111512362957001,0.22068053483963013
second,0.26257625222206116,0.20727969706058502,0.2206641137599945,-0.060212843120098114,0.20447029173374176,0.353416383266449,0.190824955701828,0.1830817013978958,-0.060212843120098114,0.19013476371765137,0.21194151043891907,0.34510284662246704,0.23322013020515442,0.17239587008953094
division,0.1718221753835678,0.14262770116329193,0.08619437366724014,-0.006703963968902826,1.0,0.23579144477844238,0.16637326776981354,0.17306137084960938,-0.006703963968902826,0.25406786799430847,0.15755365788936615,0.2658538520336151,0.20878194272518158,0.08900629729032516
under,0.35552138090133667,0.20815621316432953,0.08044364303350449,-0.03376881033182144,0.14488926529884338,0.32766106724739075,0.2402999848127365,0.18593889474868774,-0.03376881033182144,0.19670718908309937,0.13232886791229248,0.2535393238067627,0.26319074630737305,0.18233340978622437
jebe,0.1792648732662201,0.14259633421897888,1.0,0.1057722270488739,0.08619437366724014,0.23213399946689606,0.38717931509017944,0.3338758945465088,0.1057722270488739,0.16189320385456085,0.19411660730838776,0.20922763645648956,0.4714023768901825,0.1268274188041687
marched,0.26346760988235474,0.27348342537879944,0.24837999045848846,0.035646747797727585,0.2021801918745041,0.2626478374004364,0.35027340054512024,0.15120570361614227,0.035646747797727585,0.45831313729286194,0.2602776288986206,0.2845587730407715,0.3217129409313202,0.11712592840194702
secretly,0.25525709986686707,0.2459244728088379,0.2232452929019928,0.04170006513595581,0.07783496379852295,0.1700989007949829,0.23391923308372498,0.15122593939304352,0.04170006513595581,0.3002566695213318,0.19239267706871033,0.23721837997436523,0.24949690699577332,0.1746927946805954
to,0.47735077142715454,0.4452643394470215,0.16959594190120697,0.03782717138528824,0.20332986116409302,0.41548454761505127,0.2294713407754898,0.18221943080425262,0.03782717138528824,0.22938482463359833,0.24738837778568268,0.45010748505592346,0.27053171396255493,0.29463258385658264
the,0.5003893971443176,0.34736719727516174,0.272458553314209,-0.01540423184633255,0.26203617453575134,0.733189046382904,0.3448939025402069,0.21067845821380615,-0.01540423184633255,0.31011611223220825,0.2755736708641052,0.6662389636039734,0.3111512362957001,0.22068053483963013
southeast,0.2592759430408478,0.09456195682287216,0.2749592959880829,0.055491868406534195,0.23943355679512024,0.3134217858314514,0.2202891707420349,0.1188713014125824,0.055491868406534195,0.1886751502752304,0.14374898374080658,0.332625150680542,0.26486045122146606,0.1004139706492424
