,where,is,the,coldest,section,of,victoria,?
the,0.5003893971443176,0.5823672413825989,1.0,0.34939485788345337,0.3365345895290375,0.733189046382904,0.2204313427209854,0.22068053483963013
victorian,0.1768084019422531,0.1690170168876648,0.2753658890724182,0.2364295870065689,0.18269191682338715,0.28338366746902466,0.7158359885215759,0.07572567462921143
alps,0.18269453942775726,0.16782210767269135,0.315137654542923,0.3442612290382385,0.16831545531749725,0.2345404177904129,0.2578235864639282,0.07792776823043823
in,0.5344807505607605,0.5394441485404968,0.6662389636039734,0.34461238980293274,0.22227555513381958,0.5696388483047485,0.20823122560977936,0.20430970191955566
the,0.5003893971443176,0.5823672413825989,1.0,0.34939485788345337,0.3365345895290375,0.733189046382904,0.2204313427209854,0.22068053483963013
northeast,0.24073590338230133,0.26471805572509766,0.3058204650878906,0.29583486914634705,0.12632673978805542,0.27603718638420105,0.19112783670425415,0.07426474988460541
are,0.32389864325523376,0.5330929756164551,0.40399202704429626,0.24093598127365112,0.2015407681465149,0.39081433415412903,0.16939106583595276,0.24591213464736938
the,0.5003893971443176,0.5823672413825989,1.0,0.34939485788345337,0.3365345895290375,0.733189046382904,0.2204313427209854,0.22068053483963013
coldest,0.2836757004261017,0.3375587463378906,0.34939485788345337,0.9999999403953552,0.09214720129966736,0.30938389897346497,0.24133874475955963,0.20090290904045105
part,0.3328706920146942,0.4582172930240631,0.527681291103363,0.23572009801864624,0.312581866979599,0.452393114566803,0.16081446409225464,0.08557961881160736
of,0.38066378235816956,0.4854315221309662,0.733189046382904,0.30938389897346497,0.21215301752090454,1.0,0.2505437433719635,0.1826142966747284
victoria,0.1839742809534073,0.1633591204881668,0.2204313427209854,0.24133874475955963,0.1931699961423874,0.2505437433719635,1.0,0.12246892601251602
.,0.41390106081962585,0.4569662809371948,0.5934505462646484,0.2890430688858032,0.26206159591674805,0.5352458953857422,0.23069117963314056,0.4130953550338745
