,what,prompted,shen,kuo,to,believe,the,land,was,formed,by,erosion,of,the,mountains,?
in,0.30808621644973755,0.2340080887079239,0.17430278658866882,0.09745828807353973,0.45010748505592346,0.20806841552257538,0.6662389636039734,0.22871792316436768,0.45514053106307983,0.27325257658958435,0.370934396982193,0.21655912697315216,0.5696388483047485,0.6662389636039734,0.27267226576805115,0.20430970191955566
china,0.13832437992095947,0.1760540008544922,0.5265890955924988,0.5011409521102905,0.1938052773475647,0.18097032606601715,0.3110525608062744,0.1958436816930771,0.20567192137241364,0.15625149011611938,0.15857630968093872,0.236008420586586,0.27699828147888184,0.3110525608062744,0.2168675661087036,0.18007943034172058
",",0.3087472915649414,0.25982430577278137,0.2485889494419098,0.2864573299884796,0.44245919585227966,0.2459280639886856,0.4933079481124878,0.22220008075237274,0.45456063747406006,0.2636634409427643,0.3680937886238098,0.24118734896183014,0.4946078956127167,0.4933079481124878,0.2542361319065094,0.31091248989105225
the,0.42745697498321533,0.3065200448036194,0.1715063601732254,0.17402341961860657,0.535392165184021,0.2972484529018402,1.0,0.28587454557418823,0.48711544275283813,0.28813210129737854,0.4408751428127289,0.2848348915576935,0.733189046382904,1.0,0.27269288897514343,0.22068053483963013
polymath,0.13378845155239105,0.15270742774009705,0.20533449947834015,0.25084519386291504,0.14304395020008087,0.19261692464351654,0.17267894744873047,0.06595661491155624,0.308808833360672,0.15681973099708557,0.21167747676372528,0.0914352759718895,0.24950963258743286,0.17267894744873047,0.11684457957744598,0.1700359731912613
shen,0.08489134162664413,0.04585548862814903,0.9999999403953552,0.6108590364456177,0.15525637567043304,0.1789158135652542,0.1715063601732254,0.17100848257541656,0.1713327020406723,0.09982658177614212,0.19116438925266266,0.11317721754312515,0.16697750985622406,0.1715063601732254,0.10963544249534607,0.1405322402715683
kuo,0.17105771601200104,0.03275982290506363,0.6108590364456177,1.0,0.1541849970817566,0.15397194027900696,0.17402341961860657,0.10944680124521255,0.1847100406885147,0.13291001319885254,0.16119444370269775,0.031894657760858536,0.17598487436771393,0.17402341961860657,0.11896610260009766,0.2440837323665619
(,0.2411840260028839,0.1419387310743332,0.18552875518798828,0.26263636350631714,0.30882009863853455,0.1559852510690689,0.33289089798927307,0.15432493388652802,0.2980341613292694,0.18508760631084442,0.20696312189102173,0.13837707042694092,0.35032153129577637,0.33289089798927307,0.14249426126480103,0.40561532974243164
1031–1095,0.26019173860549927,0.17628291249275208,0.05492012947797775,0.11140961945056915,0.16260680556297302,0.2770429253578186,0.061711765825748444,0.003836054354906082,0.08763615041971207,-0.020829735323786736,0.10310012847185135,-0.0020965177100151777,0.022599704563617706,0.061711765825748444,0.01020987518131733,0.3425162732601166
),0.26259949803352356,0.13686345517635345,0.19548164308071136,0.2777000963687897,0.31236231327056885,0.16532002389431,0.3456730246543884,0.1601184755563736,0.3267642855644226,0.22280143201351166,0.2151763141155243,0.1362813413143158,0.3680361211299896,0.3456730246543884,0.16033703088760376,0.42300865054130554
formulated,0.24279600381851196,0.31579381227493286,0.06023288145661354,0.13550631701946259,0.2502133846282959,0.21181011199951172,0.2888638973236084,0.18779154121875763,0.2657249867916107,0.2297913134098053,0.2914048731327057,0.17382782697677612,0.29343387484550476,0.2888638973236084,0.06202922388911247,0.17216148972511292
a,0.3320399522781372,0.23719322681427002,0.19274336099624634,0.16340568661689758,0.45503583550453186,0.2732302248477936,0.5829201340675354,0.247930645942688,0.4508470594882965,0.21948496997356415,0.32094135880470276,0.21476104855537415,0.5052502155303955,0.5829201340675354,0.1995611935853958,0.23916715383529663
hypothesis,0.32678523659706116,0.13641776144504547,0.1306430846452713,0.15777070820331573,0.22394606471061707,0.2797773480415344,0.2221619188785553,0.12737324833869934,0.15402233600616455,0.16209103167057037,0.14572958648204803,0.22334285080432892,0.18608006834983826,0.2221619188785553,0.09667380899190903,0.20027662813663483
for,0.3017193675041199,0.24478177726268768,0.16642709076404572,0.17688336968421936,0.4451248347759247,0.2833847403526306,0.4739971458911896,0.19845563173294067,0.3863949179649353,0.18147863447666168,0.3248702883720398,0.1743953824043274,0.4185989499092102,0.4739971458911896,0.17713519930839539,0.264628142118454
the,0.42745697498321533,0.3065200448036194,0.1715063601732254,0.17402341961860657,0.535392165184021,0.2972484529018402,1.0,0.28587454557418823,0.48711544275283813,0.28813210129737854,0.4408751428127289,0.2848348915576935,0.733189046382904,1.0,0.27269288897514343,0.22068053483963013
process,0.3466717302799225,0.2540071904659271,0.10750477761030197,0.15305247902870178,0.35462963581085205,0.2364111840724945,0.264274537563324,0.09079256653785706,0.15519841015338898,0.19476965069770813,0.2115318775177002,0.3054144084453583,0.23962904512882233,0.264274537563324,0.1258835643529892,0.2460896074771881
