,what,did,the,acronym,aap,stand,for,?
this,0.5489566326141357,0.3609912693500519,0.6274310946464539,0.23211100697517395,0.15336576104164124,0.22148637473583221,0.5082864165306091,0.3155723512172699
study,0.3123835027217865,0.21215762197971344,0.2533665597438812,0.11824511736631393,0.17003589868545532,0.013436914421617985,0.18700449168682098,0.15902167558670044
was,0.22111038863658905,0.41399896144866943,0.48711544275283813,0.17198190093040466,0.1779206097126007,0.22636882960796356,0.3863949179649353,0.18412111699581146
followed,0.20169416069984436,0.2675115466117859,0.3567860722541809,0.11899904906749725,0.13581521809101105,0.14662909507751465,0.2623760402202606,0.20567169785499573
by,0.2455483376979828,0.18574509024620056,0.4408751428127289,0.17779923975467682,0.07699596136808395,0.1934388428926468,0.3248702883720398,0.17966607213020325
design,0.23893405497074127,0.23409053683280945,0.27913451194763184,0.18631994724273682,0.22212494909763336,0.1225636750459671,0.2477298229932785,0.16351860761642456
of,0.33290785551071167,0.2513895630836487,0.733189046382904,0.19614456593990326,0.1507325917482376,0.2038130760192871,0.4185989499092102,0.1826142966747284
a,0.3320399522781372,0.2552328109741211,0.5829201340675354,0.20950040221214294,0.18903693556785583,0.26977941393852234,0.44038116931915283,0.23916715383529663
larger,0.23663538694381714,0.17694389820098877,0.378620445728302,0.18947389721870422,0.050993550568819046,0.18032923340797424,0.18703162670135498,0.1602165699005127
orbital,0.2394261658191681,0.14080005884170532,0.16417881846427917,0.21703524887561798,0.19866660237312317,0.09347450733184814,0.1865740865468979,0.22483505308628082
workshop,0.19903716444969177,0.166790172457695,0.20376601815223694,0.030374808236956596,0.1875215470790863,0.1510915756225586,0.2406100183725357,0.17420513927936554
to,0.455847829580307,0.4452643394470215,0.535392165184021,0.17651188373565674,0.1272851973772049,0.23655876517295837,0.4451248347759247,0.29463258385658264
be,0.3929833769798279,0.22657383978366852,0.4248143136501312,0.195464625954628,0.09481148421764374,0.2931014597415924,0.3801851272583008,0.3324260413646698
built,0.1554843783378601,0.2079687863588333,0.2950156033039093,0.12691624462604523,0.10879477113485336,0.21210631728172302,0.19757427275180817,0.09449632465839386
in,0.30808621644973755,0.2593238651752472,0.6662389636039734,0.1663419008255005,0.15165792405605316,0.20552469789981842,0.4322226941585541,0.20430970191955566
orbit,0.19471463561058044,0.1529427319765091,0.1565481424331665,0.1557234525680542,0.10654294490814209,0.1184554398059845,0.16374921798706055,0.16621392965316772
from,0.2737620174884796,0.20248863101005554,0.40150508284568787,0.15673024952411652,0.07906314730644226,0.1447637528181076,0.314039945602417,0.19969791173934937
an,0.2821882665157318,0.22598257660865784,0.4207492768764496,0.22456279397010803,0.19622088968753815,0.21406462788581848,0.3236706852912903,0.19793890416622162
empty,0.17476437985897064,0.10144145041704178,0.2499721348285675,0.09266164898872375,0.052229154855012894,0.1824527233839035,0.22870975732803345,0.17362195253372192
s-ivb,0.27927571535110474,0.19501733779907227,0.3730037808418274,0.2835118770599365,0.2907367944717407,0.20033366978168488,0.32199859619140625,0.1708081215620041
saturn,0.12153393030166626,0.18646769225597382,0.24189656972885132,0.11839742958545685,0.15964695811271667,0.11531946063041687,0.30204665660858154,0.1619711071252823
upper,0.1592642068862915,0.14103727042675018,0.35289278626441956,0.10081705451011658,0.15558166801929474,0.12026236206293106,0.12166716158390045,0.051342256367206573
stage,0.15168409049510956,0.1994115114212036,0.22652170062065125,0.12189353257417679,0.101189523935318,0.30464503169059753,0.2402065247297287,0.14916576445102692
",",0.3087472915649414,0.3015086054801941,0.4933079481124878,0.21347589790821075,0.24627850949764252,0.27589988708496094,0.4464869201183319,0.31091248989105225
and,0.31309178471565247,0.34479495882987976,0.5171257257461548,0.113299161195755,0.21529856324195862,0.268960565328598,0.5064792633056641,0.20544172823429108
grew,0.11968503892421722,0.28116604685783386,0.226883202791214,0.05575375258922577,0.08842708170413971,0.15116557478904724,0.19393101334571838,0.05505307391285896
into,0.2180619090795517,0.14888085424900055,0.39493247866630554,0.06674078851938248,0.03189144283533096,0.1409827321767807,0.231735959649086,0.15662476420402527
the,0.42745697498321533,0.34736719727516174,1.0,0.22906145453453064,0.1899232715368271,0.2531624138355255,0.4739971458911896,0.22068053483963013
apollo,0.13561789691448212,0.1976410299539566,0.2169172167778015,0.08957434445619583,0.03628547489643097,0.08996062725782394,0.18462510406970978,0.191528782248497
applications,0.20821766555309296,0.1447269320487976,0.23664557933807373,0.25904956459999084,0.3042443096637726,0.1362926959991455,0.35100895166397095,0.19125857949256897
program,0.25047802925109863,0.18915289640426636,0.22986935079097748,0.20587055385112762,0.21953311562538147,0.21006406843662262,0.29441335797309875,0.1440187245607376
(,0.2411840260028839,0.18979617953300476,0.33289089798927307,0.23940598964691162,0.298293799161911,0.15827840566635132,0.3357032239437103,0.40561532974243164
aap,0.16648362576961517,0.13756173849105835,0.1899232715368271,0.21414294838905334,1.0,0.1146572157740593,0.20368027687072754,0.2603999674320221
),0.26259949803352356,0.18584993481636047,0.3456730246543884,0.2410539984703064,0.30141907930374146,0.14393578469753265,0.3639558255672455,0.42300865054130554
.,0.3567904531955719,0.35288307070732117,0.5934505462646484,0.1759447604417801,0.24876980483531952,0.2296130359172821,0.4726039469242096,0.4130953550338745
