,who,built,a,castle,in,newcastle,in,1080,?
the,0.3733934462070465,0.2950156033039093,0.5829201340675354,0.21430203318595886,0.6662389636039734,0.2253497689962387,0.6662389636039734,-0.1299489438533783,0.22068053483963013
city,0.21073515713214874,0.2644844651222229,0.2349124401807785,0.26957476139068604,0.3911624252796173,0.32860881090164185,0.3911624252796173,-0.11687770485877991,0.13423943519592285
developed,0.1288115680217743,0.3962084650993347,0.286296546459198,0.1236351728439331,0.2498214840888977,0.14132197201251984,0.2498214840888977,-0.0015347874723374844,0.10763012617826462
around,0.2775672674179077,0.29944562911987305,0.3187784254550934,0.2050858736038208,0.41294145584106445,0.19274786114692688,0.41294145584106445,-0.012600332498550415,0.14729668200016022
the,0.3733934462070465,0.2950156033039093,0.5829201340675354,0.21430203318595886,0.6662389636039734,0.2253497689962387,0.6662389636039734,-0.1299489438533783,0.22068053483963013
roman,0.1856684684753418,0.22990573942661285,0.18130378425121307,0.22857095301151276,0.24986636638641357,0.17767032980918884,0.24986636638641357,-0.1995568722486496,0.1663191318511963
settlement,0.14946594834327698,0.28813308477401733,0.24842394888401031,0.2694879472255707,0.26083990931510925,0.2259233444929123,0.26083990931510925,-0.07950387895107269,0.12535437941551208
pons,0.17338815331459045,0.1109289675951004,0.1505228877067566,0.22301918268203735,0.21381573379039764,0.14951935410499573,0.21381573379039764,-0.053802695125341415,0.11148941516876221
aelius,0.27766335010528564,0.15437190234661102,0.1939542144536972,0.07673123478889465,0.18522942066192627,0.08944269269704819,0.18522942066192627,-0.08558159321546555,0.17960843443870544
and,0.41279885172843933,0.2814858853816986,0.3739250600337982,0.18904168903827667,0.4954058527946472,0.20204751193523407,0.4954058527946472,-0.0887327641248703,0.20544172823429108
was,0.3318818509578705,0.3424932360649109,0.4508470594882965,0.19402529299259186,0.45514053106307983,0.25710436701774597,0.45514053106307983,-0.18415498733520508,0.18412111699581146
named,0.38541290163993835,0.3123122453689575,0.3292267918586731,0.08968767523765564,0.28130269050598145,0.13427768647670746,0.28130269050598145,-0.053949903696775436,0.1297498345375061
after,0.32549580931663513,0.21436075866222382,0.3831600844860077,0.13860292732715607,0.44050168991088867,0.17743338644504547,0.44050168991088867,-0.09659174829721451,0.16608688235282898
the,0.3733934462070465,0.2950156033039093,0.5829201340675354,0.21430203318595886,0.6662389636039734,0.2253497689962387,0.6662389636039734,-0.1299489438533783,0.22068053483963013
castle,0.15915516018867493,0.30811816453933716,0.16013845801353455,0.9999999403953552,0.2009769082069397,0.46923327445983887,0.2009769082069397,-0.069956935942173,0.0871945396065712
built,0.2059558480978012,1.0000001192092896,0.23064446449279785,0.30811816453933716,0.25829681754112244,0.21985043585300446,0.25829681754112244,-0.027384301647543907,0.09449632465839386
in,0.2792111933231354,0.25829681754112244,0.539380669593811,0.2009769082069397,1.0,0.19270820915699005,1.0,-0.1168975681066513,0.20430970191955566
1080,-0.1705619990825653,-0.027384301647543907,-0.07243896275758743,-0.069956935942173,-0.1168975681066513,0.09618448466062546,-0.1168975681066513,1.0000001192092896,-0.001293452107347548
by,0.39727845788002014,0.22056880593299866,0.32094135880470276,0.11636775732040405,0.370934396982193,0.1767825335264206,0.370934396982193,-0.08727667480707169,0.17966607213020325
robert,0.2748492956161499,0.15625087916851044,0.2100449502468109,0.1259174942970276,0.22155319154262543,0.22563621401786804,0.22155319154262543,-0.033133603632450104,0.11293095350265503
curthose,0.4191739559173584,0.29317012429237366,0.2564142644405365,0.3217563033103943,0.36853528022766113,0.2950206398963928,0.36853528022766113,-0.13350321352481842,0.23328670859336853
",",0.3365725874900818,0.22658206522464752,0.427140474319458,0.2080804705619812,0.5201468467712402,0.251589834690094,0.5201468467712402,-0.06719347834587097,0.31091248989105225
william,0.32068803906440735,0.17208367586135864,0.19269351661205292,0.20005841553211212,0.21605195105075836,0.29860395193099976,0.21605195105075836,-0.08000724017620087,0.14462219178676605
the,0.3733934462070465,0.2950156033039093,0.5829201340675354,0.21430203318595886,0.6662389636039734,0.2253497689962387,0.6662389636039734,-0.1299489438533783,0.22068053483963013
conqueror,0.2574475109577179,0.24551180005073547,0.20406103134155273,0.3237999975681305,0.22143715620040894,0.22932961583137512,0.22143715620040894,-0.1594693660736084,0.16424570977687836
's,0.05599616840481758,0.09241583198308945,0.04866964742541313,-0.12325005233287811,-0.037580832839012146,-0.017262522131204605,-0.037580832839012146,0.0019147909479215741,-0.023395681753754616
eldest,0.349020779132843,0.1672784686088562,0.13309705257415771,0.20286454260349274,0.24058955907821655,0.12687084078788757,0.24058955907821655,-0.11066976189613342,0.1492495983839035
son,0.3958503007888794,0.19322484731674194,0.16976182162761688,0.18514588475227356,0.22500404715538025,0.07647855579853058,0.22500404715538025,-0.14625458419322968,0.14735563099384308
.,0.3541337847709656,0.2374027520418167,0.50484299659729,0.1885698437690735,0.5591574311256409,0.2714749276638031,0.5591574311256409,-0.06405866146087646,0.4130953550338745
