,why,did,opec,block,oil,deliveries,to,the,united,states,?
in,0.23227278888225555,0.2593238651752472,0.24516436457633972,0.1659933477640152,0.21800900995731354,0.25389331579208374,0.45010748505592346,0.6662389636039734,0.3938477039337158,0.3977442979812622,0.20430970191955566
response,0.28092360496520996,0.23455248773097992,0.21206332743167877,0.21077898144721985,0.0970371812582016,0.32819491624832153,0.277526319026947,0.28909924626350403,0.14602433145046234,0.13901233673095703,0.2007838636636734
to,0.4100138247013092,0.4452643394470215,0.25495490431785583,0.30297139286994934,0.1619214415550232,0.2617136240005493,1.0,0.535392165184021,0.2715383470058441,0.2828785181045532,0.29463258385658264
american,0.19654372334480286,0.21486236155033112,0.07987891882658005,0.06581992655992508,0.1590273678302765,0.14025293290615082,0.16338081657886505,0.24562937021255493,0.3562275767326355,0.34012681245803833,0.18877598643302917
aid,0.1459229588508606,0.1701076328754425,0.2738218605518341,0.14033189415931702,0.1583620011806488,0.2628643214702606,0.2690417766571045,0.21952909231185913,0.19321374595165253,0.1829213798046112,0.08358026295900345
to,0.4100138247013092,0.4452643394470215,0.25495490431785583,0.30297139286994934,0.1619214415550232,0.2617136240005493,1.0,0.535392165184021,0.2715383470058441,0.2828785181045532,0.29463258385658264
israel,0.22977615892887115,0.16748307645320892,0.28120890259742737,0.15183261036872864,0.14114989340305328,0.17238949239253998,0.182975634932518,0.21617624163627625,0.3040662109851837,0.28390777111053467,0.15015864372253418
",",0.2827242314815521,0.3015086054801941,0.21738165616989136,0.24290941655635834,0.20043784379959106,0.21752388775348663,0.44245919585227966,0.4933079481124878,0.3053959608078003,0.3315127193927765,0.31091248989105225
on,0.2698206305503845,0.2670976221561432,0.15701349079608917,0.27317050099372864,0.12803566455841064,0.26744917035102844,0.41031414270401,0.5107308030128479,0.2703288793563843,0.2692825198173523,0.2714994251728058
october,0.2107020765542984,0.2746104896068573,0.16644196212291718,0.1648375391960144,0.12903504073619843,0.11299242079257965,0.23106063902378082,0.2621108889579773,0.24000099301338196,0.2242458313703537,0.29706719517707825
16,0.04482521489262581,0.015878839418292046,0.007955566048622131,0.0751008465886116,0.08918651938438416,0.03702301159501076,0.055442724376916885,0.0058518932200968266,0.05773027613759041,0.06704248487949371,0.08446579426527023
",",0.2827242314815521,0.3015086054801941,0.21738165616989136,0.24290941655635834,0.20043784379959106,0.21752388775348663,0.44245919585227966,0.4933079481124878,0.3053959608078003,0.3315127193927765,0.31091248989105225
1973,-0.19607025384902954,-0.23175965249538422,-0.06454210728406906,-0.11639521270990372,-0.11623536795377731,-0.26705408096313477,-0.2857922613620758,-0.22297891974449158,-0.2019166797399521,-0.22752629220485687,-0.07644321769475937
",",0.2827242314815521,0.3015086054801941,0.21738165616989136,0.24290941655635834,0.20043784379959106,0.21752388775348663,0.44245919585227966,0.4933079481124878,0.3053959608078003,0.3315127193927765,0.31091248989105225
opec,0.2295399159193039,0.16579832136631012,1.0,0.1558057814836502,0.3863743841648102,0.2972477972507477,0.25495490431785583,0.3102748692035675,0.3028891682624817,0.2892496883869171,0.14867433905601501
raised,0.11667034775018692,0.199112206697464,0.07836952060461044,0.1652725487947464,0.1728043109178543,0.1746615469455719,0.18795548379421234,0.2089216411113739,0.22710785269737244,0.208966463804245,0.1332261711359024
the,0.30742117762565613,0.34736719727516174,0.3102748692035675,0.20056472718715668,0.21849922835826874,0.28567758202552795,0.535392165184021,1.0,0.34367692470550537,0.3463578522205353,0.22068053483963013
