,on,which,magazine,'s,cover,did,tesla,appear,in,1931
on,0.9999999403953552,0.4245251417160034,0.2296493798494339,0.0026888418942689896,0.3228342533111572,0.2670976221561432,0.16159376502037048,0.30842477083206177,0.46853652596473694,0.08620596677064896
tesla,0.16159376502037048,0.2203940600156784,0.2325788289308548,0.06449045985937119,0.12449809163808823,0.09757418930530548,0.9999999403953552,0.02088736928999424,0.17097744345664978,0.02937370352447033
's,0.0026888418942689896,0.03856118768453598,0.04030289873480797,0.9999999403953552,0.05930739641189575,0.05069678649306297,0.06449045985937119,-0.031298309564590454,-0.037580832839012146,0.0379076711833477
75th,0.08966006338596344,0.11767582595348358,0.11409063637256622,0.18782088160514832,0.09749327600002289,0.07201001048088074,0.08574759215116501,0.020843680948019028,0.1468086540699005,0.15550383925437927
birthday,0.287424772977829,0.17433296144008636,0.11346031725406647,-0.04140518605709076,0.11071731895208359,0.2158898115158081,0.15068478882312775,0.15617093443870544,0.2390168160200119,-0.04481314867734909
in,0.46853652596473694,0.4840516746044159,0.17267684638500214,-0.037580832839012146,0.19227565824985504,0.2593238651752472,0.17097744345664978,0.2517908811569214,1.0,0.10557710379362106
1931,0.08620596677064896,0.1358409821987152,-0.003920191898941994,0.0379076711833477,0.008532194420695305,0.13169489800930023,0.02937370352447033,0.07234961539506912,0.10557710379362106,1.0
",",0.49057599902153015,0.3658004403114319,0.2281705141067505,-0.0016132977325469255,0.24982257187366486,0.3015086054801941,0.20599327981472015,0.28874364495277405,0.5201468467712402,0.021602574735879898
time,0.30044233798980713,0.325231671333313,0.2604043781757355,0.01301188487559557,0.19033178687095642,0.3567926585674286,0.14928559958934784,0.23009346425533295,0.3431483507156372,0.1709379255771637
magazine,0.2296493798494339,0.17665719985961914,1.0000001192092896,0.04030289873480797,0.33916035294532776,0.14056919515132904,0.2325788289308548,0.10973761975765228,0.17267684638500214,-0.003920191898941994
put,0.33860915899276733,0.33595386147499084,0.24193985760211945,0.006688596680760384,0.2926618456840515,0.32128840684890747,0.1382041871547699,0.3122667372226715,0.26728662848472595,0.02762705646455288
him,0.2697460651397705,0.3357398211956024,0.21561187505722046,0.004161491058766842,0.14544783532619476,0.4290095865726471,0.14682093262672424,0.20512129366397858,0.2284061461687088,0.0459158830344677
on,0.9999999403953552,0.4245251417160034,0.2296493798494339,0.0026888418942689896,0.3228342533111572,0.2670976221561432,0.16159376502037048,0.30842477083206177,0.46853652596473694,0.08620596677064896
its,0.34331920742988586,0.5154205560684204,0.18749061226844788,0.03202139586210251,0.16687849164009094,0.19922670722007751,0.20526613295078278,0.20094196498394012,0.3793783485889435,0.2035568505525589
cover,0.3228342533111572,0.2708751857280731,0.33916035294532776,0.05930739641189575,0.9999998807907104,0.21384651958942413,0.12449809163808823,0.33679643273353577,0.19227565824985504,0.008532194420695305
.,0.49257001280784607,0.45942068099975586,0.1843809336423874,-0.003708066651597619,0.22325164079666138,0.35288307070732117,0.17949827015399933,0.2815418541431427,0.5591574311256409,0.06983193010091782
