,what,does,phycoerytherin,appear,in,?
phycobilins,0.2545374929904938,0.24162809550762177,0.6089537143707275,0.3092280924320221,0.36038753390312195,0.2176510989665985
come,0.39461299777030945,0.3035000264644623,0.2459557205438614,0.36035874485969543,0.26272067427635193,0.22318024933338165
in,0.30808621644973755,0.214483380317688,0.28968116641044617,0.2517908811569214,1.0,0.20430970191955566
all,0.41981086134910583,0.31124600768089294,0.32114267349243164,0.36635032296180725,0.3335905969142914,0.29575422406196594
colors,0.2215159684419632,0.1812397986650467,0.22141939401626587,0.27032870054244995,0.1231844574213028,0.18779070675373077
",",0.3087472915649414,0.28617382049560547,0.3565692901611328,0.28874364495277405,0.5201468467712402,0.31091248989105225
though,0.4089210331439972,0.44187110662460327,0.3651171326637268,0.3667290210723877,0.3193182945251465,0.3188856542110443
phycoerytherin,0.3430229127407074,0.2574462294578552,1.0,0.20210382342338562,0.28968116641044617,0.21522711217403412
is,0.28837618231773376,0.4403602182865143,0.3084558844566345,0.2552686333656311,0.5394441485404968,0.22961433231830597
one,0.376489520072937,0.2924913763999939,0.24284783005714417,0.2601659297943115,0.4129433035850525,0.2673267424106598
of,0.33290785551071167,0.3119818866252899,0.30970197916030884,0.2246912121772766,0.5696388483047485,0.1826142966747284
the,0.42745697498321533,0.35928019881248474,0.29336079955101013,0.3581200838088989,0.6662389636039734,0.22068053483963013
pigments,0.2220182567834854,0.2494574636220932,0.43376705050468445,0.279644638299942,0.18186528980731964,0.16673754155635834
that,0.6297725439071655,0.4764937460422516,0.403129518032074,0.39309781789779663,0.435920387506485,0.32716336846351624
makes,0.2867553234100342,0.5149580240249634,0.21376457810401917,0.27282825112342834,0.22258508205413818,0.22145044803619385
many,0.36131182312965393,0.30303922295570374,0.3222734332084656,0.30559736490249634,0.41474202275276184,0.2124512493610382
red,0.16784515976905823,0.11942686140537262,0.209265798330307,0.24210882186889648,0.18753071129322052,0.1495664119720459
algae,0.1909741312265396,0.21796578168869019,0.42699262499809265,0.25898632407188416,0.16969986259937286,0.15479309856891632
red,0.16784515976905823,0.11942686140537262,0.209265798330307,0.24210882186889648,0.18753071129322052,0.1495664119720459
.,0.3567904531955719,0.3022993505001068,0.31794682145118713,0.2815418541431427,0.5591574311256409,0.4130953550338745
