,what,format,is,abc,'s,master,feed,transmitted,in,?
abc,0.1317344456911087,0.2297828495502472,0.16037321090698242,1.0000001192092896,0.06670809537172318,0.13044746220111847,0.209929421544075,0.1610155999660492,0.1697147786617279,0.19065172970294952
's,0.02692362666130066,0.020792445167899132,0.02396530658006668,0.06670809537172318,0.9999999403953552,0.025999123230576515,0.07618222385644913,-0.061072129756212234,-0.037580832839012146,-0.023395681753754616
master,0.16430073976516724,0.07620012015104294,0.16117574274539948,0.13044746220111847,0.025999123230576515,0.9999999403953552,0.07499617338180542,0.15176907181739807,0.17882928252220154,0.11915034055709839
feed,0.24202558398246765,0.23739777505397797,0.18941432237625122,0.209929421544075,0.07618222385644913,0.07499617338180542,1.0,0.25623857975006104,0.17841142416000366,0.19348634779453278
is,0.28837618231773376,0.21288776397705078,1.0,0.16037321090698242,0.02396530658006668,0.16117574274539948,0.18941432237625122,0.21750763058662415,0.5394441485404968,0.22961433231830597
transmitted,0.1978447586297989,0.24951592087745667,0.21750763058662415,0.1610155999660492,-0.061072129756212234,0.15176907181739807,0.25623857975006104,1.0000001192092896,0.1705920398235321,0.15801244974136353
in,0.30808621644973755,0.2023913413286209,0.5394441485404968,0.1697147786617279,-0.037580832839012146,0.17882928252220154,0.17841142416000366,0.1705920398235321,1.0,0.20430970191955566
720p,-0.04736834391951561,0.046079762279987335,0.0981503501534462,0.010370003990828991,0.018186360597610474,0.02693220227956772,-0.13834941387176514,-0.09480763971805573,0.19510115683078766,0.024638570845127106
high,0.20466077327728271,0.11970654875040054,0.2383800595998764,0.11418791115283966,-0.04658069461584091,0.10772308707237244,0.10012635588645935,0.19047802686691284,0.2652597725391388,0.11137914657592773
definition,0.330344021320343,0.2965310513973236,0.29006320238113403,0.15801237523555756,-0.07552970945835114,0.1074962317943573,0.08459935337305069,0.30108046531677246,0.20306213200092316,0.2796523869037628
",",0.3087472915649414,0.21768099069595337,0.4691906273365021,0.2097204476594925,-0.0016132977325469255,0.21451058983802795,0.22537048161029816,0.2063266634941101,0.5201468467712402,0.31091248989105225
the,0.42745697498321533,0.21678368747234344,0.5823672413825989,0.2068762183189392,-0.01540423184633255,0.19769129157066345,0.2381063848733902,0.2535918653011322,0.6662389636039734,0.22068053483963013
native,0.19453833997249603,0.16735264658927917,0.25614386796951294,0.13189911842346191,0.0551753006875515,0.11043489724397659,0.2203686237335205,0.16157189011573792,0.24378694593906403,0.1457047313451767
resolution,0.2625337243080139,0.23910070955753326,0.17696398496627808,0.10058312118053436,-0.016198666766285896,0.12298820167779922,0.09850233048200607,0.2681884467601776,0.1619282215833664,0.223141148686409
format,0.16273964941501617,1.0,0.21288776397705078,0.2297828495502472,0.020792445167899132,0.07620012015104294,0.23739777505397797,0.24951592087745667,0.2023913413286209,0.2222042977809906
for,0.3017193675041199,0.3087678551673889,0.43268078565597534,0.22510288655757904,-0.07241261005401611,0.1568533182144165,0.20785245299339294,0.2362280935049057,0.4322226941585541,0.264628142118454
the,0.42745697498321533,0.21678368747234344,0.5823672413825989,0.2068762183189392,-0.01540423184633255,0.19769129157066345,0.2381063848733902,0.2535918653011322,0.6662389636039734,0.22068053483963013
walt,0.1869807094335556,0.17641355097293854,0.21739564836025238,0.36108773946762085,0.09715674072504044,0.1746075302362442,0.18873073160648346,0.17097307741641998,0.24451637268066406,0.18540392816066742
disney,0.19632026553153992,0.15686151385307312,0.18704643845558167,0.37895750999450684,0.0786653682589531,0.12086819112300873,0.17020361125469208,0.16413936018943787,0.18521910905838013,0.22150784730911255
company,0.2333769053220749,0.159739151597023,0.18005689978599548,0.16210390627384186,0.003266559913754463,0.1565655916929245,0.12223681807518005,0.0993504747748375,0.22141718864440918,0.12195809185504913
's,0.02692362666130066,0.020792445167899132,0.02396530658006668,0.06670809537172318,0.9999999403953552,0.025999123230576515,0.07618222385644913,-0.061072129756212234,-0.037580832839012146,-0.023395681753754616
u.s.,0.11178889125585556,0.05405009910464287,-0.05269147455692291,0.042879559099674225,-0.015024582855403423,0.04087228327989578,-0.04287948086857796,-0.02997897006571293,-0.003064807504415512,0.07886100560426712
television,0.19838058948516846,0.23970246315002441,0.21374565362930298,0.46871840953826904,0.11021530628204346,0.17237815260887146,0.1957387626171112,0.2647491693496704,0.2689782977104187,0.16825827956199646
properties,0.23360128700733185,0.22548186779022217,0.22585535049438477,0.13060899078845978,-0.07409704476594925,0.11359317600727081,0.11795555800199509,0.22808866202831268,0.19315902888774872,0.12601029872894287
.,0.3567904531955719,0.26485368609428406,0.4569662809371948,0.2567209303379059,-0.003708066651597619,0.16851933300495148,0.2533789277076721,0.21686874330043793,0.5591574311256409,0.4130953550338745
