,who,do,most,jurisdictions,say,can,give,scheduled,drugs,to,the,public,?
these,0.34544891119003296,0.4402875602245331,0.4825916290283203,0.29735085368156433,0.346245676279068,0.4833051562309265,0.3311072289943695,0.20139038562774658,0.32850316166877747,0.46852558851242065,0.49086877703666687,0.22433283925056458,0.2571668326854706
jurisdictions,0.21970705687999725,0.266284704208374,0.21229124069213867,1.0000001192092896,0.2258305698633194,0.2675124406814575,0.22559219598770142,0.20481885969638824,0.3064984679222107,0.2819231450557709,0.2714405059814453,0.2932538390159607,0.20752876996994019
also,0.47919341921806335,0.36242780089378357,0.5312551259994507,0.25904008746147156,0.39009517431259155,0.4861826002597809,0.3183518648147583,0.21558935940265656,0.31450721621513367,0.5348826050758362,0.6021018624305725,0.3308127224445343,0.21848613023757935
usually,0.35319453477859497,0.3498661518096924,0.4146766662597656,0.2853870689868927,0.3214518427848816,0.5642885565757751,0.3186253011226654,0.17659957706928253,0.23461869359016418,0.3824864327907562,0.36782920360565186,0.21588484942913055,0.19435347616672516
specify,0.09771164506673813,0.32001668214797974,0.16366352140903473,0.3212321996688843,0.3184380829334259,0.35188978910446167,0.3261871933937073,0.14493919909000397,0.17143473029136658,0.29637542366981506,0.3173759877681732,0.18020552396774292,0.3106546401977539
that,0.45444270968437195,0.44533252716064453,0.4497850239276886,0.28165361285209656,0.5852095484733582,0.4522190988063812,0.41792264580726624,0.2917189300060272,0.2915695607662201,0.5436353087425232,0.5473989248275757,0.2622828185558319,0.32716336846351624
only,0.4202229380607605,0.36438748240470886,0.5343596935272217,0.26768457889556885,0.41487210988998413,0.43433451652526855,0.41244015097618103,0.26175129413604736,0.22291961312294006,0.5096819996833801,0.5497692227363586,0.2922693192958832,0.2767370045185089
pharmacists,0.38864052295684814,0.328380823135376,0.2470005452632904,0.22456330060958862,0.31284967064857483,0.31512337923049927,0.2133404165506363,0.14472927153110504,0.4488057494163513,0.24341562390327454,0.24311043322086334,0.23048073053359985,0.1797308325767517
may,0.23082798719406128,0.28230178356170654,0.21794430911540985,0.2520025670528412,0.29446178674697876,0.43584567308425903,0.21921409666538239,0.21922427415847778,0.2807694673538208,0.391582727432251,0.2694292366504669,0.212143212556839,0.2768254578113556
supply,0.16680015623569489,0.2525494396686554,0.24468326568603516,0.2337271124124527,0.19640308618545532,0.23833782970905304,0.2819252014160156,0.21653519570827484,0.1929313838481903,0.29291704297065735,0.31942567229270935,0.25158748030662537,0.14298182725906372
