,what,is,the,largest,independent,library,outside,of,london,?
the,0.42745697498321533,0.5823672413825989,1.0,0.3757036626338959,0.2927691638469696,0.19920319318771362,0.3879719078540802,0.733189046382904,0.27034124732017517,0.22068053483963013
literary,0.154927596449852,0.18507975339889526,0.20471718907356262,0.12387789040803909,0.1766509711742401,0.32775449752807617,0.15673884749412537,0.2307562679052353,0.18928422033786774,0.14493726193904877
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.24602696299552917,0.22274264693260193,0.18451033532619476,0.31803378462791443,0.5116966962814331,0.2868692874908447,0.20544172823429108
philosophical,0.3205060660839081,0.1827717125415802,0.23365144431591034,0.11334756761789322,0.192032590508461,0.23562145233154297,0.1743854433298111,0.2655055820941925,0.24157840013504028,0.18311575055122375
society,0.23231269419193268,0.15995073318481445,0.2789285480976105,0.11454816162586212,0.14931067824363708,0.25136813521385193,0.13831377029418945,0.23646748065948486,0.2861938178539276,0.1373005360364914
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.36650770902633667,0.30508819222450256,0.21889357268810272,0.2973117530345917,1.0,0.2159106284379959,0.1826142966747284
newcastle,0.16276082396507263,0.1841045320034027,0.2253497689962387,0.17620566487312317,0.12382678687572479,0.17185014486312866,0.17032372951507568,0.18781472742557526,0.3328736424446106,0.0902252271771431
upon,0.2878674864768982,0.1675044447183609,0.28184252977371216,0.10791202634572983,0.16842588782310486,0.10972639173269272,0.22659236192703247,0.3224298357963562,0.23459626734256744,0.13780277967453003
tyne,0.14296641945838928,0.19354984164237976,0.23053501546382904,0.15740515291690826,0.18545791506767273,0.13219669461250305,0.20781156420707703,0.2296384871006012,0.398507297039032,0.07377036660909653
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.14214102923870087,0.17961587011814117,0.18725703656673431,0.14573508501052856,0.35032153129577637,0.14926765859127045,0.40561532974243164
popularly,0.09701934456825256,0.31121397018432617,0.2381468266248703,0.2753669321537018,0.24407647550106049,0.08565158396959305,0.14410632848739624,0.22144168615341187,0.16316358745098114,0.17991875112056732
known,0.20381177961826324,0.41921812295913696,0.3624623417854309,0.2938424348831177,0.21561169624328613,0.14185714721679688,0.2019069492816925,0.35814476013183594,0.12327394634485245,0.18314571678638458
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.1819920688867569,0.21329019963741302,0.19044850766658783,0.28646576404571533,0.3886612355709076,0.20291660726070404,0.27043893933296204
the,0.42745697498321533,0.5823672413825989,1.0,0.3757036626338959,0.2927691638469696,0.19920319318771362,0.3879719078540802,0.733189046382904,0.27034124732017517,0.22068053483963013
'lit,0.2047545462846756,0.17860452830791473,0.2477625459432602,0.15671789646148682,0.16360554099082947,0.07954742014408112,0.22975215315818787,0.1831400990486145,0.09623553603887558,0.2435114085674286
&,0.11141876131296158,0.08384179323911667,0.14992168545722961,0.13004033267498016,0.08059867471456528,0.1183592677116394,0.05394068732857704,0.19900451600551605,0.223523810505867,0.12596383690834045
phil,0.09430112689733505,0.10443881899118423,0.1382283866405487,0.08233373612165451,0.12982919812202454,0.07427307218313217,0.12389092892408371,0.06419843435287476,0.16162987053394318,0.14019250869750977
',0.3245812654495239,0.5508411526679993,0.474788099527359,0.23450976610183716,0.18997110426425934,0.17854362726211548,0.16100606322288513,0.39136970043182373,0.1642368733882904,0.330942302942276
