,what,was,the,king,'s,first,approach,to,the,huguenots,?
at,0.2838611304759979,0.36707764863967896,0.457212895154953,0.17968851327896118,-0.08481216430664062,0.3138778805732727,0.22436529397964478,0.36524343490600586,0.457212895154953,0.23423780500888824,0.21978627145290375
first,0.28086137771606445,0.5022147297859192,0.49448907375335693,0.2560849189758301,-0.014458609744906425,1.0,0.1177387461066246,0.3792489171028137,0.49448907375335693,0.17457492649555206,0.18701928853988647
he,0.3114890456199646,0.5410010814666748,0.4571082592010498,0.2988036274909973,0.024063590914011,0.3826274573802948,0.18264824151992798,0.385390967130661,0.4571082592010498,0.2519584894180298,0.2089974731206894
sent,0.19595611095428467,0.3192673325538635,0.3010627329349518,0.2035982757806778,0.06689035892486572,0.28519389033317566,0.09993735700845718,0.34694167971611023,0.3010627329349518,0.2209424078464508,0.10903520882129669
missionaries,0.2831801772117615,0.246186763048172,0.27495530247688293,0.20441871881484985,0.050530992448329926,0.2237602174282074,0.16414497792720795,0.3267587423324585,0.27495530247688293,0.44885021448135376,0.2142113298177719
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.27879971265792847,-0.0016132977325469255,0.34503069519996643,0.3155236542224884,0.44245919585227966,0.4933079481124878,0.23394492268562317,0.31091248989105225
backed,0.22529111802577972,0.22572429478168488,0.23154844343662262,0.11621483415365219,0.07226456701755524,0.1694602370262146,0.15195542573928833,0.20787081122398376,0.23154844343662262,0.10335906594991684,0.15311478078365326
by,0.2455483376979828,0.4752357602119446,0.4408751428127289,0.23436301946640015,-0.010884488001465797,0.3877052962779999,0.15583160519599915,0.33534231781959534,0.4408751428127289,0.16713643074035645,0.17966607213020325
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.18420645594596863,0.04866964742541313,0.4287874400615692,0.2336270660161972,0.45503583550453186,0.5829201340675354,0.20410758256912231,0.23916715383529663
fund,0.14864346385002136,0.24310266971588135,0.25521403551101685,0.1130816861987114,0.04831458255648613,0.23310476541519165,0.13058048486709595,0.23214511573314667,0.25521403551101685,0.18057888746261597,0.1883198469877243
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.24476152658462524,0.03782717138528824,0.3792489171028137,0.33169451355934143,1.0,0.535392165184021,0.2685132324695587,0.29463258385658264
financially,0.21563132107257843,0.3570040464401245,0.29122650623321533,0.18303647637367249,0.0733068585395813,0.2786913812160492,0.18135003745555878,0.32958492636680603,0.29122650623321533,0.20193295180797577,0.061733633279800415
reward,0.2518286406993866,0.2143937051296234,0.2429082840681076,0.20291630923748016,0.04793579503893852,0.20364245772361755,0.1705968827009201,0.2739831805229187,0.2429082840681076,0.23509153723716736,0.1740967184305191
converts,0.165298193693161,0.1138734370470047,0.25209102034568787,0.1345323622226715,-0.052399858832359314,0.17789721488952637,0.157807856798172,0.2995658218860626,0.25209102034568787,0.16499193012714386,0.17552533745765686
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.24476152658462524,0.03782717138528824,0.3792489171028137,0.33169451355934143,1.0,0.535392165184021,0.2685132324695587,0.29463258385658264
catholicism,0.23693913221359253,0.22288526594638824,0.2436220645904541,0.2388177067041397,0.08143419772386551,0.14671282470226288,0.2006196528673172,0.28858187794685364,0.2436220645904541,0.5175127387046814,0.2233523428440094
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.2334747016429901,-0.003708066651597619,0.4345304071903229,0.21207883954048157,0.4645031690597534,0.5934505462646484,0.2170230895280838,0.4130953550338745
,what,was,the,king,'s,first,approach,to,the,huguenots,?
louis,0.11922219395637512,0.28063738346099854,0.22078758478164673,0.3249725103378296,0.06499256193637848,0.2542929947376251,0.04611475393176079,0.16961874067783356,0.22078758478164673,0.3942606449127197,0.09819188714027405
xiv,0.14248216152191162,0.2787119150161743,0.24956288933753967,0.39147526025772095,0.005003891419619322,0.18438971042633057,0.11202297359704971,0.20471028983592987,0.24956288933753967,0.3824757933616638,0.19533176720142365
gained,0.15457381308078766,0.3571169674396515,0.29543522000312805,0.18678805232048035,0.021438589319586754,0.22033816576004028,0.12680360674858093,0.22058042883872986,0.29543522000312805,0.21807682514190674,0.11261032521724701
the,0.42745697498321533,0.48711544275283813,1.0,0.25887003540992737,-0.01540423184633255,0.49448907375335693,0.1999826431274414,0.535392165184021,1.0,0.30745792388916016,0.22068053483963013
throne,0.12073681503534317,0.25343436002731323,0.2638266980648041,0.5131785869598389,-0.0466860756278038,0.17832255363464355,0.07909084856510162,0.2186887115240097,0.2638266980648041,0.3281160593032837,0.17206846177577972
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.2044914960861206,-0.037580832839012146,0.4127444326877594,0.17494414746761322,0.45010748505592346,0.6662389636039734,0.25916293263435364,0.20430970191955566
1643,0.05255192145705223,0.15741410851478577,0.23216883838176727,0.11588491499423981,0.011074219830334187,0.07809405028820038,0.02190808206796646,0.037892598658800125,0.23216883838176727,0.12070917338132858,0.0021790561731904745
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.24642229080200195,0.06895173341035843,0.3167642652988434,0.2348477989435196,0.48971283435821533,0.5171257257461548,0.28783127665519714,0.20544172823429108
acted,0.1540473997592926,0.2783038318157196,0.20873373746871948,0.18197132647037506,0.038229573518037796,0.24845753610134125,0.07307785749435425,0.09797097742557526,0.20873373746871948,0.16645380854606628,0.15984973311424255
increasingly,0.19974569976329803,0.2546843886375427,0.3152945339679718,0.1707696169614792,0.00944199226796627,0.22109560668468475,0.2246871292591095,0.33546900749206543,0.3152945339679718,0.25357624888420105,0.059327382594347
aggressively,0.21629075706005096,0.19864881038665771,0.24317023158073425,0.148191437125206,0.12720929086208344,0.24985934793949127,0.19919465482234955,0.2791907787322998,0.24317023158073425,0.14127492904663086,0.1402032971382141
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.24476152658462524,0.03782717138528824,0.3792489171028137,0.33169451355934143,1.0,0.535392165184021,0.2685132324695587,0.29463258385658264
force,0.16915984451770782,0.20879842340946198,0.2800885736942291,0.08272673189640045,0.020782919600605965,0.1799899935722351,0.19239704310894012,0.24496492743492126,0.2800885736942291,0.2471182644367218,0.1650998443365097
the,0.42745697498321533,0.48711544275283813,1.0,0.25887003540992737,-0.01540423184633255,0.49448907375335693,0.1999826431274414,0.535392165184021,1.0,0.30745792388916016,0.22068053483963013
huguenots,0.22128188610076904,0.20650696754455566,0.30745792388916016,0.2805742919445038,-0.00021272523736115545,0.17457492649555206,0.15996205806732178,0.2685132324695587,0.30745792388916016,1.0,0.16010338068008423
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.24476152658462524,0.03782717138528824,0.3792489171028137,0.33169451355934143,1.0,0.535392165184021,0.2685132324695587,0.29463258385658264
convert,0.23213930428028107,0.10694126784801483,0.20079432427883148,0.1258990615606308,-0.049595341086387634,0.12737645208835602,0.18119242787361145,0.357098251581192,0.20079432427883148,0.20102088153362274,0.2126215249300003
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.2334747016429901,-0.003708066651597619,0.4345304071903229,0.21207883954048157,0.4645031690597534,0.5934505462646484,0.2170230895280838,0.4130953550338745
