,what,is,chloroplast,dna,abbreviated,as,?
chloroplasts,0.2524593770503998,0.22550933063030243,0.9777651429176331,0.5363800525665283,0.1478731632232666,0.22593098878860474,0.13049766421318054
have,0.39808809757232666,0.3613572418689728,0.26476383209228516,0.23252472281455994,0.1308818906545639,0.37788212299346924,0.32991164922714233
their,0.35142919421195984,0.2101074606180191,0.25170472264289856,0.21739168465137482,0.052244897931814194,0.29218852519989014,0.1898253709077835
own,0.35062843561172485,0.2145606279373169,0.22074070572853088,0.20628802478313446,0.08507068455219269,0.26007014513015747,0.1937696635723114
dna,0.24220526218414307,0.15626907348632812,0.5331895351409912,1.0000001192092896,0.05030196160078049,0.2425999939441681,0.1548636108636856
",",0.3087472915649414,0.4691906273365021,0.20078974962234497,0.2115938663482666,0.18717367947101593,0.48816442489624023,0.31091248989105225
often,0.3849453330039978,0.3856629431247711,0.26007363200187683,0.21146652102470398,0.21774922311306,0.405699223279953,0.23748154938220978
abbreviated,0.15040834248065948,0.27301323413848877,0.1387721598148346,0.05030196160078049,0.9999999403953552,0.23967772722244263,0.1293652355670929
as,0.31749409437179565,0.43216490745544434,0.2268141210079193,0.2425999939441681,0.23967772722244263,1.0,0.27043893933296204
ctdna,0.29794496297836304,0.23135864734649658,0.49704983830451965,0.7972342371940613,0.20481623709201813,0.3062279522418976,0.2759757339954376
",",0.3087472915649414,0.4691906273365021,0.20078974962234497,0.2115938663482666,0.18717367947101593,0.48816442489624023,0.31091248989105225
or,0.33867141604423523,0.41870999336242676,0.2677285373210907,0.2173534780740738,0.2771525979042053,0.4400654137134552,0.32389625906944275
cpdna,0.3001426160335541,0.29175111651420593,0.45857110619544983,0.759469211101532,0.20834879577159882,0.32610344886779785,0.20631195604801178
.,0.3567904531955719,0.4569662809371948,0.2371024191379547,0.2056756615638733,0.16750873625278473,0.515582263469696,0.4130953550338745
