,who,was,designated,as,the,home,team,in,the,super,bowl,?
as,0.3923053741455078,0.3677520453929901,0.30198028683662415,1.0,0.48381632566452026,0.22556112706661224,0.14189721643924713,0.3887844979763031,0.48381632566452026,0.21450649201869965,0.14539222419261932,0.27043893933296204
the,0.3733934462070465,0.48711544275283813,0.23178240656852722,0.48381632566452026,1.0,0.28978195786476135,0.22564226388931274,0.6662389636039734,1.0,0.21959073841571808,0.21576224267482758,0.22068053483963013
designated,0.08669188618659973,0.20730479061603546,1.0000001192092896,0.30198028683662415,0.23178240656852722,0.24865780770778656,0.17280033230781555,0.25212356448173523,0.23178240656852722,0.14785414934158325,0.16266454756259918,0.1318070888519287
home,0.2542758285999298,0.25139835476875305,0.24865780770778656,0.22556112706661224,0.28978195786476135,1.0,0.2163287252187729,0.30467477440834045,0.28978195786476135,0.12418482452630997,0.1429641842842102,0.0757145956158638
team,0.22248858213424683,0.13986483216285706,0.17280033230781555,0.14189721643924713,0.22564226388931274,0.2163287252187729,1.0,0.18841172754764557,0.22564226388931274,0.23339706659317017,0.20460736751556396,0.11243411153554916
in,0.2792111933231354,0.45514053106307983,0.25212356448173523,0.3887844979763031,0.6662389636039734,0.30467477440834045,0.18841172754764557,1.0,0.6662389636039734,0.18576006591320038,0.17236235737800598,0.20430970191955566
the,0.3733934462070465,0.48711544275283813,0.23178240656852722,0.48381632566452026,1.0,0.28978195786476135,0.22564226388931274,0.6662389636039734,1.0,0.21959073841571808,0.21576224267482758,0.22068053483963013
annual,0.1617826521396637,0.19130820035934448,0.1515251100063324,0.1508007049560547,0.2958983778953552,0.19238580763339996,0.09032125025987625,0.2557781934738159,0.2958983778953552,0.07916140556335449,0.14850832521915436,0.1083487942814827
rotation,0.13857094943523407,0.1339547038078308,0.18281714618206024,0.20654867589473724,0.2576199471950531,0.052464086562395096,0.18993306159973145,0.13272948563098907,0.2576199471950531,0.16443128883838654,0.1417497843503952,0.1310587376356125
between,0.20718061923980713,0.24048170447349548,0.1628541499376297,0.22009976208209991,0.39067012071609497,0.16473305225372314,0.1282128542661667,0.41100412607192993,0.39067012071609497,0.07381514459848404,0.10010302066802979,0.12887074053287506
afc,0.13655321300029755,0.1794671267271042,0.13634257018566132,0.18916966021060944,0.25863510370254517,0.16574546694755554,0.40331706404685974,0.20746317505836487,0.25863510370254517,0.37206512689590454,0.41199249029159546,0.2026895433664322
and,0.41279885172843933,0.3740963041782379,0.14898179471492767,0.49487000703811646,0.5171257257461548,0.24667192995548248,0.22394508123397827,0.4954058527946472,0.5171257257461548,0.18368244171142578,0.1698254644870758,0.20544172823429108
nfc,0.17579996585845947,0.18001268804073334,0.19760067760944366,0.17973104119300842,0.2545439600944519,0.2089596688747406,0.4356997609138489,0.20630285143852234,0.2545439600944519,0.373574823141098,0.47588562965393066,0.15073348581790924
teams,0.23560982942581177,0.1698075383901596,0.22246620059013367,0.17005419731140137,0.3164927661418915,0.2278725653886795,0.673422634601593,0.2639528214931488,0.3164927661418915,0.26333683729171753,0.2752957046031952,0.11150168627500534
",",0.3365725874900818,0.45456063747406006,0.20988495647907257,0.48816442489624023,0.4933079481124878,0.2790627181529999,0.21287471055984497,0.5201468467712402,0.4933079481124878,0.22322475910186768,0.1810409277677536,0.31091248989105225
