,the,success,of,the,britain,can,make,it,exhibition,led,to,the,planning,of,what,exhibition,in,1951,?
the,1.0,0.2764457166194916,0.733189046382904,1.0,0.29784059524536133,0.312528520822525,0.3146495521068573,0.6251175999641418,0.22614671289920807,0.3267505168914795,0.535392165184021,1.0,0.3046698570251465,0.733189046382904,0.42745697498321533,0.22614671289920807,0.6662389636039734,-0.20524539053440094,0.22068053483963013
success,0.2764457166194916,1.0000001192092896,0.20485365390777588,0.2764457166194916,0.2746804356575012,0.12414290010929108,0.1795540153980255,0.26427826285362244,0.22106574475765228,0.30430033802986145,0.20929217338562012,0.2764457166194916,0.24025283753871918,0.20485365390777588,0.22873179614543915,0.22106574475765228,0.3020555078983307,-0.08409302681684494,0.1216118186712265
of,0.733189046382904,0.20485365390777588,1.0,0.733189046382904,0.28899943828582764,0.2603091299533844,0.2912110388278961,0.38761502504348755,0.20735959708690643,0.32918456196784973,0.41548454761505127,0.733189046382904,0.32562166452407837,1.0,0.33290785551071167,0.20735959708690643,0.5696388483047485,-0.1484760046005249,0.1826142966747284
this,0.6274310946464539,0.2890689969062805,0.45148900151252747,0.6274310946464539,0.2555267810821533,0.4006461203098297,0.4313279688358307,0.6107783317565918,0.209568053483963,0.2688283920288086,0.5759071707725525,0.6274310946464539,0.27683237195014954,0.45148900151252747,0.5489566326141357,0.209568053483963,0.45205554366111755,-0.17873801290988922,0.3155723512172699
exhibition,0.22614671289920807,0.22106574475765228,0.20735959708690643,0.22614671289920807,0.2268972396850586,0.1121729388833046,0.16665147244930267,0.16556185483932495,1.0000001192092896,0.2057289481163025,0.17194919288158417,0.22614671289920807,0.24017933011054993,0.20735959708690643,0.1526671200990677,1.0000001192092896,0.28266429901123047,-0.1359766721725464,0.11494685709476471
led,0.3267505168914795,0.30430033802986145,0.32918456196784973,0.3267505168914795,0.20651252567768097,0.07811321318149567,0.1738184690475464,0.09852217882871628,0.2057289481163025,0.9999999403953552,0.21815308928489685,0.3267505168914795,0.2815220355987549,0.32918456196784973,0.12112844735383987,0.2057289481163025,0.2990247309207916,-0.06306438148021698,0.09273858368396759
to,0.535392165184021,0.20929217338562012,0.41548454761505127,0.535392165184021,0.25324371457099915,0.4979398250579834,0.497876912355423,0.513711154460907,0.17194919288158417,0.21815308928489685,1.0,0.535392165184021,0.3211837708950043,0.41548454761505127,0.455847829580307,0.17194919288158417,0.45010748505592346,-0.14842139184474945,0.29463258385658264
the,1.0,0.2764457166194916,0.733189046382904,1.0,0.29784059524536133,0.312528520822525,0.3146495521068573,0.6251175999641418,0.22614671289920807,0.3267505168914795,0.535392165184021,1.0,0.3046698570251465,0.733189046382904,0.42745697498321533,0.22614671289920807,0.6662389636039734,-0.20524539053440094,0.22068053483963013
planning,0.3046698570251465,0.24025283753871918,0.32562166452407837,0.3046698570251465,0.19126030802726746,0.14957095682621002,0.2279840111732483,0.24183262884616852,0.24017933011054993,0.2815220355987549,0.3211837708950043,0.3046698570251465,1.0,0.32562166452407837,0.2823503315448761,0.24017933011054993,0.29961201548576355,-0.1463964581489563,0.1869431883096695
of,0.733189046382904,0.20485365390777588,1.0,0.733189046382904,0.28899943828582764,0.2603091299533844,0.2912110388278961,0.38761502504348755,0.20735959708690643,0.32918456196784973,0.41548454761505127,0.733189046382904,0.32562166452407837,1.0,0.33290785551071167,0.20735959708690643,0.5696388483047485,-0.1484760046005249,0.1826142966747284
the,1.0,0.2764457166194916,0.733189046382904,1.0,0.29784059524536133,0.312528520822525,0.3146495521068573,0.6251175999641418,0.22614671289920807,0.3267505168914795,0.535392165184021,1.0,0.3046698570251465,0.733189046382904,0.42745697498321533,0.22614671289920807,0.6662389636039734,-0.20524539053440094,0.22068053483963013
festival,0.20982226729393005,0.19260813295841217,0.17007394134998322,0.20982226729393005,0.1824871003627777,0.1458803415298462,0.10282636433839798,0.23690196871757507,0.30569565296173096,0.10643050819635391,0.19796393811702728,0.20982226729393005,0.14327047765254974,0.17007394134998322,0.15385980904102325,0.30569565296173096,0.27311140298843384,-0.21531105041503906,0.17767390608787537
of,0.733189046382904,0.20485365390777588,1.0,0.733189046382904,0.28899943828582764,0.2603091299533844,0.2912110388278961,0.38761502504348755,0.20735959708690643,0.32918456196784973,0.41548454761505127,0.733189046382904,0.32562166452407837,1.0,0.33290785551071167,0.20735959708690643,0.5696388483047485,-0.1484760046005249,0.1826142966747284
britain,0.29784059524536133,0.2746804356575012,0.28899943828582764,0.29784059524536133,1.0000001192092896,0.17672592401504517,0.20652365684509277,0.24028480052947998,0.2268972396850586,0.20651252567768097,0.25324371457099915,0.29784059524536133,0.19126030802726746,0.28899943828582764,0.24206450581550598,0.2268972396850586,0.26246872544288635,-0.15814454853534698,0.1268460750579834
(,0.33289089798927307,0.10059408843517303,0.35032153129577637,0.33289089798927307,0.15627750754356384,0.22726960480213165,0.2345844954252243,0.2745298147201538,0.09543333947658539,0.17649628221988678,0.30882009863853455,0.33289089798927307,0.14923658967018127,0.35032153129577637,0.2411840260028839,0.09543333947658539,0.3087427020072937,-0.14082515239715576,0.40561532974243164
1951,-0.20524539053440094,-0.08409302681684494,-0.1484760046005249,-0.20524539053440094,-0.15814454853534698,-0.08391918987035751,-0.11769145727157593,-0.22708073258399963,-0.1359766721725464,-0.06306438148021698,-0.14842139184474945,-0.20524539053440094,-0.1463964581489563,-0.1484760046005249,-0.11074689775705338,-0.1359766721725464,-0.18103405833244324,0.9999998807907104,-0.20064012706279755
),0.3456730246543884,0.12044725567102432,0.3680361211299896,0.3456730246543884,0.17229953408241272,0.23216170072555542,0.2487562596797943,0.28560304641723633,0.12514269351959229,0.1660025268793106,0.31236231327056885,0.3456730246543884,0.15261398255825043,0.3680361211299896,0.26259949803352356,0.12514269351959229,0.3326910734176636,-0.14332346618175507,0.42300865054130554
.,0.5934505462646484,0.25725793838500977,0.5352458953857422,0.5934505462646484,0.25750598311424255,0.35783761739730835,0.3547073304653168,0.5593622326850891,0.16661708056926727,0.19335708022117615,0.4645031690597534,0.5934505462646484,0.24932754039764404,0.5352458953857422,0.3567904531955719,0.16661708056926727,0.5591574311256409,-0.2380293607711792,0.4130953550338745
