,what,was,the,name,of,the,fund,setup,to,help,with,investing,in,the,community,?
the,0.42745697498321533,0.48711544275283813,1.0,0.3171212375164032,0.733189046382904,1.0,0.25521403551101685,0.322446346282959,0.535392165184021,0.30064165592193604,0.4223487675189972,0.26637452840805054,0.6662389636039734,1.0,0.2601400911808014,0.22068053483963013
committee,0.18195343017578125,0.25449851155281067,0.24322165548801422,0.14093075692653656,0.2920650243759155,0.24322165548801422,0.32903406023979187,0.13962014019489288,0.24979650974273682,0.23302897810935974,0.14769598841667175,0.28524553775787354,0.2107008546590805,0.24322165548801422,0.3086933493614197,0.12144632637500763
created,0.20714101195335388,0.3592788577079773,0.3539263904094696,0.25696396827697754,0.32043445110321045,0.3539263904094696,0.1692037433385849,0.21378490328788757,0.2592601478099823,0.1931760460138321,0.2505694031715393,0.22785018384456635,0.2843434810638428,0.3539263904094696,0.2543397843837738,0.21177415549755096
the,0.42745697498321533,0.48711544275283813,1.0,0.3171212375164032,0.733189046382904,1.0,0.25521403551101685,0.322446346282959,0.535392165184021,0.30064165592193604,0.4223487675189972,0.26637452840805054,0.6662389636039734,1.0,0.2601400911808014,0.22068053483963013
50,-0.04124141484498978,-0.0011744623770937324,0.03602437674999237,-0.0409264862537384,0.006577443331480026,0.03602437674999237,-0.013180726207792759,0.02197272889316082,-0.024239253252744675,0.052634380757808685,0.08371289074420929,0.05244655907154083,0.021892361342906952,0.03602437674999237,-0.03622574731707573,0.030512850731611252
fund,0.14864346385002136,0.24310266971588135,0.25521403551101685,0.1593160480260849,0.27318620681762695,0.25521403551101685,1.0000001192092896,0.1429322212934494,0.23214511573314667,0.28181856870651245,0.1840275228023529,0.43303564190864563,0.2148904800415039,0.25521403551101685,0.2876719534397125,0.1883198469877243
as,0.31749409437179565,0.3677520453929901,0.48381632566452026,0.2851914167404175,0.3886612355709076,0.48381632566452026,0.2181423008441925,0.28525325655937195,0.42092081904411316,0.2739662528038025,0.40387406945228577,0.26112237572669983,0.3887844979763031,0.48381632566452026,0.22733435034751892,0.27043893933296204
its,0.30393704771995544,0.3518870174884796,0.559237003326416,0.317160964012146,0.48690423369407654,0.559237003326416,0.19881699979305267,0.3291472792625427,0.3691340684890747,0.12395896762609482,0.3087116777896881,0.31065720319747925,0.3793783485889435,0.559237003326416,0.24188821017742157,0.15103481709957123
philanthropic,0.1870797723531723,0.23140208423137665,0.17239925265312195,0.12189202755689621,0.20743587613105774,0.17239925265312195,0.49635031819343567,0.11154674738645554,0.1912526935338974,0.23217174410820007,0.1276264786720276,0.4647587835788727,0.16097392141819,0.17239925265312195,0.22510221600532532,0.17462901771068573
initiative,0.22199440002441406,0.17148073017597198,0.23040100932121277,0.11261515319347382,0.250868022441864,0.23040100932121277,0.4130183756351471,0.25059744715690613,0.2696518898010254,0.26872631907463074,0.168451189994812,0.3477252721786499,0.26211079955101013,0.23040100932121277,0.3555445373058319,0.2048262655735016
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.21235932409763336,0.5116966962814331,0.5171257257461548,0.27788683772087097,0.2665502429008484,0.48971283435821533,0.34926167130470276,0.5477725267410278,0.23467834293842316,0.4954058527946472,0.5171257257461548,0.2756517827510834,0.20544172823429108
focuses,0.27091580629348755,0.2205784171819687,0.26860302686691284,0.0658797025680542,0.29358524084091187,0.26860302686691284,0.2556614279747009,0.21763888001441956,0.27192121744155884,0.29899922013282776,0.25242915749549866,0.3192474842071533,0.28335705399513245,0.26860302686691284,0.223281130194664,0.15887200832366943
on,0.34226128458976746,0.3909217119216919,0.5107308030128479,0.17627742886543274,0.3966929316520691,0.5107308030128479,0.21186517179012299,0.26850470900535583,0.41031414270401,0.24844828248023987,0.40749499201774597,0.2421608418226242,0.46853652596473694,0.5107308030128479,0.21522703766822815,0.2714994251728058
providing,0.21766136586666107,0.1957843005657196,0.29839932918548584,0.035194624215364456,0.24403119087219238,0.29839932918548584,0.2750456631183624,0.31786471605300903,0.3326144516468048,0.42262181639671326,0.31286540627479553,0.38419783115386963,0.19932186603546143,0.29839932918548584,0.2082837074995041,0.1936793476343155
grants,0.18652507662773132,0.17012618482112885,0.2900126874446869,0.15477146208286285,0.3099519908428192,0.2900126874446869,0.4391464591026306,0.08616963773965836,0.2831681966781616,0.21685081720352173,0.18219539523124695,0.36413905024528503,0.22626352310180664,0.2900126874446869,0.30592870712280273,0.1494954377412796
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.27806994318962097,0.41548454761505127,0.535392165184021,0.23214511573314667,0.3415716588497162,1.0,0.46191298961639404,0.4239959120750427,0.2565929889678955,0.45010748505592346,0.535392165184021,0.2863751947879791,0.29463258385658264
aid,0.1778782606124878,0.15475519001483917,0.21952909231185913,0.0864768847823143,0.20153990387916565,0.21952909231185913,0.30693984031677246,0.1320597529411316,0.2690417766571045,0.49706268310546875,0.2036019116640091,0.29967841506004333,0.1754455417394638,0.21952909231185913,0.18376749753952026,0.08358026295900345
with,0.2464839518070221,0.27411898970603943,0.4223487675189972,0.17897967994213104,0.41827285289764404,0.4223487675189972,0.1840275228023529,0.2542434334754944,0.4239959120750427,0.32894450426101685,0.9999999403953552,0.22123374044895172,0.4080928862094879,0.4223487675189972,0.15797209739685059,0.2433311939239502
youth,0.1100270077586174,0.2383287101984024,0.26209625601768494,0.16091006994247437,0.2297523021697998,0.26209625601768494,0.2916795313358307,0.1345820128917694,0.1984357386827469,0.19929777085781097,0.2341127246618271,0.2158787101507187,0.271285742521286,0.26209625601768494,0.19370584189891815,0.18005552887916565
development,0.19014155864715576,0.2344081997871399,0.3362044394016266,0.1231662780046463,0.28700894117355347,0.3362044394016266,0.3953835368156433,0.177168607711792,0.27639102935791016,0.19948621094226837,0.20933356881141663,0.4172413945198059,0.2550492286682129,0.3362044394016266,0.29234668612480164,0.1211358830332756
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.4933079481124878,0.23835203051567078,0.23261740803718567,0.44245919585227966,0.2855570912361145,0.4120737314224243,0.24353323876857758,0.5201468467712402,0.4933079481124878,0.2761111557483673,0.31091248989105225
community,0.29032719135284424,0.2025771290063858,0.2601400911808014,0.146366685628891,0.2367410808801651,0.2601400911808014,0.2876719534397125,0.17402639985084534,0.2863751947879791,0.24227844178676605,0.15797209739685059,0.24810941517353058,0.21838891506195068,0.2601400911808014,0.9999998807907104,0.2380419820547104
investment,0.21795563399791718,0.18636870384216309,0.20950904488563538,0.19821876287460327,0.24637944996356964,0.20950904488563538,0.4970017671585083,0.17627757787704468,0.2513584792613983,0.2278175950050354,0.14308218657970428,0.7108715772628784,0.19176560640335083,0.20950904488563538,0.2533547878265381,0.17811161279678345
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.21235932409763336,0.5116966962814331,0.5171257257461548,0.27788683772087097,0.2665502429008484,0.48971283435821533,0.34926167130470276,0.5477725267410278,0.23467834293842316,0.4954058527946472,0.5171257257461548,0.2756517827510834,0.20544172823429108
sustainable,0.21227498352527618,0.13167893886566162,0.23000730574131012,0.04787982627749443,0.24827149510383606,0.23000730574131012,0.3712209463119507,0.24842658638954163,0.2900981903076172,0.28120943903923035,0.24759593605995178,0.38153955340385437,0.2855221629142761,0.23000730574131012,0.31844794750213623,0.22072604298591614
environments,0.1853245049715042,0.11738110333681107,0.24010388553142548,0.09734097868204117,0.23282752931118011,0.24010388553142548,0.19850772619247437,0.28455546498298645,0.26333698630332947,0.23941700160503387,0.22694581747055054,0.3411777913570404,0.2626948356628418,0.24010388553142548,0.31895992159843445,0.1847371757030487
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.24737101793289185,0.5352458953857422,0.5934505462646484,0.27906227111816406,0.2704141139984131,0.4645031690597534,0.32205137610435486,0.4446153938770294,0.27300581336021423,0.5591574311256409,0.5934505462646484,0.2594514787197113,0.4130953550338745
