,when,was,a,part,of,grainger,town,destroyed,?
a,0.44397395849227905,0.4508470594882965,1.0,0.3994528353214264,0.5052502155303955,0.19068177044391632,0.2832636833190918,0.20851761102676392,0.23916715383529663
portion,0.2653188705444336,0.20989027619361877,0.3207106590270996,0.5329322814941406,0.31845465302467346,0.05837651342153549,0.2389967143535614,0.20648588240146637,0.11719609797000885
of,0.3757161796092987,0.4069072902202606,0.5052502155303955,0.452393114566803,1.0,0.19878338277339935,0.26585668325424194,0.27498680353164673,0.1826142966747284
grainger,0.17764344811439514,0.24651384353637695,0.19068177044391632,0.13701632618904114,0.19878338277339935,0.9999999403953552,0.11897199600934982,0.12971770763397217,0.14470532536506653
town,0.21859249472618103,0.26823142170906067,0.2832636833190918,0.3088902235031128,0.26585668325424194,0.11897199600934982,1.0,0.23485812544822693,0.09902279824018478
was,0.37326499819755554,1.0000001192092896,0.4508470594882965,0.3407018780708313,0.4069072902202606,0.24651384353637695,0.26823142170906067,0.3184264302253723,0.18412111699581146
demolished,0.19877533614635468,0.33886510133743286,0.2400583177804947,0.20754624903202057,0.24649691581726074,0.1538420468568802,0.3285146653652191,0.4704955518245697,0.15856656432151794
in,0.4431333839893341,0.45514053106307983,0.539380669593811,0.4499994218349457,0.5696388483047485,0.19917434453964233,0.34975525736808777,0.3248254656791687,0.20430970191955566
the,0.5091903209686279,0.48711544275283813,0.5829201340675354,0.527681291103363,0.733189046382904,0.19754326343536377,0.2974243760108948,0.3403017520904541,0.22068053483963013
1960s,-0.23030318319797516,-0.029007330536842346,-0.0023212626110762358,0.015244551934301853,-0.02275673858821392,0.029558472335338593,0.135722354054451,-0.06445538997650146,-0.08257022500038147
to,0.5423505902290344,0.3636345863342285,0.45503583550453186,0.2875264883041382,0.41548454761505127,0.17245003581047058,0.18535545468330383,0.16806039214134216,0.29463258385658264
make,0.4273611307144165,0.20205417275428772,0.34303420782089233,0.26132646203041077,0.2912110388278961,0.15431131422519684,0.11346454918384552,0.19395627081394196,0.28314751386642456
way,0.3943900763988495,0.2418399453163147,0.3330821096897125,0.24792565405368805,0.266871839761734,0.16776598989963531,0.16471777856349945,0.2143053263425827,0.31575819849967957
for,0.43402108550071716,0.3863949179649353,0.44038116931915283,0.250704288482666,0.4185989499092102,0.19880658388137817,0.13830983638763428,0.13619165122509003,0.264628142118454
the,0.5091903209686279,0.48711544275283813,0.5829201340675354,0.527681291103363,0.733189046382904,0.19754326343536377,0.2974243760108948,0.3403017520904541,0.22068053483963013
eldon,0.20894205570220947,0.2563939392566681,0.22282229363918304,0.1679532378911972,0.1765909343957901,0.3748769462108612,0.26378175616264343,0.1669810265302658,0.18489088118076324
square,0.15257354080677032,0.17827357351779938,0.22548454999923706,0.23491331934928894,0.2585134208202362,0.1048506423830986,0.32160016894340515,0.14850611984729767,0.1201515942811966
shopping,0.17012891173362732,0.1609596163034439,0.2608565390110016,0.17041149735450745,0.22668150067329407,0.11787764728069305,0.3769473731517792,0.19437064230442047,0.1303974688053131
centre,0.13267141580581665,0.24988211691379547,0.271343857049942,0.3085344731807709,0.2769378423690796,0.19313547015190125,0.3662363886833191,0.2076713889837265,0.019365152344107628
",",0.36674630641937256,0.45456063747406006,0.427140474319458,0.3376222252845764,0.4946078956127167,0.40289974212646484,0.27598801255226135,0.26472628116607666,0.31091248989105225
including,0.24633030593395233,0.21884717047214508,0.21045410633087158,0.24852775037288666,0.44195112586021423,0.23351196944713593,0.12630081176757812,0.23157157003879547,0.1633303165435791
all,0.35107192397117615,0.23179835081100464,0.2696802616119385,0.2746511399745941,0.42798417806625366,0.1266719549894333,0.12740160524845123,0.2336764633655548,0.29575422406196594
but,0.5599016547203064,0.36023372411727905,0.44750767946243286,0.3478407561779022,0.39942997694015503,0.21671000123023987,0.1831737756729126,0.2907756567001343,0.27921953797340393
one,0.38307374715805054,0.3752199709415436,0.4910551905632019,0.38682618737220764,0.4999135136604309,0.18400973081588745,0.1844533234834671,0.19541971385478973,0.2673267424106598
side,0.2733898162841797,0.16857531666755676,0.29873180389404297,0.33181509375572205,0.2452700436115265,0.09776289016008377,0.15372008085250854,0.22034107148647308,0.07831130921840668
of,0.3757161796092987,0.4069072902202606,0.5052502155303955,0.452393114566803,1.0,0.19878338277339935,0.26585668325424194,0.27498680353164673,0.1826142966747284
the,0.5091903209686279,0.48711544275283813,0.5829201340675354,0.527681291103363,0.733189046382904,0.19754326343536377,0.2974243760108948,0.3403017520904541,0.22068053483963013
original,0.2014450877904892,0.32203906774520874,0.25438275933265686,0.2909266948699951,0.30228546261787415,0.24616731703281403,0.15281997621059418,0.25422775745391846,0.17256900668144226
eldon,0.20894205570220947,0.2563939392566681,0.22282229363918304,0.1679532378911972,0.1765909343957901,0.3748769462108612,0.26378175616264343,0.1669810265302658,0.18489088118076324
square,0.15257354080677032,0.17827357351779938,0.22548454999923706,0.23491331934928894,0.2585134208202362,0.1048506423830986,0.32160016894340515,0.14850611984729767,0.1201515942811966
itself,0.36853712797164917,0.24240277707576752,0.4065200984477997,0.357267290353775,0.3157202899456024,0.14993920922279358,0.17704002559185028,0.251407653093338,0.17933900654315948
.,0.475719153881073,0.40146201848983765,0.50484299659729,0.32817673683166504,0.5352458953857422,0.28335756063461304,0.28254011273384094,0.278834730386734,0.4130953550338745
