,most,of,the,chinese,works,of,art,in,the,far,eastern,collections,date,from,which,two,dynasties,?
though,0.4118613302707672,0.37307101488113403,0.38776206970214844,0.19971811771392822,0.22779452800750732,0.37307101488113403,0.2029309868812561,0.3193182945251465,0.38776206970214844,0.4156087040901184,0.2667876183986664,0.20602984726428986,0.23276150226593018,0.2751719057559967,0.4655933380126953,0.2903416156768799,0.1798928827047348,0.3188856542110443
the,0.47635307908058167,0.733189046382904,1.0,0.2785343527793884,0.26337864995002747,0.733189046382904,0.20297785103321075,0.6662389636039734,1.0,0.38564538955688477,0.3928247392177582,0.27174001932144165,0.25333094596862793,0.40150508284568787,0.6521818041801453,0.43858039379119873,0.30397531390190125,0.22068053483963013
majority,0.3424006998538971,0.29706597328186035,0.28757327795028687,0.16200460493564606,0.13574041426181793,0.29706597328186035,0.06997019797563553,0.2563854157924652,0.28757327795028687,0.24320395290851593,0.24178458750247955,0.1602681279182434,0.19995304942131042,0.251534104347229,0.2740524113178253,0.26960572600364685,0.1853676289319992,0.220119908452034
of,0.4178851246833801,1.0,0.733189046382904,0.24275560677051544,0.1964656114578247,1.0,0.22648051381111145,0.5696388483047485,0.733189046382904,0.3005201518535614,0.33281487226486206,0.3185039758682251,0.19568462669849396,0.4249346852302551,0.5011631846427917,0.37726253271102905,0.3041822910308838,0.1826142966747284
art,0.18962311744689941,0.22648051381111145,0.20297785103321075,0.17483416199684143,0.35882219672203064,0.22648051381111145,1.0,0.2282189577817917,0.20297785103321075,0.2209669053554535,0.1794656217098236,0.3595452308654785,0.16054406762123108,0.2182932198047638,0.19862167537212372,0.11482993513345718,0.14692625403404236,0.138971745967865
works,0.2340836375951767,0.1964656114578247,0.26337864995002747,0.16653592884540558,1.0,0.1964656114578247,0.35882219672203064,0.2656683027744293,0.26337864995002747,0.1515258401632309,0.10995126515626907,0.3803873360157013,0.16975511610507965,0.16260115802288055,0.2730301022529602,0.1862645298242569,0.1542862355709076,0.19597402215003967
on,0.28303956985473633,0.3966929316520691,0.5107308030128479,0.13115563988685608,0.18736502528190613,0.3966929316520691,0.1585155427455902,0.46853652596473694,0.5107308030128479,0.30512481927871704,0.2247627079486847,0.23151805996894836,0.21806180477142334,0.36926645040512085,0.4245251417160034,0.3205535411834717,0.10791589319705963,0.2714994251728058
display,0.16520272195339203,0.23211264610290527,0.2758708596229553,0.20856311917304993,0.24319924414157867,0.23211264610290527,0.22718213498592377,0.2005489468574524,0.2758708596229553,0.10608116537332535,0.13285884261131287,0.28443145751953125,0.23685495555400848,0.12173791974782944,0.28086164593696594,0.10323096811771393,0.19171933829784393,0.17059175670146942
date,0.1141492947936058,0.19568462669849396,0.25333094596862793,0.2309248000383377,0.16975511610507965,0.19568462669849396,0.16054406762123108,0.21362407505512238,0.25333094596862793,0.20285461843013763,0.11794319748878479,0.17031003534793854,1.0,0.20628158748149872,0.198163703083992,0.15590354800224304,0.2140509933233261,0.2698357403278351
from,0.28580769896507263,0.4249346852302551,0.40150508284568787,0.2034907042980194,0.16260115802288055,0.4249346852302551,0.2182932198047638,0.4274188280105591,0.40150508284568787,0.3038284182548523,0.2597717344760895,0.27473148703575134,0.20628158748149872,1.0,0.38755592703819275,0.25732070207595825,0.18746085464954376,0.19969791173934937
