,what,tv,station,showed,the,broadcasts,of,the,original,doctor,who,series,?
the,0.42745697498321533,0.20034731924533844,0.23609806597232819,0.3101346790790558,1.0,0.26939961314201355,0.733189046382904,1.0,0.4037000238895416,0.2820442318916321,0.3733934462070465,0.31376904249191284,0.22068053483963013
bbc,0.20634698867797852,0.45615512132644653,0.2865414023399353,0.2015017867088318,0.2735401690006256,0.5582485795021057,0.1797877550125122,0.2735401690006256,0.16681616008281708,0.32370132207870483,0.2086644321680069,0.31758952140808105,0.20556949079036713
drama,0.21173490583896637,0.40737050771713257,0.14335207641124725,0.12414917349815369,0.2408958077430725,0.25737854838371277,0.18793216347694397,0.2408958077430725,0.15877823531627655,0.2582404613494873,0.2117668092250824,0.42834165692329407,0.21114452183246613
department,0.20655807852745056,0.1617002785205841,0.23008476197719574,0.11899281293153763,0.32582083344459534,0.1577783077955246,0.3181971311569214,0.32582083344459534,0.22932274639606476,0.13920433819293976,0.16568849980831146,0.16219569742679596,0.1343645304441452
's,0.02692362666130066,0.08012830466032028,-0.04233921319246292,0.01130695454776287,-0.01540423184633255,0.09407208114862442,-0.03817026689648628,-0.01540423184633255,0.0564689077436924,0.031664930284023285,0.05599616840481758,0.0006390819908119738,-0.023395681753754616
serials,0.18016576766967773,0.35259848833084106,0.15723444521427155,0.16985885798931122,0.23020225763320923,0.30334508419036865,0.17553187906742096,0.23020225763320923,0.18182936310768127,0.2940441071987152,0.22176605463027954,0.4484289586544037,0.14029279351234436
division,0.19144181907176971,0.12344641238451004,0.14559021592140198,0.11543013155460358,0.26203617453575134,0.1331517994403839,0.23579144477844238,0.26203617453575134,0.1634134203195572,0.09054259210824966,0.14196254312992096,0.1721866875886917,0.08900629729032516
produced,0.1393624097108841,0.19085600972175598,0.10891547054052353,0.2816888689994812,0.22045251727104187,0.23739667236804962,0.18961067497730255,0.22045251727104187,0.20599183440208435,0.12545296549797058,0.12907662987709045,0.2875058650970459,0.1623450517654419
the,0.42745697498321533,0.20034731924533844,0.23609806597232819,0.3101346790790558,1.0,0.26939961314201355,0.733189046382904,1.0,0.4037000238895416,0.2820442318916321,0.3733934462070465,0.31376904249191284,0.22068053483963013
programme,0.1876801699399948,0.372183233499527,0.30696824193000793,0.18833139538764954,0.23601844906806946,0.4946315586566925,0.18707643449306488,0.23601844906806946,0.15192092955112457,0.2561369240283966,0.2317163497209549,0.300445556640625,0.139840766787529
for,0.3017193675041199,0.22924813628196716,0.18705002963542938,0.27973151206970215,0.4739971458911896,0.3001185953617096,0.4185989499092102,0.4739971458911896,0.2975997030735016,0.1556548923254013,0.37110671401023865,0.2715710699558258,0.264628142118454
26,0.052160754799842834,0.12085302919149399,0.1730489730834961,0.09316263347864151,0.11227777600288391,0.1652369350194931,0.0640103667974472,0.11227777600288391,0.11510315537452698,0.16166801750659943,0.17144237458705902,0.12810680270195007,-0.05200668424367905
seasons,0.13544028997421265,0.3122780919075012,0.17107215523719788,0.1796458512544632,0.24226845800876617,0.2844230532646179,0.20746608078479767,0.24226845800876617,0.17992128431797028,0.14094877243041992,0.1471238136291504,0.35102206468582153,0.13766995072364807
",",0.3087472915649414,0.2778550088405609,0.2482491284608841,0.2312069833278656,0.4933079481124878,0.2320742905139923,0.4946078956127167,0.4933079481124878,0.23508994281291962,0.20407600700855255,0.3365725874900818,0.24060699343681335,0.31091248989105225
broadcast,0.17857211828231812,0.5626955032348633,0.3892953395843506,0.2377508580684662,0.2713715434074402,0.9114145636558533,0.20155203342437744,0.2713715434074402,0.22680866718292236,0.18613839149475098,0.18632595241069794,0.4289170503616333,0.15760008990764618
on,0.34226128458976746,0.23779264092445374,0.29022887349128723,0.30369096994400024,0.5107308030128479,0.28540995717048645,0.3966929316520691,0.5107308030128479,0.21149557828903198,0.1636410653591156,0.2340552806854248,0.23828625679016113,0.2714994251728058
bbc,0.20634698867797852,0.45615512132644653,0.2865414023399353,0.2015017867088318,0.2735401690006256,0.5582485795021057,0.1797877550125122,0.2735401690006256,0.16681616008281708,0.32370132207870483,0.2086644321680069,0.31758952140808105,0.20556949079036713
1,-0.21266892552375793,-0.20601169764995575,-0.016136588528752327,-0.16264165937900543,-0.1554475575685501,-0.20457221567630768,-0.09473495930433273,-0.1554475575685501,-0.1815066635608673,-0.21685060858726501,-0.35742413997650146,-0.265503853559494,-0.249979168176651
.,0.3567904531955719,0.27196308970451355,0.20999185740947723,0.28805166482925415,0.5934505462646484,0.21446789801120758,0.5352458953857422,0.5934505462646484,0.275844931602478,0.22361043095588684,0.3541337847709656,0.3121925890445709,0.4130953550338745
