,what,was,renumbered,in,newcastle,upon,completion,of,the,western,bypass,?
many,0.36131182312965393,0.260356068611145,0.2419784665107727,0.41474202275276184,0.17336907982826233,0.14756755530834198,0.1584693342447281,0.37253960967063904,0.4335206151008606,0.24915564060211182,0.20350366830825806,0.2124512493610382
of,0.33290785551071167,0.4069072902202606,0.24206186830997467,0.5696388483047485,0.18781472742557526,0.3224298357963562,0.245177760720253,1.0,0.733189046382904,0.32974064350128174,0.17289382219314575,0.1826142966747284
these,0.4164220690727234,0.19784674048423767,0.34468451142311096,0.3791837692260742,0.14014609158039093,0.2071307897567749,0.1970316469669342,0.42684608697891235,0.49086877703666687,0.21097339689731598,0.24997588992118835,0.2571668326854706
designations,0.12524878978729248,0.20358870923519135,0.33964815735816956,0.22186943888664246,0.12622445821762085,0.15296019613742828,0.22255989909172058,0.21157285571098328,0.24629628658294678,0.1875351369380951,0.15914587676525116,0.1688365936279297
are,0.29724663496017456,0.3076191842556,0.23812128603458405,0.3841303884983063,0.1428472399711609,0.16674627363681793,0.1457665115594864,0.39081433415412903,0.40399202704429626,0.19592507183551788,0.18610191345214844,0.24591213464736938
recent—upon,0.2565065324306488,0.3660326898097992,0.28470855951309204,0.3196411430835724,0.3225545585155487,0.4428091049194336,0.3816409111022949,0.3341512680053711,0.3483295738697052,0.10959815979003906,0.26696762442588806,0.29147636890411377
completion,0.21335561573505402,0.280563622713089,0.23529304563999176,0.28483957052230835,0.24576382339000702,0.23652179539203644,0.9999999403953552,0.245177760720253,0.3176874816417694,0.13915501534938812,0.2831510603427887,0.08032544702291489
of,0.33290785551071167,0.4069072902202606,0.24206186830997467,0.5696388483047485,0.18781472742557526,0.3224298357963562,0.245177760720253,1.0,0.733189046382904,0.32974064350128174,0.17289382219314575,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,0.2934836149215698,0.6662389636039734,0.2253497689962387,0.28184252977371216,0.3176874816417694,0.733189046382904,1.0,0.37920868396759033,0.22766618430614471,0.22068053483963013
western,0.2454150915145874,0.2864105999469757,0.20322977006435394,0.35160520672798157,0.20867665112018585,0.09064704179763794,0.13915501534938812,0.32974064350128174,0.37920868396759033,1.0000001192092896,0.10416994243860245,0.17439141869544983
bypass,0.25719916820526123,0.14040203392505646,0.28549957275390625,0.18596675992012024,0.15159034729003906,0.15380240976810455,0.2831510603427887,0.17289382219314575,0.22766618430614471,0.10416994243860245,0.9999999403953552,0.18418999016284943
",",0.3087472915649414,0.45456063747406006,0.276959627866745,0.5201468467712402,0.251589834690094,0.27234330773353577,0.21737714111804962,0.4946078956127167,0.4933079481124878,0.27542921900749207,0.24120764434337616,0.31091248989105225
and,0.31309178471565247,0.3740963041782379,0.258113294839859,0.4954058527946472,0.20204751193523407,0.2482176125049591,0.2318231463432312,0.5116966962814331,0.5171257257461548,0.27210789918899536,0.22104375064373016,0.20544172823429108
its,0.30393704771995544,0.3518870174884796,0.19445258378982544,0.3793783485889435,0.19941815733909607,0.21656565368175507,0.26635512709617615,0.48690423369407654,0.559237003326416,0.27756091952323914,0.15921595692634583,0.15103481709957123
designation,0.1365363448858261,0.2440742552280426,0.33199983835220337,0.2206491380929947,0.12024029344320297,0.1529305875301361,0.2329050451517105,0.21774958074092865,0.25765958428382874,0.2009204775094986,0.16550099849700928,0.17107710242271423
as,0.31749409437179565,0.3677520453929901,0.2630070149898529,0.3887844979763031,0.21526619791984558,0.19482944905757904,0.20413751900196075,0.3886612355709076,0.48381632566452026,0.23040111362934113,0.1676347255706787,0.27043893933296204
the,0.42745697498321533,0.48711544275283813,0.2934836149215698,0.6662389636039734,0.2253497689962387,0.28184252977371216,0.3176874816417694,0.733189046382904,1.0,0.37920868396759033,0.22766618430614471,0.22068053483963013
new,0.2130378633737564,0.2748313844203949,0.2489665299654007,0.3758552670478821,0.30626022815704346,0.18686427175998688,0.2515130937099457,0.343457967042923,0.3845241069793701,0.22696338593959808,0.22284473478794098,0.14782847464084625
line,0.2245367169380188,0.1765366792678833,0.29851508140563965,0.2258777767419815,0.20211446285247803,0.1384553462266922,0.20686306059360504,0.23765452206134796,0.29789501428604126,0.17886240780353546,0.23880824446678162,0.16271452605724335
of,0.33290785551071167,0.4069072902202606,0.24206186830997467,0.5696388483047485,0.18781472742557526,0.3224298357963562,0.245177760720253,1.0,0.733189046382904,0.32974064350128174,0.17289382219314575,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,0.2934836149215698,0.6662389636039734,0.2253497689962387,0.28184252977371216,0.3176874816417694,0.733189046382904,1.0,0.37920868396759033,0.22766618430614471,0.22068053483963013
a1,0.018953397870063782,0.06307734549045563,0.05211968347430229,0.08373530209064484,-0.06691265851259232,-0.05555189773440361,0.08773824572563171,0.013573167845606804,0.02656584046781063,0.042036961764097214,0.09058071672916412,-0.015579691156744957
",",0.3087472915649414,0.45456063747406006,0.276959627866745,0.5201468467712402,0.251589834690094,0.27234330773353577,0.21737714111804962,0.4946078956127167,0.4933079481124878,0.27542921900749207,0.24120764434337616,0.31091248989105225
the,0.42745697498321533,0.48711544275283813,0.2934836149215698,0.6662389636039734,0.2253497689962387,0.28184252977371216,0.3176874816417694,0.733189046382904,1.0,0.37920868396759033,0.22766618430614471,0.22068053483963013
roads,0.19353218376636505,0.2089695781469345,0.3714273273944855,0.22915449738502502,0.192631334066391,0.08701614290475845,0.11401110142469406,0.25521090626716614,0.25260934233665466,0.20836228132247925,0.27503514289855957,0.17565645277500153
between,0.2462156116962433,0.24048170447349548,0.23643915355205536,0.41100412607192993,0.14343799650669098,0.12797234952449799,0.22287288308143616,0.3737983703613281,0.39067012071609497,0.29803505539894104,0.21974052488803864,0.12887074053287506
this,0.5489566326141357,0.3638818562030792,0.29507771134376526,0.45205554366111755,0.1843338906764984,0.2525794804096222,0.38948145508766174,0.45148900151252747,0.6274310946464539,0.2114744484424591,0.314449280500412,0.3155723512172699
and,0.31309178471565247,0.3740963041782379,0.258113294839859,0.4954058527946472,0.20204751193523407,0.2482176125049591,0.2318231463432312,0.5116966962814331,0.5171257257461548,0.27210789918899536,0.22104375064373016,0.20544172823429108
