,who,is,the,university,accredited,by,?
the,0.3733934462070465,0.5823672413825989,1.0,0.263973206281662,0.25922709703445435,0.4408751428127289,0.22068053483963013
university,0.2115909904241562,0.20346471667289734,0.263973206281662,1.0,0.40134862065315247,0.1929011344909668,0.11887256056070328
is,0.24293622374534607,1.0,0.5823672413825989,0.20346471667289734,0.18735909461975098,0.3899846076965332,0.22961433231830597
accredited,0.13820533454418182,0.18735909461975098,0.25922709703445435,0.40134862065315247,1.0000001192092896,0.24202905595302582,0.16870518028736115
by,0.39727845788002014,0.3899846076965332,0.4408751428127289,0.1929011344909668,0.24202905595302582,1.0000001192092896,0.17966607213020325
the,0.3733934462070465,0.5823672413825989,1.0,0.263973206281662,0.25922709703445435,0.4408751428127289,0.22068053483963013
higher,0.20071525871753693,0.24683357775211334,0.3292480409145355,0.23826853930950165,0.3264676034450531,0.23272763192653656,0.15679465234279633
learning,0.25985077023506165,0.19600103795528412,0.2504628002643585,0.29980435967445374,0.2423289269208908,0.18080872297286987,0.25810256600379944
commission,0.15008439123630524,0.19761666655540466,0.24418850243091583,0.26414406299591064,0.3843298852443695,0.25094297528266907,0.16231559216976166
.,0.3541337847709656,0.4569662809371948,0.5934505462646484,0.290679007768631,0.2734043300151825,0.3936232924461365,0.4130953550338745
