,who,is,elected,at,the,beginning,of,each,term,?
in,0.2792111933231354,0.5394441485404968,0.21190309524536133,0.4374977946281433,0.6662389636039734,0.3787442147731781,0.5696388483047485,0.30816060304641724,0.27866655588150024,0.20430970191955566
contrast,0.16949069499969482,0.2659924328327179,0.04951205477118492,0.08834919333457947,0.25799670815467834,0.2559235394001007,0.3046875298023224,0.32805895805358887,0.36540746688842773,0.15469981729984283
to,0.42656609416007996,0.42745086550712585,0.21424545347690582,0.36524343490600586,0.535392165184021,0.32582011818885803,0.41548454761505127,0.3941934108734131,0.3310292959213257,0.29463258385658264
many,0.4149286150932312,0.2649032473564148,0.13487686216831207,0.2716965675354004,0.4335206151008606,0.2941468060016632,0.37253960967063904,0.35348209738731384,0.22119450569152832,0.2124512493610382
other,0.3612329661846161,0.25895947217941284,0.12825223803520203,0.24329762160778046,0.44152235984802246,0.26081663370132446,0.38583824038505554,0.5260580778121948,0.24595949053764343,0.24682199954986572
parliamentary,0.20465344190597534,0.1731702983379364,0.5225362777709961,0.15703587234020233,0.2708897888660431,0.17855794727802277,0.33805084228515625,0.18104569613933563,0.26708731055259705,0.1612216979265213
systems,0.11571111530065536,0.23126937448978424,0.07985387742519379,0.15907585620880127,0.28089964389801025,0.1832599639892578,0.277031809091568,0.2266116738319397,0.19168710708618164,0.1575973927974701
",",0.3365725874900818,0.4691906273365021,0.2476319521665573,0.38314947485923767,0.4933079481124878,0.31347912549972534,0.4946078956127167,0.207483172416687,0.21599270403385162,0.31091248989105225
parliament,0.237068772315979,0.19676777720451355,0.5323356986045837,0.17480722069740295,0.26521381735801697,0.16858810186386108,0.2885259687900543,0.14252392947673798,0.19291643798351288,0.1586504578590393
elects,0.28590357303619385,0.23961922526359558,0.7680076360702515,0.14964944124221802,0.2653489410877228,0.20884554088115692,0.2989093065261841,0.2256547510623932,0.2366674244403839,0.19486498832702637
a,0.36608949303627014,0.658733606338501,0.18310341238975525,0.3095070421695709,0.5829201340675354,0.31769853830337524,0.5052502155303955,0.434999018907547,0.3080509603023529,0.23916715383529663
first,0.39065709710121155,0.30889374017715454,0.2879455089569092,0.3138778805732727,0.49448907375335693,0.4832592010498047,0.3536086082458496,0.35237833857536316,0.23031085729599,0.18701928853988647
minister,0.18775032460689545,0.15245889127254486,0.40928372740745544,0.12735222280025482,0.19297581911087036,0.16097764670848846,0.23343199491500854,0.0329749695956707,0.18997114896774292,0.10825661569833755
from,0.27839982509613037,0.27355384826660156,0.1986871361732483,0.3447161316871643,0.40150508284568787,0.34789925813674927,0.4249346852302551,0.22863267362117767,0.25269290804862976,0.19969791173934937
a,0.36608949303627014,0.658733606338501,0.18310341238975525,0.3095070421695709,0.5829201340675354,0.31769853830337524,0.5052502155303955,0.434999018907547,0.3080509603023529,0.23916715383529663
number,0.21304799616336823,0.22390379011631012,0.17495456337928772,0.20500339567661285,0.35145696997642517,0.2924441993236542,0.2778518795967102,0.3657607138156891,0.16280588507652283,0.19256845116615295
of,0.2827862501144409,0.4854315221309662,0.2767166793346405,0.42558613419532776,0.733189046382904,0.36558160185813904,1.0,0.38460010290145874,0.26047757267951965,0.1826142966747284
candidates,0.3317711651325226,0.17431387305259705,0.48166611790657043,0.22081531584262848,0.2590187191963196,0.17212128639221191,0.2392524778842926,0.25747644901275635,0.24083246290683746,0.2568073272705078
at,0.22096660733222961,0.25906258821487427,0.16178534924983978,1.0,0.457212895154953,0.3329997658729553,0.42558613419532776,0.21600523591041565,0.1040644645690918,0.21978627145290375
the,0.3733934462070465,0.5823672413825989,0.23167964816093445,0.457212895154953,1.0,0.49622642993927,0.733189046382904,0.470844566822052,0.2740369141101837,0.22068053483963013
beginning,0.25200510025024414,0.2446223646402359,0.20465363562107086,0.3329997658729553,0.49622642993927,0.9999998807907104,0.36558160185813904,0.31690895557403564,0.2738078534603119,0.19413669407367706
of,0.2827862501144409,0.4854315221309662,0.2767166793346405,0.42558613419532776,0.733189046382904,0.36558160185813904,1.0,0.38460010290145874,0.26047757267951965,0.1826142966747284
each,0.27337536215782166,0.2954041659832001,0.16270922124385834,0.21600523591041565,0.470844566822052,0.31690895557403564,0.38460010290145874,1.0,0.18035899102687836,0.21173812448978424
parliamentary,0.20465344190597534,0.1731702983379364,0.5225362777709961,0.15703587234020233,0.2708897888660431,0.17855794727802277,0.33805084228515625,0.18104569613933563,0.26708731055259705,0.1612216979265213
term,0.19649659097194672,0.270183801651001,0.32113417983055115,0.1040644645690918,0.2740369141101837,0.2738078534603119,0.26047757267951965,0.18035899102687836,1.0,0.1901002675294876
(,0.2443375140428543,0.35393038392066956,0.19558116793632507,0.23315078020095825,0.33289089798927307,0.2096392959356308,0.35032153129577637,0.17427405714988708,0.16755855083465576,0.40561532974243164
