,to,where,did,ethelred,flee,?
because,0.5166091918945312,0.46146172285079956,0.45674043893814087,0.22540044784545898,0.2480786293745041,0.2528740465641022
of,0.41548454761505127,0.38066378235816956,0.2513895630836487,0.23607484996318817,0.26381760835647583,0.1826142966747284
this,0.5759071707725525,0.4012809097766876,0.3609912693500519,0.27339401841163635,0.2009827196598053,0.3155723512172699
",",0.44245919585227966,0.3149496018886566,0.3015086054801941,0.23403680324554443,0.2327422946691513,0.31091248989105225
ethelred,0.2925483286380768,0.22809197008609772,0.2701309025287628,1.0,0.4015522003173828,0.24839718639850616
fled,0.24595892429351807,0.2494370937347412,0.3007028102874756,0.3975089490413666,0.6927700638771057,0.13968057930469513
to,1.0,0.47735077142715454,0.4452643394470215,0.2925483286380768,0.3099924921989441,0.29463258385658264
normandy,0.274964839220047,0.1915065050125122,0.22076494991779327,0.5361760854721069,0.2882150113582611,0.1584552675485611
in,0.45010748505592346,0.5344807505607605,0.2593238651752472,0.2618544399738312,0.2723175287246704,0.20430970191955566
1013,-0.031251661479473114,-0.0049637858755886555,-0.01246698573231697,-0.11475236713886261,-0.15166103839874268,0.20658347010612488
",",0.44245919585227966,0.3149496018886566,0.3015086054801941,0.23403680324554443,0.2327422946691513,0.31091248989105225
when,0.5423505902290344,0.5747735500335693,0.3228907287120819,0.31455573439598083,0.3029221296310425,0.22841128706932068
he,0.385390967130661,0.3705328106880188,0.3292143940925598,0.33504989743232727,0.33804911375045776,0.2089974731206894
was,0.3636345863342285,0.20731619000434875,0.41399896144866943,0.3170047402381897,0.22229593992233276,0.18412111699581146
forced,0.3537954092025757,0.27043721079826355,0.36753809452056885,0.2686607837677002,0.44701626896858215,0.17547516524791718
from,0.4069952368736267,0.3713873624801636,0.20248863101005554,0.15019969642162323,0.25085121393203735,0.19969791173934937
his,0.3715193271636963,0.29880598187446594,0.3546801507472992,0.4224123954772949,0.34912851452827454,0.18075084686279297
kingdom,0.19473806023597717,0.18143217265605927,0.15448923408985138,0.3465716242790222,0.22506965696811676,0.12927088141441345
by,0.33534231781959534,0.2641284465789795,0.18574509024620056,0.2527865469455719,0.24336832761764526,0.17966607213020325
sweyn,0.1642562299966812,0.19542333483695984,0.2148667424917221,0.6202722787857056,0.29764899611473083,0.20229662954807281
forkbeard,0.24803327023983002,0.20423999428749084,0.2569541335105896,0.5221744179725647,0.3160806894302368,0.19564490020275116
.,0.4645031690597534,0.41390106081962585,0.35288307070732117,0.25826942920684814,0.16442443430423737,0.4130953550338745
