,what,is,the,nickname,for,the,abc,facility,built,at,columbus,avenue,and,west,66th,street,?
the,0.42745697498321533,0.5823672413825989,1.0,0.20167101919651031,0.4739971458911896,1.0,0.2068762183189392,0.19252020120620728,0.2950156033039093,0.457212895154953,0.2655775547027588,0.22167983651161194,0.5171257257461548,0.32918402552604675,0.3146529793739319,0.20947860181331635,0.22068053483963013
company,0.2333769053220749,0.18005689978599548,0.26591673493385315,0.10874445736408234,0.25874319672584534,0.26591673493385315,0.16210390627384186,0.2383890151977539,0.1800246387720108,0.17487694323062897,0.134169340133667,0.2413623183965683,0.23788511753082275,0.08896635472774506,0.10531582683324814,0.2716004252433777,0.12195809185504913
first,0.28086137771606445,0.30889374017715454,0.49448907375335693,0.2516539990901947,0.3800288736820221,0.49448907375335693,0.2403600513935089,0.14236189424991608,0.28534698486328125,0.3138778805732727,0.2831467092037201,0.1607370376586914,0.3167642652988434,0.24142304062843323,0.3719083070755005,0.16979321837425232,0.18701928853988647
constructed,0.18810124695301056,0.2050381600856781,0.29105475544929504,0.10624445229768753,0.15702174603939056,0.29105475544929504,0.08709557354450226,0.2860369086265564,0.6182932257652283,0.2007904201745987,0.14843818545341492,0.3161866366863251,0.22972804307937622,0.26422956585884094,0.09027428179979324,0.2217271775007248,0.12459525465965271
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.26108431816101074,0.44038116931915283,0.5829201340675354,0.21331243216991425,0.2580786943435669,0.23064446449279785,0.3095070421695709,0.16265426576137543,0.1562824249267578,0.3739250600337982,0.2258862406015396,0.2415577471256256,0.18956080079078674,0.23916715383529663
new,0.2130378633737564,0.2208656519651413,0.3845241069793701,0.11264265328645706,0.2700757384300232,0.3845241069793701,0.20663127303123474,0.15641221404075623,0.1724834442138672,0.1898733228445053,0.2181187868118286,0.27288708090782166,0.31402453780174255,0.20932024717330933,0.15113785862922668,0.19142328202724457,0.14782847464084625
10-story,0.3660508990287781,0.27850204706192017,0.41407808661460876,0.16200889647006989,0.3147445023059845,0.41407808661460876,0.3169637620449066,0.2820708453655243,0.2343098521232605,0.3022429049015045,0.2117067575454712,0.25771260261535645,0.2970649302005768,0.3418058156967163,0.15494824945926666,0.2818702459335327,0.26488369703292847
building,0.23529528081417084,0.20087163150310516,0.3159640431404114,0.09720829129219055,0.2644540071487427,0.3159640431404114,0.10863203555345535,0.3194025158882141,0.5628743767738342,0.2514413893222809,0.11756005138158798,0.3789612054824829,0.2593274712562561,0.163435161113739,0.04227905720472336,0.31150975823402405,0.13549931347370148
on,0.34226128458976746,0.3635730445384979,0.5107308030128479,0.060533732175827026,0.36199691891670227,0.5107308030128479,0.2862928807735443,0.19561666250228882,0.1758279800415039,0.4806317389011383,0.16460254788398743,0.19666297733783722,0.4077630043029785,0.22540061175823212,0.16383413970470428,0.20150774717330933,0.2714994251728058
land,0.23411516845226288,0.22457899153232574,0.28587454557418823,0.20013202726840973,0.19845563173294067,0.28587454557418823,0.11165688931941986,0.1624423861503601,0.24863165616989136,0.15723508596420288,0.21499885618686676,0.20890134572982788,0.2874513864517212,0.2665596604347229,0.16663338243961334,0.15924809873104095,0.1432059109210968
previously,0.24305304884910583,0.24012024700641632,0.33854439854621887,0.15028145909309387,0.3148766756057739,0.33854439854621887,0.19224213063716888,0.2029142528772354,0.15889351069927216,0.2111676037311554,0.12546539306640625,0.14451740682125092,0.28226712346076965,0.19152845442295074,0.14186018705368042,0.13040056824684143,0.15811841189861298
occupied,0.2295091450214386,0.17384637892246246,0.3288927674293518,0.04680754616856575,0.13494350016117096,0.3288927674293518,0.055518265813589096,0.21009603142738342,0.3012182414531708,0.2591996192932129,0.1663845181465149,0.15226897597312927,0.26742085814476013,0.31827348470687866,0.05088723078370094,0.18354801833629608,0.11679025739431381
