,how,wide,is,the,rhine,in,germany,?
between,0.2747800648212433,0.224684938788414,0.26809602975845337,0.39067012071609497,0.17755062878131866,0.41100412607192993,0.22155004739761353,0.12887074053287506
emmerich,0.17996467649936676,0.1753731220960617,0.2582860291004181,0.2882566750049591,0.40353208780288696,0.36114200949668884,0.4947817325592041,0.13387663662433624
and,0.33647966384887695,0.272363543510437,0.3859752118587494,0.5171257257461548,0.22029656171798706,0.4954058527946472,0.29381805658340454,0.20544172823429108
cleves,0.10710041224956512,0.12102464586496353,0.1905316561460495,0.27172577381134033,0.3960632383823395,0.2571854293346405,0.3390085995197296,0.1412518173456192
the,0.33890387415885925,0.28078147768974304,0.5823672413825989,1.0,0.30735138058662415,0.6662389636039734,0.3181285262107849,0.22068053483963013
emmerich,0.17996467649936676,0.1753731220960617,0.2582860291004181,0.2882566750049591,0.40353208780288696,0.36114200949668884,0.4947817325592041,0.13387663662433624
rhine,0.09285783767700195,0.11839058250188828,0.15617261826992035,0.30735138058662415,1.0,0.24648422002792358,0.5801170468330383,0.13754533231258392
bridge,0.12357460707426071,0.23011837899684906,0.1899378001689911,0.27692803740501404,0.2627650499343872,0.235438272356987,0.09500835090875626,0.1396101862192154
",",0.22659391164779663,0.2452421933412552,0.4691906273365021,0.4933079481124878,0.167837992310524,0.5201468467712402,0.2898865044116974,0.31091248989105225
the,0.33890387415885925,0.28078147768974304,0.5823672413825989,1.0,0.30735138058662415,0.6662389636039734,0.3181285262107849,0.22068053483963013
longest,0.08360407501459122,0.24272945523262024,0.28321096301078796,0.36807993054389954,0.19583860039710999,0.3027363419532776,0.16953496634960175,0.1404971331357956
suspension,0.12806642055511475,0.27826473116874695,0.2197364866733551,0.279620885848999,0.1888040155172348,0.17704683542251587,0.08840548992156982,0.16699327528476715
bridge,0.12357460707426071,0.23011837899684906,0.1899378001689911,0.27692803740501404,0.2627650499343872,0.235438272356987,0.09500835090875626,0.1396101862192154
in,0.2601168751716614,0.22946839034557343,0.5394441485404968,0.6662389636039734,0.24648422002792358,1.0,0.3642844259738922,0.20430970191955566
germany,0.19746148586273193,0.13183338940143585,0.2201172411441803,0.3181285262107849,0.5801170468330383,0.3642844259738922,1.0,0.1388660967350006
",",0.22659391164779663,0.2452421933412552,0.4691906273365021,0.4933079481124878,0.167837992310524,0.5201468467712402,0.2898865044116974,0.31091248989105225
crosses,0.12604905664920807,0.21967917680740356,0.2743796408176422,0.3373211920261383,0.26497384905815125,0.2720853388309479,0.19468319416046143,0.10661549866199493
the,0.33890387415885925,0.28078147768974304,0.5823672413825989,1.0,0.30735138058662415,0.6662389636039734,0.3181285262107849,0.22068053483963013
400,0.06928388774394989,0.05361869931221008,0.15271618962287903,0.17705115675926208,0.38611119985580444,0.1977328509092331,0.4175930917263031,0.14271585643291473
m,0.17182649672031403,0.21824286878108978,0.22669823467731476,0.15156042575836182,0.1758568435907364,0.12893682718276978,0.12801755964756012,0.2618667185306549
wide,0.2094327211380005,1.0,0.22456400096416473,0.28078147768974304,0.11839058250188828,0.22946839034557343,0.13183338940143585,0.12719376385211945
river,0.09142279624938965,0.13773506879806519,0.20670881867408752,0.2894456386566162,0.3672541379928589,0.2149806171655655,0.13062797486782074,0.15390869975090027
.,0.3287222981452942,0.2710442841053009,0.4569662809371948,0.5934505462646484,0.2089352011680603,0.5591574311256409,0.28498756885528564,0.4130953550338745
