,where,were,abc,'s,international,networks,mainly,situated,in,the,1970s,?
as,0.35409465432167053,0.3025437891483307,0.2286096066236496,-0.05775856226682663,0.20422232151031494,0.17501045763492584,0.2864932119846344,0.16836872696876526,0.3887844979763031,0.48381632566452026,0.05110866576433182,0.27043893933296204
a,0.40997210144996643,0.17203083634376526,0.21331243216991425,0.04866964742541313,0.24617823958396912,0.16109517216682434,0.3235919773578644,0.27678605914115906,0.539380669593811,0.5829201340675354,-0.008740115910768509,0.23916715383529663
result,0.2845163941383362,0.21311920881271362,0.14806517958641052,0.06641998142004013,0.1253475695848465,0.14223536849021912,0.11100706458091736,0.1362065225839615,0.25670310854911804,0.27778977155685425,0.052264418452978134,0.17218433320522308
",",0.3149496018886566,0.36755475401878357,0.2097204476594925,-0.0016132977325469255,0.23395943641662598,0.20105446875095367,0.3616383671760559,0.21735219657421112,0.5201468467712402,0.4933079481124878,0.06473266333341599,0.31091248989105225
abc,0.08676808327436447,0.09045279771089554,1.0000001192092896,0.06670809537172318,0.13385500013828278,0.350273072719574,0.12578192353248596,0.10485898703336716,0.1697147786617279,0.2068762183189392,-0.11265640705823898,0.19065172970294952
was,0.20731619000434875,0.590133786201477,0.21565799415111542,0.008974763564765453,0.22185437381267548,0.169170543551445,0.26961684226989746,0.2814044952392578,0.45514053106307983,0.48711544275283813,0.012108612805604935,0.18412111699581146
forced,0.27043721079826355,0.2805345952510834,0.1315639466047287,0.02559546008706093,0.12283165752887726,0.12028775364160538,0.1898549646139145,0.12812942266464233,0.2043643444776535,0.2571122944355011,0.1432574838399887,0.17547516524791718
to,0.47735077142715454,0.31913647055625916,0.1762417107820511,0.03782717138528824,0.21173149347305298,0.23877078294754028,0.31092169880867004,0.17401985824108124,0.45010748505592346,0.535392165184021,0.06756533682346344,0.29463258385658264
sell,0.21872642636299133,0.26017674803733826,0.10742729157209396,0.10946694761514664,0.12464001029729843,0.21652460098266602,0.19356456398963928,0.07505291700363159,0.23190630972385406,0.19874759018421173,-0.041541483253240585,0.1556897759437561
all,0.36365973949432373,0.4387909770011902,0.18112415075302124,0.03181743621826172,0.24504221975803375,0.2493741810321808,0.3419361710548401,0.05977623164653778,0.3335905969142914,0.4860881567001343,0.039371307939291,0.29575422406196594
