,how,many,days,does,the,council,have,to,override,the,mayor,'s,veto,?
if,0.4917012155056,0.2803558111190796,0.20335757732391357,0.4740144908428192,0.33724796772003174,0.13545042276382446,0.48852935433387756,0.4559597074985504,0.48728081583976746,0.33724796772003174,0.04312128573656082,-0.0015437148977071047,0.2921944260597229,0.4441644251346588
the,0.33890387415885925,0.4335206151008606,0.2574930489063263,0.35928019881248474,1.0,0.2829204201698303,0.40389683842658997,0.535392165184021,0.23464247584342957,1.0,0.21459873020648956,-0.01540423184633255,0.25482627749443054,0.22068053483963013
mayor,0.10748768597841263,0.13506174087524414,0.12963926792144775,0.06137750670313835,0.21459873020648956,0.4468771815299988,0.08583125472068787,0.16660037636756897,0.14804290235042572,0.21459873020648956,0.9999999403953552,-0.028205493465065956,0.23970231413841248,0.10846361517906189
vetoes,0.21805238723754883,0.1570649892091751,0.21116894483566284,0.3094364404678345,0.28659823536872864,0.3289854824542999,0.2617725729942322,0.2872849702835083,0.4254586696624756,0.28659823536872864,0.27141740918159485,-0.041565150022506714,0.7722342014312744,0.2817135453224182
a,0.29312583804130554,0.2872205972671509,0.24421119689941406,0.38201746344566345,0.5829201340675354,0.16385574638843536,0.338716596364975,0.45503583550453186,0.2626620829105377,0.5829201340675354,0.17534200847148895,0.04866964742541313,0.16522058844566345,0.23916715383529663
bill,0.19698695838451385,0.13557864725589752,0.16125407814979553,0.17194031178951263,0.24155211448669434,0.12303242087364197,0.15134581923484802,0.17981381714344025,0.26987424492836,0.24155211448669434,0.18752750754356384,-0.030787084251642227,0.3689311444759369,0.12855131924152374
",",0.22659391164779663,0.40610817074775696,0.34504905343055725,0.28617382049560547,0.4933079481124878,0.23820561170578003,0.3541618287563324,0.44245919585227966,0.18948867917060852,0.4933079481124878,0.28074726462364197,-0.0016132977325469255,0.2485281080007553,0.31091248989105225
the,0.33890387415885925,0.4335206151008606,0.2574930489063263,0.35928019881248474,1.0,0.2829204201698303,0.40389683842658997,0.535392165184021,0.23464247584342957,1.0,0.21459873020648956,-0.01540423184633255,0.25482627749443054,0.22068053483963013
council,0.14261579513549805,0.13560552895069122,0.13152681291103363,0.13735659420490265,0.2829204201698303,1.0,0.1461305320262909,0.23829470574855804,0.16929180920124054,0.2829204201698303,0.4468771815299988,-0.007623340003192425,0.30272236466407776,0.1160062924027443
has,0.26820555329322815,0.4266262650489807,0.1749730259180069,0.42885294556617737,0.4177538752555847,0.18650029599666595,0.6353569626808167,0.3619994819164276,0.10627549886703491,0.4177538752555847,0.20329008996486664,-0.040683966130018234,0.1586616188287735,0.15994466841220856
30,-0.0035910264123231173,0.09108389914035797,-0.04218888655304909,-0.05975762754678726,0.0730796679854393,0.0437394380569458,0.08221068978309631,0.06848903745412827,0.08539784699678421,0.0730796679854393,0.05647372454404831,-0.03394532576203346,-0.05325125530362129,-0.08261742442846298
days,0.23509229719638824,0.19773665070533752,0.9999998807907104,0.19069090485572815,0.2574930489063263,0.13152681291103363,0.25489261746406555,0.2942236363887787,0.15822017192840576,0.2574930489063263,0.12963926792144775,0.08848981559276581,0.19203418493270874,0.2198754847049713
to,0.44169697165489197,0.40243685245513916,0.2942236363887787,0.4391997456550598,0.535392165184021,0.23829470574855804,0.4544740617275238,1.0,0.28360745310783386,0.535392165184021,0.16660037636756897,0.03782717138528824,0.2647951543331146,0.29463258385658264
override,0.28062036633491516,0.12330387532711029,0.15822017192840576,0.3102429211139679,0.23464247584342957,0.16929180920124054,0.25938042998313904,0.28360745310783386,1.0,0.23464247584342957,0.14804290235042572,-0.06304702907800674,0.4078895151615143,0.3403741419315338
the,0.33890387415885925,0.4335206151008606,0.2574930489063263,0.35928019881248474,1.0,0.2829204201698303,0.40389683842658997,0.535392165184021,0.23464247584342957,1.0,0.21459873020648956,-0.01540423184633255,0.25482627749443054,0.22068053483963013
veto,0.1913628727197647,0.1536911427974701,0.19203418493270874,0.2592407763004303,0.25482627749443054,0.30272236466407776,0.237818643450737,0.2647951543331146,0.4078895151615143,0.25482627749443054,0.23970231413841248,-0.028808996081352234,1.0000001192092896,0.2314452826976776
by,0.34370526671409607,0.3409687578678131,0.17279444634914398,0.143477201461792,0.4408751428127289,0.18552932143211365,0.3359639644622803,0.33534231781959534,0.20500044524669647,0.4408751428127289,0.15294580161571503,-0.010884488001465797,0.1390194594860077,0.17966607213020325
a,0.29312583804130554,0.2872205972671509,0.24421119689941406,0.38201746344566345,0.5829201340675354,0.16385574638843536,0.338716596364975,0.45503583550453186,0.2626620829105377,0.5829201340675354,0.17534200847148895,0.04866964742541313,0.16522058844566345,0.23916715383529663
two-thirds,0.2647247910499573,0.32381942868232727,0.22423209249973297,0.2833101749420166,0.4331918954849243,0.3041221499443054,0.4413047730922699,0.3367849886417389,0.3286183178424835,0.4331918954849243,0.18924902379512787,0.05182712525129318,0.3385921120643616,0.15813422203063965
majority,0.20073412358760834,0.3566230833530426,0.14482170343399048,0.2256021648645401,0.28757327795028687,0.23196718096733093,0.36177510023117065,0.26316750049591064,0.2978983223438263,0.28757327795028687,0.21092593669891357,0.06142395734786987,0.3299084007740021,0.220119908452034
vote,0.2566540539264679,0.14577564597129822,0.23247236013412476,0.17017656564712524,0.22779929637908936,0.3168671727180481,0.26096346974372864,0.2892617881298065,0.38227614760398865,0.22779929637908936,0.26403868198394775,0.022564241662621498,0.4860687553882599,0.2888886630535126
.,0.3287222981452942,0.3974229395389557,0.2610209584236145,0.3022993505001068,0.5934505462646484,0.2314436286687851,0.41614407300949097,0.4645031690597534,0.26869645714759827,0.5934505462646484,0.22149251401424408,-0.003708066651597619,0.21133340895175934,0.4130953550338745
