,when,was,the,term,``,regeneration,'',first,used,?
the,0.5091903209686279,0.48711544275283813,1.0,0.2740369141101837,0.029072100296616554,0.3351733982563019,0.041273195296525955,0.49448907375335693,0.3718377649784088,0.22068053483963013
actual,0.3111655116081238,0.2121414989233017,0.40616878867149353,0.2494962066411972,0.12270147353410721,0.2292419970035553,0.06562308967113495,0.26078855991363525,0.3794138729572296,0.20405827462673187
term,0.2727346122264862,0.21378034353256226,0.2740369141101837,1.0,0.11803510040044785,0.196629136800766,0.13619764149188995,0.23031085729599,0.4406372904777527,0.1901002675294876
``,0.07174111902713776,-0.012679691426455975,0.029072100296616554,0.11803510040044785,1.0,0.0084949666634202,-0.09173435717821121,0.006519378628581762,0.08103004097938538,0.0685480609536171
regeneration,0.2428749054670334,0.18699689209461212,0.3351733982563019,0.196629136800766,0.0084949666634202,1.0,0.05689337104558945,0.2507238984107971,0.1494564712047577,0.13848066329956055
'',-0.07688097655773163,0.04456103965640068,0.041273195296525955,0.13619764149188995,-0.09173435717821121,0.05689337104558945,1.0,-0.03874251991510391,0.050410956144332886,0.018684765323996544
was,0.37326499819755554,1.0000001192092896,0.48711544275283813,0.21378034353256226,-0.012679691426455975,0.18699689209461212,0.04456103965640068,0.5022147297859192,0.23679393529891968,0.18412111699581146
not,0.4799930453300476,0.2888734042644501,0.4310511648654938,0.2823779284954071,0.09406080842018127,0.25486037135124207,0.04262445494532585,0.2955942749977112,0.358921617269516,0.41942933201789856
initially,0.36285609006881714,0.3788634240627289,0.2997018098831177,0.1754443496465683,-0.03052438795566559,0.23355740308761597,-0.013241134583950043,0.34608641266822815,0.19967558979988098,0.0699334517121315
conceived,0.22864046692848206,0.3378709852695465,0.23506250977516174,0.23079413175582886,-0.06979691237211227,0.30691325664520264,0.08894310891628265,0.2187049686908722,0.2420535534620285,0.14654332399368286
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.26047757267951965,0.06780257821083069,0.32214465737342834,0.13035868108272552,0.3536086082458496,0.3075267970561981,0.1826142966747284
until,0.494509756565094,0.43126991391181946,0.37191009521484375,0.24880193173885345,0.05368559807538986,0.19951669871807098,-0.12006485462188721,0.3975810110569,0.15791192650794983,0.20304496586322784
the,0.5091903209686279,0.48711544275283813,1.0,0.2740369141101837,0.029072100296616554,0.3351733982563019,0.041273195296525955,0.49448907375335693,0.3718377649784088,0.22068053483963013
doctor,0.16867952048778534,0.19672659039497375,0.2820442318916321,0.18813423812389374,0.03718610852956772,0.344775915145874,0.06782495975494385,0.27244147658348083,0.15671396255493164,0.1462511420249939
's,-0.03368149697780609,0.008974763564765453,-0.01540423184633255,-0.02037568762898445,-0.03416389226913452,-0.07974092662334442,-0.04859459400177002,-0.014458609744906425,0.00600846204906702,-0.023395681753754616
third,0.23858320713043213,0.3460187017917633,0.4229298532009125,0.1743110567331314,0.04341840744018555,0.25911036133766174,-0.003199114231392741,0.6071826219558716,0.12432441860437393,0.15394791960716248
on-screen,0.2987774908542633,0.181447371840477,0.24245591461658478,0.13920685648918152,-0.08457433432340622,0.22423319518566132,0.022059272974729538,0.270250529050827,0.2613900601863861,0.22305797040462494
regeneration,0.2428749054670334,0.18699689209461212,0.3351733982563019,0.196629136800766,0.0084949666634202,1.0,0.05689337104558945,0.2507238984107971,0.1494564712047577,0.13848066329956055
however,0.5574322938919067,0.37327632308006287,0.49814513325691223,0.3404300808906555,0.035520195960998535,0.27937668561935425,-0.049120448529720306,0.3651963174343109,0.41882941126823425,0.2152075469493866
