,what,acquired,condition,results,in,immunodeficiency,in,humans,?
in,0.30808621644973755,0.20108897984027863,0.2555321156978607,0.28880611062049866,1.0,0.19726061820983887,1.0,0.23748517036437988,0.20430970191955566
humans,0.28355827927589417,0.12145978957414627,0.31121304631233215,0.1779026985168457,0.23748517036437988,0.4795324206352234,0.23748517036437988,1.0,0.20141740143299103
",",0.3087472915649414,0.19564154744148254,0.16265787184238434,0.17498864233493805,0.5201468467712402,0.26120924949645996,0.5201468467712402,0.2653752565383911,0.31091248989105225
immunodeficiency,0.21925358474254608,0.34603774547576904,0.4790664613246918,0.30457425117492676,0.19726061820983887,1.0000001192092896,0.19726061820983887,0.4795324206352234,0.21612292528152466
can,0.34502777457237244,0.17238271236419678,0.2928265333175659,0.26172199845314026,0.26527702808380127,0.37856993079185486,0.26527702808380127,0.3871666491031647,0.3226337134838104
either,0.3851809501647949,0.1772805154323578,0.33049172163009644,0.2561376392841339,0.2748357057571411,0.2983189821243286,0.2748357057571411,0.26454710960388184,0.31498292088508606
be,0.3929833769798279,0.13492053747177124,0.33627527952194214,0.2671050429344177,0.3481820821762085,0.33430126309394836,0.3481820821762085,0.3337162137031555,0.3324260413646698
the,0.42745697498321533,0.22202405333518982,0.27454710006713867,0.2863679826259613,0.6662389636039734,0.2426232546567917,0.6662389636039734,0.29565489292144775,0.22068053483963013
result,0.19945499300956726,0.17102162539958954,0.41439592838287354,0.5997092127799988,0.25670310854911804,0.3186388313770294,0.25670310854911804,0.21457599103450775,0.17218433320522308
of,0.33290785551071167,0.20385384559631348,0.20755170285701752,0.19509612023830414,0.5696388483047485,0.23626220226287842,0.5696388483047485,0.24560637772083282,0.1826142966747284
a,0.3320399522781372,0.16495825350284576,0.28835010528564453,0.2899290919303894,0.539380669593811,0.24228139221668243,0.539380669593811,0.22366313636302948,0.23916715383529663
genetic,0.22305285930633545,0.2795661687850952,0.3773241937160492,0.30799293518066406,0.17322051525115967,0.5418540835380554,0.17322051525115967,0.42055484652519226,0.17993050813674927
disease,0.2391042411327362,0.2544221580028534,0.39840826392173767,0.1915540099143982,0.2769028842449188,0.5341197848320007,0.2769028842449188,0.30080682039260864,0.16159942746162415
such,0.23989605903625488,0.1561240702867508,0.24851687252521515,0.19607990980148315,0.2704046070575714,0.3154376447200775,0.2704046070575714,0.3107057511806488,0.17851735651493073
as,0.31749409437179565,0.13555443286895752,0.26620447635650635,0.19246900081634521,0.3887844979763031,0.2549865245819092,0.3887844979763031,0.24042272567749023,0.27043893933296204
severe,0.19308151304721832,0.23611153662204742,0.47812986373901367,0.22129541635513306,0.24480456113815308,0.4066406786441803,0.24480456113815308,0.2253621518611908,0.19589418172836304
combined,0.21267308294773102,0.22876840829849243,0.18190450966358185,0.18946607410907745,0.3370276689529419,0.17058245837688446,0.3370276689529419,0.20412588119506836,0.17985320091247559
immunodeficiency,0.21925358474254608,0.34603774547576904,0.4790664613246918,0.30457425117492676,0.19726061820983887,1.0000001192092896,0.19726061820983887,0.4795324206352234,0.21612292528152466
",",0.3087472915649414,0.19564154744148254,0.16265787184238434,0.17498864233493805,0.5201468467712402,0.26120924949645996,0.5201468467712402,0.2653752565383911,0.31091248989105225
acquired,0.15010768175125122,1.0,0.29307010769844055,0.19960027933120728,0.20108897984027863,0.34603774547576904,0.20108897984027863,0.12145978957414627,0.09366346150636673
conditions,0.27960067987442017,0.24630682170391083,0.8528205752372742,0.33652976155281067,0.2580132484436035,0.40038982033729553,0.2580132484436035,0.29959824681282043,0.17021824419498444
such,0.23989605903625488,0.1561240702867508,0.24851687252521515,0.19607990980148315,0.2704046070575714,0.3154376447200775,0.2704046070575714,0.3107057511806488,0.17851735651493073
as,0.31749409437179565,0.13555443286895752,0.26620447635650635,0.19246900081634521,0.3887844979763031,0.2549865245819092,0.3887844979763031,0.24042272567749023,0.27043893933296204
hiv/aids,0.21726994216442108,0.23921941220760345,0.37299102544784546,0.2521461844444275,0.27512046694755554,0.5600234866142273,0.27512046694755554,0.34699591994285583,0.18364624679088593
",",0.3087472915649414,0.19564154744148254,0.16265787184238434,0.17498864233493805,0.5201468467712402,0.26120924949645996,0.5201468467712402,0.2653752565383911,0.31091248989105225
or,0.33867141604423523,0.1720828264951706,0.3727584481239319,0.28685301542282104,0.3586423695087433,0.3766428530216217,0.3586423695087433,0.33373522758483887,0.32389625906944275
the,0.42745697498321533,0.22202405333518982,0.27454710006713867,0.2863679826259613,0.6662389636039734,0.2426232546567917,0.6662389636039734,0.29565489292144775,0.22068053483963013
use,0.3453877568244934,0.1968848556280136,0.24615028500556946,0.24425038695335388,0.2715643048286438,0.29325684905052185,0.2715643048286438,0.30473390221595764,0.32795652747154236
of,0.33290785551071167,0.20385384559631348,0.20755170285701752,0.19509612023830414,0.5696388483047485,0.23626220226287842,0.5696388483047485,0.24560637772083282,0.1826142966747284
immunosuppressive,0.3023419678211212,0.2715112268924713,0.43952399492263794,0.27804800868034363,0.21540607511997223,0.7046578526496887,0.21540607511997223,0.39939120411872864,0.25029832124710083
medication,0.28847256302833557,0.26083481311798096,0.5265787243843079,0.267882764339447,0.18923917412757874,0.6037232279777527,0.18923917412757874,0.33427757024765015,0.2275196760892868
.,0.3567904531955719,0.17389816045761108,0.17553938925266266,0.2516312897205353,0.5591574311256409,0.2702282965183258,0.5591574311256409,0.2638982832431793,0.4130953550338745
