,when,did,the,rhine,stop,being,the,roman,boundary,?
the,0.5091903209686279,0.34736719727516174,1.0,0.30735138058662415,0.25771772861480713,0.419739305973053,1.0,0.2862859070301056,0.3356972932815552,0.22068053483963013
northern,0.20532405376434326,0.14611519873142242,0.3422943353652954,0.22761300206184387,0.17366287112236023,0.16990169882774353,0.3422943353652954,0.21182158589363098,0.33774712681770325,0.13149388134479523
section,0.16945156455039978,0.18138541281223297,0.3365345895290375,0.15145494043827057,0.10632360726594925,0.1739388108253479,0.3365345895290375,0.17348693311214447,0.19859579205513,0.2733710706233978
of,0.3757161796092987,0.2513895630836487,0.733189046382904,0.2548927664756775,0.2052845060825348,0.34885138273239136,0.733189046382904,0.31028008460998535,0.27984359860420227,0.1826142966747284
this,0.4959332048892975,0.3609912693500519,0.6274310946464539,0.16867555677890778,0.3075527548789978,0.41604986786842346,0.6274310946464539,0.21620680391788483,0.20884987711906433,0.3155723512172699
frontier,0.19568905234336853,0.20067201554775238,0.303574800491333,0.21634887158870697,0.157587468624115,0.21096810698509216,0.303574800491333,0.260420024394989,0.2730681598186493,0.13416144251823425
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.167837992310524,0.24759207665920258,0.34499165415763855,0.4933079481124878,0.26863154768943787,0.2251134216785431,0.31091248989105225
where,0.5747735500335693,0.24159270524978638,0.5003893971443176,0.2007746696472168,0.22008778154850006,0.34980592131614685,0.5003893971443176,0.18148501217365265,0.30628570914268494,0.24793872237205505
the,0.5091903209686279,0.34736719727516174,1.0,0.30735138058662415,0.25771772861480713,0.419739305973053,1.0,0.2862859070301056,0.3356972932815552,0.22068053483963013
rhine,0.13750529289245605,0.15695837140083313,0.30735138058662415,1.0,0.14533330500125885,0.1433272808790207,0.30735138058662415,0.32421013712882996,0.24294309318065643,0.13754533231258392
is,0.3471449911594391,0.19247472286224365,0.5823672413825989,0.15617261826992035,0.18207861483097076,0.4445112943649292,0.5823672413825989,0.16690842807292938,0.23768730461597443,0.22961433231830597
deep,0.21620483696460724,0.14145970344543457,0.26388582587242126,0.11381041258573532,0.17700858414173126,0.23715117573738098,0.26388582587242126,0.054138101637363434,0.25089097023010254,0.1765073984861374
and,0.4716290831565857,0.34479495882987976,0.5171257257461548,0.22029656171798706,0.2426174432039261,0.4286794066429138,0.5171257257461548,0.2730041444301605,0.24556493759155273,0.20544172823429108
broad,0.17673538625240326,0.15516826510429382,0.27128511667251587,0.14871914684772491,0.13968072831630707,0.1523870974779129,0.27128511667251587,0.13697485625743866,0.2513313889503479,0.15083929896354675
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.167837992310524,0.24759207665920258,0.34499165415763855,0.4933079481124878,0.26863154768943787,0.2251134216785431,0.31091248989105225
remained,0.28067004680633545,0.371289998292923,0.3492392301559448,0.2024156004190445,0.09824589639902115,0.32532569766044617,0.3492392301559448,0.19237618148326874,0.21452903747558594,0.08263323456048965
the,0.5091903209686279,0.34736719727516174,1.0,0.30735138058662415,0.25771772861480713,0.419739305973053,1.0,0.2862859070301056,0.3356972932815552,0.22068053483963013
roman,0.1767279952764511,0.1483525037765503,0.2862859070301056,0.32421013712882996,0.08467566967010498,0.1820700317621231,0.2862859070301056,1.0,0.11787205934524536,0.1663191318511963
boundary,0.23724503815174103,0.12121964991092682,0.3356972932815552,0.24294309318065643,0.11919999867677689,0.17038193345069885,0.3356972932815552,0.11787205934524536,1.0,0.0720028504729271
until,0.494509756565094,0.33905428647994995,0.37191009521484375,0.2225569188594818,0.2593928277492523,0.32642483711242676,0.37191009521484375,0.1927730143070221,0.17372368276119232,0.20304496586322784
the,0.5091903209686279,0.34736719727516174,1.0,0.30735138058662415,0.25771772861480713,0.419739305973053,1.0,0.2862859070301056,0.3356972932815552,0.22068053483963013
empire,0.18422111868858337,0.18850058317184448,0.32532164454460144,0.2721722424030304,0.17388014495372772,0.20464713871479034,0.32532164454460144,0.47775235772132874,0.17396961152553558,0.14909450709819794
fell,0.25296807289123535,0.3227677345275879,0.2598440647125244,0.24172356724739075,0.1843264400959015,0.27049896121025085,0.2598440647125244,0.23440490663051605,0.1827925592660904,0.13107693195343018
.,0.475719153881073,0.35288307070732117,0.5934505462646484,0.2089352011680603,0.27782511711120605,0.35574623942375183,0.5934505462646484,0.27629324793815613,0.1972806751728058,0.4130953550338745
