,what,welding,process,was,demonstrated,in,1901,?
later,0.2517229914665222,0.13175493478775024,0.1862238496541977,0.5684447288513184,0.16662687063217163,0.40857815742492676,-0.0445043109357357,0.1417175978422165
",",0.3087472915649414,0.22165942192077637,0.2061346471309662,0.45456063747406006,0.29227107763290405,0.5201468467712402,0.02599540539085865,0.31091248989105225
in,0.30808621644973755,0.18725647032260895,0.19851736724376678,0.45514053106307983,0.24005702137947083,1.0,-0.01662074401974678,0.20430970191955566
1901,-0.07605163753032684,0.0737757757306099,-0.01906418800354004,-0.008113718591630459,-0.030871590599417686,-0.01662074401974678,1.0000001192092896,-0.041070252656936646
",",0.3087472915649414,0.22165942192077637,0.2061346471309662,0.45456063747406006,0.29227107763290405,0.5201468467712402,0.02599540539085865,0.31091248989105225
oxyacetylene,0.19886595010757446,0.5532813668251038,0.37323832511901855,0.16175015270709991,0.15265756845474243,0.21611589193344116,0.04662680625915527,0.20538698136806488
welding,0.26908254623413086,1.0000001192092896,0.4161515235900879,0.11418303102254868,0.22850169241428375,0.18725647032260895,0.0737757757306099,0.2191070318222046
was,0.22111038863658905,0.11418303102254868,0.15519841015338898,1.0000001192092896,0.21351228654384613,0.45514053106307983,-0.008113718591630459,0.18412111699581146
demonstrated,0.20940876007080078,0.22850169241428375,0.26639261841773987,0.21351228654384613,0.9999998807907104,0.24005702137947083,-0.030871590599417686,0.1947716772556305
for,0.3017193675041199,0.24741464853286743,0.3253439664840698,0.3863949179649353,0.30166593194007874,0.4322226941585541,-0.06310592591762543,0.264628142118454
the,0.42745697498321533,0.23538696765899658,0.264274537563324,0.48711544275283813,0.2412586510181427,0.6662389636039734,0.01573479175567627,0.22068053483963013
first,0.28086137771606445,0.17484302818775177,0.23198917508125305,0.5022147297859192,0.26193469762802124,0.4127444326877594,-0.07568316161632538,0.18701928853988647
time,0.36319252848625183,0.2530844211578369,0.3262229263782501,0.3641340136528015,0.19660045206546783,0.3431483507156372,-0.03950377553701401,0.27391523122787476
by,0.2455483376979828,0.18119385838508606,0.2115318775177002,0.4752357602119446,0.2468349188566208,0.370934396982193,0.0014788511907681823,0.17966607213020325
burning,0.21885274350643158,0.3926886320114136,0.271576464176178,0.18665166199207306,0.17688880860805511,0.25352632999420166,0.048240553587675095,0.18033187091350555
a,0.3320399522781372,0.30742910504341125,0.2601566016674042,0.4508470594882965,0.22847095131874084,0.539380669593811,-0.024308795109391212,0.23916715383529663
mixture,0.187636598944664,0.3547731637954712,0.293480783700943,0.19169344007968903,0.17932377755641937,0.2359134554862976,-0.04563800245523453,0.17455407977104187
of,0.33290785551071167,0.2268432080745697,0.23962904512882233,0.4069072902202606,0.21852713823318481,0.5696388483047485,0.09594502300024033,0.1826142966747284
acetylene,0.1779506355524063,0.5342454314231873,0.356997549533844,0.14631938934326172,0.13789469003677368,0.19689586758613586,0.0735667422413826,0.18569713830947876
and,0.31309178471565247,0.2683727443218231,0.20204883813858032,0.3740963041782379,0.22215715050697327,0.4954058527946472,-0.006958194077014923,0.20544172823429108
compressed,0.19953018426895142,0.44887566566467285,0.37933146953582764,0.10605493932962418,0.20638376474380493,0.1690356731414795,-0.020351411774754524,0.19298601150512695
o,0.1489914506673813,0.19182169437408447,0.09737319499254227,0.15056964755058289,0.11696173995733261,0.17052006721496582,0.005438325461000204,0.23868927359580994
2,-0.049862053245306015,0.09494832158088684,-0.015452575869858265,-0.013097384944558144,0.012612435035407543,0.01447046548128128,0.014344980008900166,0.001977203879505396
.,0.3567904531955719,0.25439518690109253,0.23766504228115082,0.40146201848983765,0.20781585574150085,0.5591574311256409,0.004086941480636597,0.4130953550338745
