,what,term,is,shorthand,for,antibody,generators,?
one,0.376489520072937,0.20483051240444183,0.4544198513031006,0.2914392948150635,0.384836345911026,0.20371092855930328,0.30752527713775635,0.2673267424106598
class,0.16880196332931519,0.14871956408023834,0.1275252103805542,0.2016804814338684,0.17833863198757172,0.15966404974460602,0.2311754822731018,0.12778934836387634
of,0.33290785551071167,0.26047757267951965,0.4854315221309662,0.2589355409145355,0.4185989499092102,0.2244306057691574,0.2220006138086319,0.1826142966747284
non-self,0.38723137974739075,0.24346370995044708,0.24410001933574677,0.31447136402130127,0.30001941323280334,0.2654290795326233,0.28373411297798157,0.3134685158729553
molecules,0.2143162339925766,0.20085440576076508,0.20481984317302704,0.2891474664211273,0.20138822495937347,0.5105553865432739,0.3642500936985016,0.17409995198249817
are,0.29724663496017456,0.1909082531929016,0.5330929756164551,0.309386283159256,0.3895993232727051,0.21812954545021057,0.3173234164714813,0.24591213464736938
called,0.3235960602760315,0.33549433946609497,0.430266410112381,0.27493777871131897,0.29870352149009705,0.21675941348075867,0.24562740325927734,0.18963319063186646
antigens,0.1918221414089203,0.22976265847682953,0.22038279473781586,0.31987348198890686,0.2331809103488922,0.740662693977356,0.30475980043411255,0.21072189509868622
(,0.2411840260028839,0.16755855083465576,0.35393038392066956,0.2196088582277298,0.3357032239437103,0.10335719585418701,0.14748387038707733,0.40561532974243164
short,0.19211500883102417,0.24969373643398285,0.2397661656141281,0.43991196155548096,0.2793668806552887,0.12260930985212326,0.1548551470041275,0.16194626688957214
for,0.3017193675041199,0.2766548991203308,0.43268078565597534,0.4066813588142395,0.9999999403953552,0.18800710141658783,0.22097858786582947,0.264628142118454
antibody,0.1906609684228897,0.18838058412075043,0.20774729549884796,0.2687864899635315,0.18800710141658783,1.0,0.30370911955833435,0.21013349294662476
generators,0.24249255657196045,0.1481235921382904,0.1940506398677826,0.25742802023887634,0.22097858786582947,0.30370911955833435,1.0,0.20217099785804749
),0.26259949803352356,0.14937621355056763,0.37732169032096863,0.22720804810523987,0.3639558255672455,0.07144282758235931,0.1337064802646637,0.42300865054130554
and,0.31309178471565247,0.22272127866744995,0.3859752118587494,0.2971247732639313,0.5064792633056641,0.17645372450351715,0.2554577887058258,0.20544172823429108
are,0.29724663496017456,0.1909082531929016,0.5330929756164551,0.309386283159256,0.3895993232727051,0.21812954545021057,0.3173234164714813,0.24591213464736938
defined,0.25343453884124756,0.4123578369617462,0.2622792422771454,0.3270105719566345,0.2583482265472412,0.21862609684467316,0.1783403605222702,0.22494901716709137
as,0.31749409437179565,0.3224089443683624,0.43216490745544434,0.2852933704853058,0.44774648547172546,0.1254999339580536,0.1775285303592682,0.27043893933296204
substances,0.2663726210594177,0.27414166927337646,0.25203269720077515,0.28619879484176636,0.2677713632583618,0.4411320090293884,0.28413304686546326,0.19339443743228912
that,0.6297725439071655,0.2833994925022125,0.3995479643344879,0.2997308671474457,0.4137635827064514,0.2590591609477997,0.2931162118911743,0.32716336846351624
bind,0.20024219155311584,0.1886371225118637,0.20363958179950714,0.31966689229011536,0.1322632133960724,0.4540823996067047,0.19357901811599731,0.13327588140964508
to,0.455847829580307,0.3310292959213257,0.42745086550712585,0.3064461052417755,0.4451248347759247,0.21433036029338837,0.28079837560653687,0.29463258385658264
specific,0.37695175409317017,0.3588836193084717,0.27748769521713257,0.4383046329021454,0.36453771591186523,0.41579878330230713,0.22160597145557404,0.30923372507095337
immune,0.2410416603088379,0.173069030046463,0.2092347890138626,0.2189633846282959,0.1448224037885666,0.5761290788650513,0.1924903839826584,0.16080476343631744
receptors,0.2304931879043579,0.23381860554218292,0.20271176099777222,0.2622145414352417,0.18007515370845795,0.5721863508224487,0.31912827491760254,0.1343143880367279
and,0.31309178471565247,0.22272127866744995,0.3859752118587494,0.2971247732639313,0.5064792633056641,0.17645372450351715,0.2554577887058258,0.20544172823429108
elicit,0.2947438955307007,0.24313737452030182,0.1705905944108963,0.3140069544315338,0.2129187285900116,0.25534024834632874,0.1765822172164917,0.22974509000778198
an,0.2821882665157318,0.16153281927108765,0.4654068350791931,0.1947924643754959,0.3236706852912903,0.20043471455574036,0.1181773766875267,0.19793890416622162
immune,0.2410416603088379,0.173069030046463,0.2092347890138626,0.2189633846282959,0.1448224037885666,0.5761290788650513,0.1924903839826584,0.16080476343631744
response,0.3532308340072632,0.2291710525751114,0.21022158861160278,0.2498723715543747,0.2802165448665619,0.3035257160663605,0.21122044324874878,0.2007838636636734
.,0.3567904531955719,0.18456575274467468,0.4569662809371948,0.24856989085674286,0.4726039469242096,0.21003389358520508,0.23543702065944672,0.4130953550338745
